Team,DEF,RDEF
MIL,102.5,38.7
TOR,104.7,41.5
LAL,106.1,45.8
LAC,106.9,44.6
BOS,106.5,43.4
DEN,110.4,48.2
IND,107.5,47.6
HOU,109.8,51.5
MIA,109.3,44.1
OKC,108.1,48.4
UTA,109.3,47.4
DAL,111.2,48.8
PHI,108.4,48.1
BKN,109.2,46.4
POR,114.3,47.0
MEM,109.7,45.3
PHX,110.8,49.8
ORL,109.2,46.3
SAS,112.6,48.2
SAC,111.4,46.6
NOP,111.8,52.2
WAS,114.7,51.4
CHA,112.8,50.5
CHI,108.9,49.6
NYK,112.4,43.8
ATL,114.4,53.6
DET,112.3,52.0
CLE,114.8,53.6
MIN,111.6,51.2
GSW,113.0,48.8
