Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Joel Embiid,PHI,25,F-C,61,61,100,9.5,22.3,42.6,47.7,-5.1,33.7,0.7,0.5,0.05
Rudy Gobert,UTA,27,C,79,79,100,9.5,21.1,44.9,48.6,-3.7,31.8,0.8,1.1,0.09
Brook Lopez,MIL,31,C,81,81,100,9.1,20.7,43.9,48.1,-4.2,28.7,0.6,0.9,0
Steven Adams,OKC,25,C,79,79,100,8.6,18.3,47.1,48.6,-1.6,33.4,1.5,0.2,0
Deandre Ayton,PHX,20,C,71,71,100,8.8,18.1,48.6,48.6,0.0,30.7,0.9,0.5,0
Nikola Vucevic,ORL,28,C,78,78,100,8.7,18.1,48.0,48.5,-0.5,31.4,1.0,0.3,0.01
Andre Drummond,DET,25,C,79,79,100,8.6,18.0,47.8,48.5,-0.7,33.5,1.7,0.7,0.01
Nikola Jokic,DEN,24,C,80,80,100,8.3,17.8,46.9,49.3,-2.4,31.3,1.4,0.2,0.07
Clint Capela,HOU,25,C,66,66,100,8.1,17.8,45.8,47.4,-1.6,33.6,0.7,0.6,0.06
Jarrett Allen,BKN,21,C,80,80,100,8.6,17.6,48.9,48.5,0.4,26.2,0.5,0.4,0.01
Karl-Anthony Towns,MIN,23,C,77,77,100,8.4,17.5,47.7,47.9,-0.2,33.1,0.9,0.7,0.03
LaMarcus Aldridge,SAS,33,C-F,81,81,100,7.9,17.4,45.5,47.8,-2.3,33.2,0.5,0.5,0
DeMarcus Cousins,GSW,28,C,30,30,100,7.7,17.1,45.0,48.4,-3.4,25.7,1.3,1.0,0.3
Anthony Davis,NOP,26,F-C,56,56,100,7.5,16.8,44.7,48.1,-3.4,33.0,1.6,1.1,0.11
Myles Turner,IND,23,C-F,74,74,100,7.8,16.7,46.5,48.6,-2.1,28.6,0.8,0.8,0.01
Jusuf Nurkic,POR,24,C,72,72,100,7.2,16.6,43.6,49.0,-5.5,27.4,1.0,0.3,0
Al Horford,BOS,33,C-F,68,68,100,7.6,16.5,46.1,47.9,-1.8,29.0,0.9,0.4,0.01
Jrue Holiday,NOP,29,G,67,67,100,7.5,16.5,45.6,45.3,0.3,35.9,1.6,0.5,0.03
Montrezl Harrell,LAC,25,F-C,82,82,100,6.9,15.4,44.8,47.3,-2.4,26.3,0.9,0.3,0.23
Cody Zeller,CHA,26,C,48,48,100,6.9,15.3,45.5,47.2,-1.7,25.4,0.8,0.4,0.06
Serge Ibaka,TOR,29,C-F,74,74,100,6.9,15.2,45.5,47.5,-2.0,27.2,0.4,0.4,0
Draymond Green,GSW,29,F,66,66,100,6.3,14.8,42.5,46.6,-4.1,31.3,1.4,0.6,0.17
James Harden,HOU,29,G,77,77,100,6.6,14.7,45.2,46.8,-1.5,36.8,2.0,0.4,0.08
JaVale McGee,LAL,31,C,75,75,100,6.7,14.6,45.6,48.5,-2.9,22.3,0.6,0.3,0.01
Marc Gasol,TOR,34,C,79,79,100,6.4,14.5,44.0,48.1,-4.0,30.8,1.1,0.4,0.34
Wendell Carter Jr.,CHI,20,C,42,42,100,6.6,14.4,46.0,48.7,-2.7,25.2,0.6,0.5,0
Paul George,OKC,29,F,76,76,100,6.2,14.3,43.5,45.8,-2.3,36.9,2.2,0.1,0.05
Robin Lopez,CHI,31,C,72,72,100,6.4,14.2,44.9,47.8,-3.0,21.7,0.1,0.3,0.01
Willie Cauley-Stein,SAC,25,C,81,81,100,6.8,14.1,48.1,48.2,-0.1,27.3,1.2,0.3,0.04
Kemba Walker,CHA,29,G,81,81,100,6.5,14.0,46.7,45.2,1.6,34.9,1.2,0.1,0.3
Enes Freedom,POR,27,C,67,67,100,6.8,14.0,48.8,48.0,0.8,NaN,NaN,NaN,NaN
DeAndre Jordan,NYK,30,C,69,69,100,6.3,13.9,45.2,48.9,-3.6,29.7,0.6,0.4,0.03
Jonas Valanciunas,MEM,27,C,49,49,100,6.3,13.9,45.1,48.3,-3.1,22.3,0.4,0.6,0.06
Pascal Siakam,TOR,25,F,80,80,100,5.7,13.8,41.3,46.2,-4.9,31.9,0.9,0.3,0.01
Dewayne Dedmon,ATL,29,C,64,64,100,6.3,13.6,46.0,47.3,-1.3,25.1,1.1,0.4,0.03
Hassan Whiteside,MIA,30,C,72,72,100,5.7,13.5,41.8,47.7,-5.9,23.2,0.6,0.8,0.01
Andrew Wiggins,MIN,24,F-G,73,73,100,6.2,13.5,45.9,45.7,0.2,34.8,1.0,0.2,0
JaKarr Sampson,CHI,26,F,4,4,100,5.3,13.5,38.9,43.6,-4.7,31.8,1.0,0.0,0
Derrick Favors,UTA,27,F-C,74,74,100,5.7,13.5,42.2,47.4,-5.2,23.2,0.7,0.6,0
Bradley Beal,WAS,26,G,81,81,100,6.3,13.5,47.1,45.1,2.0,36.9,1.5,0.2,0.16
Tristan Thompson,CLE,28,C-F,43,43,100,6.7,13.4,49.7,47.7,2.1,27.9,0.7,0.1,0.02
Derrick White,SAS,24,G,67,67,100,5.8,13.2,44.3,44.8,-0.5,25.8,1.0,0.4,0.13
Robert Covington,MIN,28,F,34,34,100,5.8,13.2,44.3,45.3,-1.0,34.4,2.1,0.7,0.09
Julius Randle,NOP,24,C-F,73,73,100,6.0,13.2,45.4,47.0,-1.6,30.6,0.7,0.1,0.03
John Collins,ATL,21,F-C,61,61,100,5.9,13.0,45.3,46.5,-1.3,30.0,0.4,0.2,0.02
Nikola Mirotic,MIL,28,F,46,46,100,5.9,13.0,45.6,46.2,-0.7,27.1,0.7,0.3,0.07
Dennis Smith Jr.,NYK,21,G,53,53,100,5.7,12.9,43.9,44.8,-0.9,28.5,1.3,0.1,0
Tobias Harris,PHI,26,F,82,82,100,6.0,12.8,46.8,46.3,0.5,34.7,0.6,0.1,0.01
