Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
James Harden,HOU,30,68,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,1.0,5.5,6.6,7.5,4.5,1.8,0.9,3.3,4.2
Bradley Beal,WAS,27,57,36.0,30.5,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,-3.5
Damian Lillard,POR,29,66,37.5,30.0,9.5,20.4,46.3,4.1,10.2,40.1,7.0,7.8,88.8,0.5,3.8,4.3,8.0,2.9,1.1,0.3,1.7,1.3
Trae Young,ATL,21,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,-3.8
Giannis Antetokounmpo,MIL,25,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,3.7,1.0,1.0,3.1,10.8
Luka Doncic,DAL,21,61,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7.0,9.2,75.8,1.3,8.1,9.4,8.8,4.3,1.0,0.2,2.5,4.1
Kyrie Irving,BKN,28,20,32.9,27.4,10.0,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,-0.4
Russell Westbrook,HOU,31,57,36.0,27.2,10.6,22.5,47.2,1.0,3.7,25.8,5.1,6.7,76.3,1.8,6.2,7.9,7.0,4.5,1.6,0.4,3.5,2.2
Kawhi Leonard,LAC,29,57,32.4,27.1,9.3,19.9,47.0,2.2,5.7,37.8,6.2,7.1,88.6,0.9,6.1,7.1,4.9,2.6,1.8,0.6,2.0,8.4
Devin Booker,PHX,23,70,35.9,26.6,9.0,18.3,48.9,2.0,5.7,35.4,6.7,7.3,91.9,0.4,3.8,4.2,6.5,3.8,0.7,0.3,3.0,1.9
Karl-Anthony Towns,MIN,24,35,33.9,26.5,9.0,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,-0.4
Anthony Davis,LAL,27,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33.0,7.2,8.5,84.6,2.3,7.0,9.3,3.2,2.5,1.5,2.3,2.5,3.9
Zach LaVine,CHI,25,60,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,-3.2
LeBron James,LAL,35,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,3.9,1.2,0.5,1.8,6.6
Donovan Mitchell,UTA,23,69,34.3,24.0,8.7,19.4,44.9,2.5,6.9,36.6,4.0,4.7,86.3,0.8,3.6,4.4,4.3,2.7,1.0,0.2,2.5,1.6
Brandon Ingram,NOP,22,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5.0,5.9,85.1,0.8,5.3,6.1,4.2,3.0,1.0,0.6,2.9,-0.7
Jayson Tatum,BOS,22,66,34.3,23.4,8.4,18.6,45.0,2.9,7.1,40.3,3.8,4.7,81.2,1.0,6.0,7.0,3.0,2.3,1.4,0.9,2.1,7.6
D'Angelo Russell,MIN,24,45,32.3,23.1,8.0,18.8,42.6,3.5,9.6,36.7,3.6,4.4,80.9,0.4,3.6,3.9,6.3,3.3,1.1,0.3,1.9,-5.6
Joel Embiid,PHI,26,51,29.5,23.0,7.5,15.7,47.7,1.1,3.4,33.1,6.9,8.5,80.7,2.8,8.9,11.6,3.0,3.1,0.9,1.3,3.4,3.2
Pascal Siakam,TOR,26,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4.0,5.1,79.2,1.1,6.3,7.3,3.5,2.5,1.0,0.9,2.8,6.6
Zion Williamson,NOP,19,24,27.8,22.5,8.8,15.0,58.3,0.3,0.6,42.9,4.8,7.4,64.0,2.7,3.6,6.3,2.1,2.5,0.7,0.4,1.8,2.6
CJ McCollum,POR,28,70,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2.0,2.6,75.7,0.7,3.6,4.2,4.4,1.8,0.8,0.6,2.6,0.2
DeMar DeRozan,SAS,30,68,34.1,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,0.6,4.9,5.5,5.6,2.4,1.0,0.3,2.6,-1.7
Andrew Wiggins,GSW,25,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5.0,70.9,1.2,3.9,5.1,3.7,2.4,0.8,1.0,2.4,-3.7
John Collins,ATL,22,41,33.2,21.6,8.6,14.8,58.3,1.4,3.6,40.1,2.9,3.7,80.0,2.8,7.3,10.1,1.5,1.8,0.8,1.6,3.4,-4.0
Paul George,LAC,30,48,29.6,21.5,7.1,16.3,43.9,3.3,7.9,41.2,4.0,4.5,87.6,0.5,5.2,5.7,3.9,2.6,1.4,0.4,2.4,5.4
De'Aaron Fox,SAC,22,51,32.0,21.1,7.7,16.0,48.0,1.1,3.6,29.2,4.7,6.7,70.5,0.7,3.2,3.8,6.8,3.1,1.5,0.5,2.8,-2.4
Khris Middleton,MIL,28,62,29.9,20.9,7.6,15.3,49.7,2.4,5.7,41.5,3.4,3.7,91.6,0.7,5.5,6.2,4.3,2.2,0.9,0.1,2.3,8.1
Stephen Curry,GSW,32,5,27.9,20.8,6.6,16.4,40.2,2.4,9.8,24.5,5.2,5.2,100,0.8,4.4,5.2,6.6,3.2,1.0,0.4,2.2,-9.0
Collin Sexton,CLE,21,65,33.0,20.8,7.9,16.7,47.2,1.5,3.9,38.0,3.5,4.1,84.6,0.9,2.2,3.1,3.0,2.4,1.0,0.1,2.2,-6.1
Spencer Dinwiddie,BKN,27,64,31.2,20.6,6.6,16.0,41.5,1.9,6.3,30.8,5.4,7.0,77.8,0.5,3.0,3.5,6.8,2.7,0.6,0.3,2.8,0.8
Kemba Walker,BOS,30,56,31.1,20.4,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,0.6,3.2,3.9,4.8,2.1,0.9,0.5,1.6,4.4
Kristaps Porzingis,DAL,24,57,31.8,20.4,7.0,16.4,42.7,2.5,7.1,35.2,4.0,5.0,79.9,1.8,7.7,9.5,1.8,1.6,0.7,2.0,3.2,4.7
Jaylen Brown,BOS,23,57,33.9,20.3,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,1.1,5.3,6.4,2.1,2.2,1.1,0.4,2.9,4.0
Bojan Bogdanovic,UTA,31,63,33.1,20.2,6.6,14.8,44.7,3.0,7.3,41.4,4.0,4.4,90.3,0.6,3.5,4.1,2.1,2.5,0.5,0.1,1.7,4.2
Jimmy Butler,MIA,30,58,33.8,19.9,5.9,13.1,45.5,0.5,2.1,24.4,7.6,9.1,83.4,1.8,4.8,6.7,6.0,2.2,1.8,0.6,1.4,4.4
Nikola Jokic,DEN,25,73,32.0,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,2.3,7.5,9.7,7.0,3.1,1.2,0.6,3.0,3.5
T.J. Warren,IND,26,67,32.9,19.8,8.0,14.9,53.6,1.4,3.4,40.3,2.5,3.0,81.9,1.0,3.2,4.2,1.5,1.3,1.2,0.5,2.8,1.9
Tobias Harris,PHI,27,72,34.3,19.6,7.7,16.3,47.1,1.8,5.0,36.7,2.4,3.0,80.6,1.0,5.9,6.9,3.2,1.4,0.7,0.6,2.3,2.2
Nikola Vucevic,ORL,29,62,32.2,19.6,8.0,16.7,47.7,1.6,4.7,33.9,2.1,2.7,78.4,2.3,8.6,10.9,3.6,1.4,0.9,0.8,2.2,0.8
Julius Randle,NYK,25,64,32.5,19.5,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,2.4,7.4,9.7,3.1,3.0,0.8,0.3,2.8,-3.8
Kyle Lowry,TOR,34,58,36.2,19.4,5.8,13.8,41.6,2.8,8.0,35.2,5.1,5.9,85.7,0.6,4.5,5.0,7.5,3.1,1.4,0.4,3.3,4.7
Buddy Hield,SAC,27,72,30.8,19.2,6.9,16.1,42.9,3.8,9.6,39.4,1.6,1.9,84.6,0.8,3.8,4.6,3.0,2.3,0.9,0.2,2.3,-1.5
Jrue Holiday,NOP,30,61,34.7,19.1,7.5,16.5,45.5,2.0,5.7,35.3,2.1,3.0,70.9,1.3,3.5,4.8,6.7,3.0,1.6,0.8,2.4,0.6
Shai Gilgeous-Alexander,OKC,21,70,34.7,19.0,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,0.7,5.2,5.9,3.3,1.9,1.1,0.7,1.7,2.2
Dennis Schroder,OKC,26,65,30.8,18.9,7.0,14.8,46.9,1.9,5.0,38.5,3.0,3.6,83.9,0.3,3.3,3.6,4.0,2.6,0.7,0.2,2.2,3.6
LaMarcus Aldridge,SAS,34,53,33.1,18.9,7.4,15.0,49.3,1.2,3.0,38.9,3.0,3.6,82.7,1.9,5.5,7.4,2.4,1.4,0.7,1.6,2.4,-2.4
Caris LeVert,BKN,25,45,29.6,18.7,6.9,16.3,42.5,1.8,4.9,36.4,3.1,4.4,71.1,1.1,3.1,4.2,4.4,2.6,1.2,0.2,1.8,-0.1
Danilo Gallinari,OKC,31,62,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,1.2,0.7,0.1,1.2,3.7
Kelly Oubre Jr.,PHX,24,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78.0,1.2,5.3,6.4,1.5,1.5,1.3,0.7,3.4,-0.5
Montrezl Harrell,LAC,26,63,27.8,18.6,7.5,12.9,58.0,0.0,0.3,0.0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,1.7,0.6,1.1,2.3,4.0
Domantas Sabonis,IND,24,62,34.8,18.5,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,2.7,0.8,0.5,3.1,2.6
Evan Fournier,ORL,27,66,31.4,18.5,6.6,14.1,46.7,2.6,6.6,39.9,2.7,3.3,81.8,0.3,2.3,2.6,3.2,1.9,1.1,0.2,2.4,-1.2
Jamal Murray,DEN,23,59,32.3,18.5,6.9,15.2,45.6,1.9,5.5,34.6,2.8,3.1,88.1,0.8,3.2,4.0,4.8,2.2,1.1,0.3,1.7,4.1
Lou Williams,LAC,33,65,28.7,18.2,6.0,14.4,41.8,1.7,4.8,35.2,4.5,5.2,86.1,0.5,2.6,3.1,5.6,2.8,0.7,0.2,1.2,3.1
Devonte' Graham,CHA,25,63,35.1,18.2,5.8,15.3,38.2,3.5,9.3,37.3,3.0,3.7,82.0,0.7,2.7,3.4,7.5,2.9,1.0,0.2,1.8,-2.9
Deandre Ayton,PHX,21,38,32.5,18.2,8.2,14.9,54.6,0.1,0.3,23.1,1.8,2.3,75.3,3.9,7.6,11.5,1.9,2.1,0.7,1.5,3.1,2.6
Derrick Rose,DET,31,50,26.0,18.1,7.4,15.1,49.0,0.9,2.9,30.6,2.4,2.8,87.1,0.5,1.9,2.4,5.6,2.5,0.8,0.3,1.0,-1.7
Terry Rozier,CHA,26,63,34.4,18.0,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3.0,87.4,0.8,3.6,4.4,4.1,2.2,1.0,0.2,2.0,-6.3
Ja Morant,MEM,20,67,31.0,17.8,6.7,14.0,47.7,0.9,2.7,33.5,3.6,4.6,77.6,0.8,3.1,3.9,7.3,3.3,0.9,0.3,1.6,-0.3
Andre Drummond,CLE,26,57,33.0,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3.0,5.2,57.5,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,-3.4
Fred VanVleet,TOR,26,54,35.7,17.6,5.9,14.3,41.3,2.7,6.9,39.0,3.1,3.7,84.8,0.3,3.4,3.8,6.6,2.2,1.9,0.3,2.4,3.8
Jusuf Nurkic,POR,25,8,31.6,17.6,6.8,13.6,49.5,0.3,1.3,20.0,3.9,4.4,88.6,2.9,7.4,10.3,4.0,2.4,1.4,2.0,4.9,-0.5
Kevin Love,CLE,31,56,31.8,17.6,5.8,13.0,45.0,2.6,7.0,37.4,3.3,3.9,85.4,1.0,8.8,9.8,3.2,2.5,0.6,0.3,1.6,-4.8
Chris Paul,OKC,35,70,31.5,17.6,6.2,12.7,48.9,1.6,4.3,36.5,3.6,4.0,90.7,0.4,4.6,5.0,6.7,2.3,1.6,0.2,2.3,4.7
Gordon Hayward,BOS,30,52,33.5,17.5,6.7,13.5,50.0,1.6,4.3,38.3,2.4,2.8,85.5,1.1,5.6,6.7,4.1,1.8,0.7,0.4,1.8,6.4
Jaren Jackson Jr.,MEM,20,57,28.5,17.4,6.2,13.2,46.9,2.5,6.5,39.4,2.4,3.3,74.7,1.0,3.6,4.6,1.4,1.7,0.7,1.6,4.1,-1.8
Marcus Morris Sr.,LAC,30,62,31.2,16.7,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,1.0,4.1,5.0,1.4,1.6,0.8,0.5,2.9,0.7
Malcolm Brogdon,IND,27,54,30.9,16.5,6.0,13.8,43.8,1.4,4.3,32.6,3.1,3.4,89.2,0.9,4.0,4.9,7.1,2.4,0.6,0.2,1.8,1.6
Ben Simmons,PHI,23,57,35.4,16.4,6.6,11.4,58.0,0.0,0.1,28.6,3.2,5.2,62.1,2.0,5.8,7.8,8.0,3.5,2.1,0.6,3.3,1.1
Dillon Brooks,MEM,24,73,28.9,16.2,6.0,14.6,40.7,2.0,5.6,35.8,2.2,2.8,80.8,0.9,2.4,3.3,2.1,1.7,0.9,0.4,3.8,-0.6
Goran Dragic,MIA,34,59,28.2,16.2,5.4,12.3,44.1,2.1,5.7,36.7,3.2,4.2,77.6,0.5,2.7,3.2,5.1,2.4,0.7,0.2,2.1,2.8
Norman Powell,TOR,27,52,28.4,16.0,5.7,11.5,49.5,2.1,5.3,39.9,2.5,2.9,84.3,0.5,3.2,3.7,1.8,1.5,1.2,0.4,2.1,2.8
Bam Adebayo,MIA,22,72,33.6,15.9,6.1,11.0,55.7,0.0,0.2,14.3,3.7,5.3,69.1,2.4,7.8,10.2,5.1,2.8,1.1,1.3,2.5,3.4
Tim Hardaway Jr.,DAL,28,71,29.5,15.8,5.4,12.5,43.4,2.9,7.2,39.8,2.1,2.6,81.9,0.4,2.9,3.3,1.9,1.0,0.6,0.1,1.8,4.1
Luke Kennard,DET,24,28,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,-0.8
Hassan Whiteside,POR,31,67,30.0,15.5,6.5,10.5,62.1,0.1,0.1,57.1,2.4,3.6,68.6,3.9,9.7,13.5,1.2,1.8,0.4,2.9,2.9,1.7
Blake Griffin,DET,31,18,28.5,15.5,4.9,13.9,35.2,1.5,6.2,24.3,4.2,5.4,77.6,0.9,3.7,4.7,3.3,2.2,0.4,0.4,1.5,-1.4
Davis Bertans,WAS,27,54,29.3,15.4,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,0.6,3.9,4.5,1.7,1.1,0.7,0.6,2.6,-0.3
Carmelo Anthony,POR,36,58,32.8,15.4,5.8,13.5,43.0,1.5,3.9,38.5,2.3,2.8,84.5,1.2,5.1,6.3,1.5,1.7,0.8,0.5,2.9,0.3
Serge Ibaka,TOR,30,55,27.0,15.4,6.2,12.2,51.2,1.3,3.3,38.5,1.6,2.3,71.8,2.1,6.1,8.2,1.4,2.0,0.5,0.8,2.8,1.7
Kendrick Nunn,MIA,24,67,29.3,15.3,6.0,13.6,43.9,2.0,5.8,35.0,1.3,1.5,85.0,0.3,2.4,2.7,3.3,1.7,0.8,0.2,2.3,0.9
JJ Redick,NOP,36,60,26.3,15.3,4.8,10.5,45.3,3.0,6.6,45.3,2.8,3.1,89.2,0.2,2.4,2.5,2.0,1.3,0.3,0.2,1.6,-0.4
Jordan Clarkson,UTA,28,71,24.0,15.2,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,0.7,1.9,2.6,1.9,1.4,0.6,0.2,1.5,-0.1
