Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Chris Duarte,IND,25,46,19.5,7.9,2.7,7.2,36.9,1.2,3.8,31.6,1.3,1.6,84.7,0.4,2.1,2.5,1.4,0.9,0.5,0.2,1.4,-2.5
Jevon Carter,MIL,27,74,22.1,7.9,2.9,6.9,42.4,1.7,4.0,41.4,0.4,0.5,80.6,0.4,2.1,2.6,2.4,1.0,0.9,0.4,2.0,1.0
Tre Mann,OKC,22,61,17.9,7.8,3.0,7.7,38.8,1.3,4.0,31.6,0.6,0.8,74.0,0.4,1.9,2.3,1.7,0.9,0.6,0.2,1.5,0.8
Trey Lyles,SAC,27,66,16.7,7.8,2.6,5.4,47.5,1.2,3.2,37.3,1.5,1.8,81.4,0.9,3.0,3.9,0.9,0.8,0.3,0.4,1.3,1.0
Jeff Green,DEN,36,50,19.2,7.8,2.9,5.8,50.0,0.5,1.7,29.9,1.4,1.9,72.9,0.6,1.8,2.5,1.1,0.8,0.3,0.3,1.8,-3.8
Joe Harris,BKN,31,67,21.4,7.7,2.8,6.1,45.8,1.9,4.5,42.8,0.2,0.4,62.5,0.3,2.0,2.3,1.4,0.6,0.5,0.2,2.0,-0.4
Edmond Sumner,BKN,27,49,14.4,7.5,2.4,5.3,46.0,0.6,1.8,36.0,1.9,2.1,93.1,0.2,1.3,1.5,1.4,0.9,0.6,0.2,1.7,0.7
Devonte' Graham,SAS,28,68,18.0,7.4,2.2,5.9,37.9,1.6,4.6,35.8,1.3,1.7,75.9,0.3,1.4,1.6,2.7,0.7,0.6,0.2,1.0,-1.9
Torrey Craig,PHX,32,71,25.3,7.4,2.8,6.4,43.9,1.3,3.3,39.4,0.4,0.6,72.1,1.9,3.6,5.5,1.5,1.0,0.6,0.8,2.3,-2.9
Mitchell Robinson,NYK,24,53,27.3,7.3,3.2,4.6,69.3,0.0,0.0,0.0,1.0,2.0,49.0,4.3,4.8,9.1,0.8,0.6,0.9,1.7,2.8,2.4
Reggie Bullock,DAL,32,71,30.7,7.3,2.5,6.0,41.3,2.0,5.1,39.0,0.4,0.5,70.3,0.5,3.2,3.6,1.4,0.5,0.7,0.2,2.2,-0.3
Kevon Looney,GSW,27,75,23.7,7.3,3.1,4.7,64.8,0.0,0.0,0.0,1.1,1.9,59.7,3.3,5.9,9.2,2.5,0.5,0.6,0.6,2.8,1.1
