Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Stephen Curry,GSW,28,79,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,12.9
James Harden,HOU,26,82,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,1.5
Kevin Durant,OKC,27,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,9.0
DeMarcus Cousins,SAC,25,65,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,0.6
LeBron James,CLE,31,76,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,3.3,1.4,0.6,1.9,8.1
Damian Lillard,POR,25,75,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4.0,6.8,3.2,0.9,0.4,2.2,1.3
Anthony Davis,NOP,23,61,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,-3.3
Russell Westbrook,OKC,27,80,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6.0,7.8,10.4,4.3,2.0,0.3,2.5,7.9
DeMar DeRozan,TOR,26,78,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,2.2
Paul George,IND,26,81,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,2.2
Isaiah Thomas,BOS,27,82,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3.0,6.2,2.7,1.1,0.1,2.0,3.6
Klay Thompson,GSW,26,80,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,10.5
Carmelo Anthony,NYK,32,72,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,-0.6
Blake Griffin,LAC,27,35,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4.0,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,5.1
Kyle Lowry,TOR,30,77,37.0,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4.0,4.7,6.4,2.9,2.1,0.4,2.7,4.9
Kawhi Leonard,SAS,25,72,33.0,21.2,7.7,15.1,50.6,1.8,4.0,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1.0,1.8,9.1
Jimmy Butler,CHI,26,67,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,-0.2
Kemba Walker,CHA,26,81,35.6,20.9,7.0,16.4,42.7,2.2,6.0,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,3.0
CJ McCollum,POR,24,80,34.7,20.8,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,2.0
Andrew Wiggins,MIN,21,81,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,-0.8
Brook Lopez,BKN,28,73,33.7,20.6,8.1,15.8,51.1,0.0,0.2,14.3,4.3,5.5,78.7,2.8,5.1,7.8,2.0,2.4,0.8,1.7,2.9,-1.7
Eric Bledsoe,PHX,26,31,34.2,20.4,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,0.6,3.5,4.0,6.1,3.5,2.0,0.6,2.4,-1.6
John Wall,WAS,25,77,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,1.3
Gordon Hayward,UTA,26,80,36.2,19.7,6.5,15.0,43.3,1.8,5.1,34.9,4.9,6.0,82.4,0.8,4.2,5.0,3.7,2.5,1.2,0.3,2.3,1.2
Kyrie Irving,CLE,24,53,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3.0,4.7,2.3,1.1,0.3,2.0,3.9
Brandon Knight,PHX,24,52,36.0,19.6,7.1,17.2,41.5,2.3,6.8,34.2,3.0,3.5,85.2,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,-4.0
Danilo Gallinari,DEN,27,53,34.7,19.5,5.4,13.2,41.0,1.6,4.5,36.4,7.1,8.2,86.8,1.0,4.3,5.3,2.5,1.5,0.8,0.4,1.6,-1.9
Chris Paul,LAC,31,74,32.7,19.5,7.0,15.1,46.2,1.6,4.4,37.1,4.0,4.4,89.6,0.5,3.7,4.2,10.0,2.6,2.1,0.2,2.5,7.5
Chris Bosh,MIA,32,53,33.5,19.1,6.8,14.5,46.7,1.5,4.2,36.5,4.0,5.1,79.5,0.9,6.5,7.4,2.4,1.5,0.7,0.6,1.9,0.5
