Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Jrue Holiday,NOP,27,G,67,67,64.0,2.7,7.7,35.5,37.6,-2.0,32.7,1.5,0.4,0.04
Paul Millsap,ATL,32,F,69,69,46.9,2.8,7.5,37.8,37.3,0.5,34.0,1.3,0.1,0.07
Michael Kidd-Gilchrist,CHA,23,F,81,79,57.7,2.9,7.5,39.2,38.1,1.1,29.0,1.0,0.2,0.1
Kemba Walker,CHA,27,G,79,79,63.5,2.9,7.5,38.5,37.8,0.7,34.7,1.1,0.1,0.33
Andrew Wiggins,MIN,22,F,82,82,53.9,2.8,7.2,38.7,37.6,1.1,37.2,1.0,0.2,0
Blake Griffin,LAC,28,F,61,61,56.2,2.6,7.2,35.6,37.6,-2.0,34.0,0.9,0.1,0.15
Bradley Beal,WAS,24,G,77,77,63.8,2.7,7.2,37.3,38.0,-0.7,34.9,1.1,0.1,0.06
James Harden,HOU,27,G,81,81,53.8,2.5,7.1,35.6,36.8,-1.2,36.4,1.5,0.2,0.11
Draymond Green,GSW,27,F,76,76,44.4,2.3,7.0,33.2,36.9,-3.7,32.5,2.0,0.5,0.17
Jabari Parker,MIL,22,F,51,51,61.0,2.8,7.0,39.9,37.0,2.9,33.9,1.0,0.1,0
Mike Conley,MEM,29,G,69,69,59.9,2.5,7.0,36.0,37.9,-2.0,33.2,1.3,0.1,0.09
George Hill,UTA,31,G,49,48,60.0,2.9,6.9,41.3,38.3,3.0,31.5,1.0,0.1,0.08
Paul George,IND,27,F,74,74,58.6,2.4,6.9,34.8,37.3,-2.4,35.9,1.6,0.1,0.09
Kristaps Porzingis,NYK,21,F,66,66,40.7,2.4,6.8,34.8,36.9,-2.1,32.8,0.7,0.5,0
Wesley Matthews,DAL,30,G-F,72,72,66.4,2.6,6.8,38.5,37.3,1.2,34.2,1.1,0.1,0.14
CJ McCollum,POR,25,G,80,80,56.8,2.7,6.7,40.6,37.4,3.2,35.0,0.9,0.3,0.04
Danilo Gallinari,DEN,28,F,62,62,59.2,2.2,6.6,33.7,36.3,-2.6,33.9,0.6,0.1,0.13
Thaddeus Young,IND,29,F,73,72,56.9,2.2,6.5,33.8,37.4,-3.6,30.2,1.5,0.1,0.15
Garrett Temple,SAC,31,G,65,64,65.6,2.5,6.5,38.5,37.5,1.0,26.6,1.3,0.2,0.05
Justise Winslow,MIA,21,F,18,18,49.2,2.5,6.4,38.8,36.8,2.0,34.7,1.5,0.0,0
Damian Lillard,POR,26,G,75,75,55.9,2.5,6.4,38.5,37.1,1.4,35.9,0.9,0.2,0.15
Devin Booker,PHX,20,G,76,76,59.0,2.4,6.4,37.3,37.6,-0.3,35.0,0.9,0.0,0.01
Patrick Beverley,HOU,28,G,67,67,56.0,2.1,6.3,33.5,37.0,-3.5,30.7,1.5,0.2,0.36
Jae Crowder,BOS,26,F,72,72,61.9,1.9,6.3,30.8,37.3,-6.4,32.4,1.0,0.0,0.06
Victor Oladipo,OKC,25,G,67,67,56.4,2.4,6.2,38.7,37.8,0.9,33.2,1.2,0.1,0.12
Wilson Chandler,DEN,30,F,70,70,52.0,2.3,6.1,36.7,37.1,-0.3,30.9,0.7,0.1,0
Ricky Rubio,MIN,26,G,75,75,60.6,2.3,6.1,36.7,38.2,-1.5,32.9,1.7,0.1,0.11
Kevin Durant,GSW,28,F,61,61,47.3,1.9,6.1,31.9,36.5,-4.6,33.4,1.1,0.6,0.03
Robert Covington,PHI,26,F,67,67,54.3,2.2,6.1,35.8,37.7,-1.9,31.6,1.9,0.4,0.04
Al Horford,BOS,31,C,68,68,41.5,2.2,6.1,36.8,37.4,-0.6,32.2,0.8,0.5,0
Eric Bledsoe,PHX,27,G,64,64,53.6,2.5,6.1,41.2,38.1,3.1,33.0,1.4,0.3,0.2
Karl-Anthony Towns,MIN,21,C,82,81,40.4,2.4,6.0,39.0,37.7,1.3,37.0,0.7,0.5,0.01
Derrick Rose,NYK,28,G,64,64,57.3,2.2,6.0,36.3,37.3,-1.0,32.5,0.7,0.2,0.05
Thabo Sefolosha,ATL,33,F,62,61,61.6,2.3,6.0,38.2,37.5,0.7,25.7,1.5,0.2,0
Tobias Harris,DET,24,F,82,82,50.7,2.3,6.0,38.7,36.7,2.0,31.3,0.7,0.2,0.01
Chris Paul,LAC,32,G,61,61,58.9,2.3,6.0,37.5,37.3,0.3,31.5,2.0,0.0,0.03
Jeff Teague,IND,29,G,81,81,58.0,2.2,5.9,37.2,37.6,-0.3,32.4,1.2,0.2,0.16
Marvin Williams,CHA,31,F,76,75,52.9,2.2,5.9,37.3,37.6,-0.3,30.2,0.8,0.2,0.01
Anthony Davis,NOP,24,F-C,75,75,41.5,1.9,5.9,31.9,37.5,-5.6,36.1,1.2,0.9,0.12
Elfrid Payton,ORL,23,G,82,82,54.4,2.3,5.9,38.1,37.8,0.4,29.4,1.1,0.2,0
Kyle Lowry,TOR,31,G,59,58,56.3,2.2,5.9,37.6,37.4,0.2,37.4,1.5,0.1,0.27
DeMarre Carroll,TOR,30,F,71,71,56.0,2.0,5.9,33.8,37.6,-3.8,26.1,1.1,0.2,0.03
Reggie Jackson,DET,27,G,52,52,60.6,2.6,5.9,43.9,38.2,5.7,27.4,0.7,0.0,0.02
Dennis Schroder,ATL,23,G,79,79,59.9,2.3,5.8,39.4,37.6,1.8,31.5,0.9,0.1,0.15
LeBron James,CLE,32,F,74,74,50.9,1.8,5.8,30.7,37.0,-6.2,37.8,1.2,0.1,0.09
Tim Hardaway Jr.,ATL,25,G,78,76,66.5,2.0,5.8,34.7,36.7,-2.0,27.3,0.7,0.1,0.13
Carmelo Anthony,NYK,33,F,74,74,57.8,2.0,5.8,34.3,36.9,-2.5,34.3,0.8,0.1,0
John Wall,WAS,26,G,78,77,60.6,2.0,5.7,34.2,37.4,-3.2,36.4,2.0,0.2,0.09
Rudy Gay,SAC,30,F,30,30,52.6,2.1,5.7,36.0,37.9,-1.8,33.8,1.5,0.4,0.07
Tristan Thompson,CLE,26,C,78,77,38.6,2.4,5.7,42.0,37.6,4.4,30.0,0.5,0.2,0
Otto Porter Jr.,WAS,24,F,80,80,53.8,2.4,5.7,41.6,37.3,4.4,32.6,1.4,0.1,0.05
Marcus Smart,BOS,23,G,79,79,62.2,2.0,5.7,35.9,37.2,-1.3,30.4,1.6,0.2,0.29
Avery Bradley,BOS,26,G,55,54,56.4,2.0,5.6,35.3,37.3,-2.0,33.4,1.2,0.1,0
Jameer Nelson,DEN,35,G,74,73,64.0,2.4,5.6,41.9,37.7,4.3,27.3,0.7,0.0,0.05
Jimmy Butler,CHI,27,F,76,75,54.0,1.8,5.6,32.2,37.6,-5.4,37.0,1.9,0.2,0.09
Seth Curry,DAL,26,G,69,69,63.5,1.9,5.5,34.2,38.2,-4.0,29.0,1.1,0.1,0.11
Andre Roberson,OKC,25,F,79,79,45.1,1.9,5.5,34.1,38.1,-4.0,30.1,1.2,0.4,0
Kentavious Caldwell-Pope,DET,24,G,76,76,64.4,2.1,5.5,38.1,38.5,-0.5,33.3,1.2,0.1,0.07
Evan Turner,POR,28,G-F,65,65,58.0,2.0,5.5,36.8,36.9,-0.1,25.5,0.8,0.2,0.02
Kyrie Irving,CLE,25,G,72,72,55.4,2.2,5.5,40.3,37.8,2.5,35.1,1.2,0.1,0.06
