Team,DEF,RDEF
PHX,106.8,45.2
MEM,108.9,47.4
GSW,106.6,43.9
MIA,108.4,41.3
DAL,109.1,47.1
BOS,106.2,42.5
MIL,111.1,43.7
PHI,110.2,46.7
UTA,110.0,45.3
DEN,111.5,49.9
TOR,109.9,45.1
CHI,113.2,49.6
MIN,111.0,46.1
BKN,112.3,47.3
CLE,108.9,46.6
ATL,113.7,48.0
CHA,113.1,48.1
LAC,109.5,50.1
NYK,110.2,43.2
NOP,112.0,45.3
WAS,113.6,48.2
SAS,111.7,50.2
LAL,112.8,51.5
SAC,114.8,51.4
POR,116.3,47.5
IND,115.5,51.5
OKC,111.7,47.7
DET,113.3,49.7
ORL,112.1,44.5
HOU,116.4,53.2
