Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Brook Lopez,MIL,34,C,72,72,100,10.5,22.8,46.2,50.6,-4.3,30.6,0.5,1.2,0
Nikola Jokic,DEN,28,C,66,66,100,10.4,20.4,51.0,50.4,0.6,33.9,1.3,0.4,0.06
Joel Embiid,PHI,29,C-F,61,61,100,9.1,19.2,47.1,49.7,-2.6,34.8,1.1,0.7,0.03
Domantas Sabonis,SAC,26,F-C,72,72,100,9.9,18.5,53.6,51.1,2.4,34.8,0.8,0.2,0.04
Rudy Gobert,MIN,30,C,62,62,100,8.4,17.9,47.0,50.0,-3.1,30.7,0.8,0.5,0
Ivica Zubac,LAC,26,C,69,69,100,8.3,17.6,47.2,50.9,-3.7,29.0,0.4,0.5,0
Evan Mobley,CLE,21,C,73,73,100,8.4,17.6,47.6,48.8,-1.2,34.4,0.8,0.5,0.01
Anthony Davis,LAL,30,F-C,48,48,100,7.8,17.6,44.4,50.5,-6.1,33.8,1.0,1.1,0.04
Kristaps Porzingis,WAS,27,F-C,63,63,100,7.6,17.5,43.4,49.2,-5.8,32.6,0.9,1.0,0
Nikola Vucevic,CHI,32,C,73,73,100,9.1,17.3,52.7,51.0,1.6,34.1,0.8,0.3,0.01
Myles Turner,IND,27,C-F,62,62,100,8.5,17.1,49.7,50.7,-1.0,29.4,0.6,0.8,0
Jakob Poeltl,TOR,27,C,64,64,100,8.6,16.4,52.4,50.1,2.3,26.8,1.0,0.3,0.05
Al Horford,BOS,36,C-F,58,58,100,7.3,16.4,44.4,48.8,-4.5,30.8,0.5,0.6,0
Jarrett Allen,CLE,24,C,64,64,100,7.8,16.3,47.6,49.7,-2.2,33.0,0.8,0.3,0.05
Jusuf Nurkic,POR,28,C,52,52,100,8.2,16.2,50.8,51.2,-0.4,26.8,0.8,0.3,0.02
Nic Claxton,BKN,23,C,69,69,100,7.0,15.6,45.1,49.5,-4.4,29.6,0.8,1.1,0
Wendell Carter Jr.,ORL,23,C-F,51,51,100,7.9,15.5,50.6,49.4,1.2,30.1,0.5,0.2,0
Cade Cunningham,DET,21,G,12,12,100,6.7,15.5,43.0,48.0,-5.0,33.3,0.8,0.2,0
Kelly Olynyk,UTA,31,F-C,62,62,100,7.7,15.5,50.1,49.1,0.9,28.3,0.9,0.3,0.2
Kevin Durant,PHX,34,F,42,42,100,6.8,15.4,43.8,47.8,-4.0,35.7,0.8,0.8,0
Fred VanVleet,TOR,29,G,62,62,100,7.6,15.3,49.7,47.5,2.2,36.9,1.7,0.3,0.02
Draymond Green,GSW,33,F,66,66,100,6.7,15.2,43.9,48.9,-5.1,31.4,1.0,0.5,0.18
Scottie Barnes,TOR,21,F,69,69,100,7.7,15.1,51.0,48.6,2.4,34.9,1.0,0.5,0.01
Alperen Sengun,HOU,20,C,67,67,100,7.6,15.1,50.4,50.1,0.3,28.5,0.9,0.4,0.09
Clint Capela,ATL,28,C,58,58,100,7.5,14.9,50.4,50.4,0.0,26.6,0.7,0.3,0.25
Deandre Ayton,PHX,24,C,61,61,100,7.1,14.9,47.6,50.5,-2.9,30.4,0.6,0.4,0
Mikal Bridges,BKN,26,G-F,19,19,100,7.0,14.8,47.2,48.0,-0.8,36.0,1.1,0.3,0
Kevin Porter Jr.,HOU,22,G-F,52,52,100,7.2,14.8,48.8,46.7,2.0,34.0,1.3,0.2,0.06
Isaiah Stewart,DET,21,F-C,50,50,100,7.2,14.7,48.8,49.0,-0.3,28.3,0.4,0.3,0
Shai Gilgeous-Alexander,OKC,24,G,63,63,100,6.7,14.6,45.7,46.9,-1.3,35.5,1.7,0.6,0
Buddy Hield,IND,30,G,75,75,100,7.0,14.6,47.9,47.2,0.7,31.6,1.2,0.1,0
Walker Kessler,UTA,21,C,69,69,100,6.9,14.5,47.3,50.2,-2.9,22.7,0.3,1.0,0
Bam Adebayo,MIA,25,C-F,70,70,100,7.0,14.5,48.4,49.5,-1.1,35.2,1.2,0.5,0.03
Jabari Smith Jr.,HOU,19,F,71,71,100,7.1,14.4,49.5,48.1,1.4,30.7,0.5,0.4,0
Luka Doncic,DAL,24,F-G,58,58,100,7.0,14.4,48.5,47.6,0.9,36.4,1.4,0.3,0.07
Julius Randle,NYK,28,F-C,75,75,100,7.0,14.3,48.5,47.7,0.8,35.9,0.6,0.1,0
Mason Plumlee,LAC,33,F-C,71,71,100,7.4,14.3,51.4,50.5,0.9,26.8,0.6,0.3,0.01
Zach Collins,SAS,25,F-C,59,59,100,7.0,14.3,49.2,50.4,-1.2,22.5,0.6,0.3,0.07
Steven Adams,MEM,29,C,42,42,100,6.3,14.2,44.3,50.8,-6.5,27.0,0.9,0.5,0.02
Maxi Kleber,DAL,31,F,32,32,100,6.6,14.2,46.5,47.5,-1.1,25.7,0.3,0.5,0.03
Pascal Siakam,TOR,28,F,64,64,100,7.0,14.2,49.8,48.4,1.4,37.5,0.8,0.2,0.02
Kevon Looney,GSW,27,F,75,75,100,6.9,14.1,49.0,50.1,-1.2,23.7,0.6,0.4,0
Anfernee Simons,POR,23,G,62,62,100,6.9,14.0,49.0,47.3,1.7,35.0,0.7,0.1,0.03
Jrue Holiday,MIL,32,G,62,62,100,6.3,13.9,45.4,48.1,-2.7,32.7,1.2,0.3,0
Royce O'Neale,BKN,29,F,70,70,100,6.4,13.8,46.4,48.1,-1.7,32.0,0.9,0.3,0.01
Harrison Barnes,SAC,30,F,74,74,100,6.6,13.8,47.7,48.1,-0.3,32.7,0.7,0.0,0.08
John Collins,ATL,25,F-C,64,64,100,6.9,13.8,49.9,48.4,1.5,30.1,0.6,0.4,0.19
Paul George,LAC,32,F,56,56,100,6.7,13.8,48.3,48.2,0.0,34.6,1.5,0.2,0.05
Jaren Jackson Jr.,MEM,23,F-C,56,56,100,6.1,13.8,44.5,49.2,-4.7,28.1,1.0,1.0,0
Karl-Anthony Towns,MIN,27,C-F,22,22,100,5.9,13.6,43.5,47.5,-4.0,33.4,0.8,0.3,0.05
RJ Barrett,NYK,22,F-G,67,67,100,6.1,13.6,45.2,47.0,-1.8,34.0,0.4,0.1,0
P.J. Washington,CHA,24,F,69,69,100,6.3,13.5,46.5,48.2,-1.8,32.8,0.9,0.4,0
Bogdan Bogdanovic,ATL,30,G,48,48,100,6.3,13.4,47.2,46.9,0.3,28.3,0.8,0.3,0.02
CJ McCollum,NOP,31,G,66,66,100,6.4,13.4,47.5,46.9,0.6,35.1,0.9,0.3,0.03
Andrew Wiggins,GSW,28,F,37,37,100,6.5,13.4,48.2,47.1,1.1,32.2,1.2,0.5,0.03
Josh Hart,NYK,28,G,69,69,100,6.5,13.3,48.9,48.4,0.5,32.6,1.1,0.1,0
Paolo Banchero,ORL,20,F,67,67,100,6.3,13.3,47.8,48.5,-0.7,34.0,0.9,0.3,0.09
Lauri Markkanen,UTA,25,F-C,64,64,100,6.1,13.3,45.9,48.6,-2.7,34.4,0.6,0.4,0
Kyrie Irving,DAL,31,G,54,54,100,6.1,13.3,45.9,47.0,-1.1,37.1,1.0,0.5,0.07
De'Aaron Fox,SAC,25,G,66,66,100,6.5,13.3,49.1,46.6,2.5,33.8,1.2,0.3,0.08
Jaden McDaniels,MIN,22,F,71,71,100,6.1,13.2,46.5,47.3,-0.8,30.9,0.9,0.5,0.01
Austin Reaves,LAL,24,G,56,56,100,6.0,13.2,45.1,46.2,-1.1,28.1,0.6,0.2,0.29
LaMelo Ball,CHA,21,G,36,36,100,6.4,13.1,48.9,46.1,2.8,35.2,1.3,0.1,0
Caleb Martin,MIA,27,F,64,64,100,6.6,13.1,50.1,46.7,3.4,29.7,1.0,0.2,0.25
Dorian Finney-Smith,BKN,29,F,60,60,100,6.2,13.1,47.6,48.8,-1.2,30.8,0.9,0.1,0
Mikal Bridges,BKN,26,F,56,56,100,6.2,13.1,47.7,47.6,0.2,36.0,1.1,0.3,0
Zach LaVine,CHI,28,G,69,69,100,5.7,12.9,44.2,46.5,-2.3,36.3,0.9,0.0,0
