Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Juancho Hernangomez,DEN,22,F,22,18,43.5,1.4,2.6,54.4,55.7,-1.3,11.1,0.0
Omri Casspi,GSW,30,F,52,46,50.2,1.2,2.6,47.0,54.7,-7.6,14.0,0.2
Glenn Robinson III,IND,24,G-F,23,18,47.2,1.5,2.6,57.6,57.0,0.6,14.7,0.2
Aaron Harrison,DAL,23,G,9,9,32.4,1.8,2.6,69.6,54.9,14.6,25.9,0.1
Myke Henry,MEM,25,F,20,16,42.9,1.6,2.5,64.7,55.7,9.0,18.9,0.1
DeAndre' Bembry,ATL,23,F-G,25,22,42.3,1.6,2.5,63.5,54.3,9.2,17.5,0.3
Pat Connaughton,POR,25,G-F,82,67,39.8,1.3,2.5,50.5,55.5,-5.0,18.1,0.1
Alex Abrines,OKC,24,G,65,56,42.7,1.4,2.5,54.9,56.2,-1.2,15.1,0.1
Jared Dudley,PHX,32,F,45,39,42.6,1.5,2.5,61.6,57.0,4.6,14.3,0.1
Torrey Craig,DEN,27,G-F,39,35,38.8,1.4,2.5,57.7,55.8,2.0,16.1,0.1
Bryn Forbes,SAS,24,G,78,67,40.4,1.5,2.5,61.7,55.1,6.5,19.0,0.0
Malcolm Delaney,ATL,29,G,51,48,40.8,1.5,2.5,61.1,54.9,6.2,18.8,0.1
Royce O'Neale,UTA,25,F,62,55,38.9,1.4,2.5,54.9,55.8,-0.9,16.7,0.1
Gary Payton II,LAL,25,G,19,14,52.2,1.4,2.5,57.4,56.5,1.0,9.6,0.1
Darrell Arthur,DEN,30,F,15,15,62.7,1.5,2.5,62.2,57.2,5.0,7.4,0.1
Isaiah Whitehead,BKN,23,G,13,11,49.2,1.5,2.5,59.4,55.8,3.6,11.2,0.2
Nick Young,GSW,33,G-F,80,65,43.6,1.5,2.5,60.2,55.3,4.9,17.4,0.1
Wayne Selden,MEM,23,G-F,34,28,42.3,1.8,2.4,72.3,55.1,17.2,19.7,0.1
Dante Exum,UTA,22,G,14,13,40.5,1.1,2.4,47.1,55.5,-8.4,16.8,0.1
Jonas Jerebko,UTA,31,F,71,66,41.2,1.3,2.4,54.7,57.5,-2.9,15.3,0.1
Jameer Nelson,DET,36,G,50,43,34.4,1.4,2.4,58.7,54.0,4.6,20.3,0.1
Troy Williams,NYK,23,F,20,17,47.5,1.1,2.4,43.8,56.1,-12.4,14.6,0.1
Manu Ginobili,SAS,40,G,63,58,46.7,1.3,2.4,53.0,55.7,-2.8,20.0,0.2
Vince Carter,SAC,41,G-F,57,48,41.4,1.3,2.4,54.7,58.1,-3.3,17.7,0.3
Alec Peters,PHX,23,F,16,13,46.3,1.1,2.4,47.4,52.8,-5.4,11.2,0.1
Dwight Buycks,DET,29,G,26,23,45.6,1.1,2.4,46.8,54.7,-7.9,14.7,0.0
Frank Mason III,SAC,24,G,50,45,42.3,1.6,2.4,68.1,54.2,13.8,NaN,NaN
Tyler Dorsey,ATL,22,G,52,41,38.2,1.4,2.4,57.7,55.7,2.0,17.4,0.1
Wes Iwundu,ORL,23,F,59,52,40.6,1.5,2.4,62.9,54.9,8.0,16.5,0.1
Tyler Ennis,LAL,23,G,47,33,44.4,1.3,2.4,56.8,54.7,2.1,12.6,0.1
Danuel House Jr.,PHX,25,F-G,22,19,38.0,1.3,2.4,53.8,57.3,-3.4,17.5,0.1
Shane Larkin,BOS,25,G,50,41,43.9,1.4,2.4,61.0,54.9,6.1,14.4,0.0
Henry Ellenson,DET,21,F,34,25,48.8,1.5,2.4,65.0,57.3,7.7,8.7,0
Raul Neto,UTA,26,G,37,30,41.6,1.2,2.4,50.6,52.8,-2.2,12.1,0.0
Lance Thomas,NYK,30,F,68,58,40.3,1.2,2.3,50.9,57.0,-6.0,18.5,0.1
Jason Terry,MIL,40,G,47,37,46.0,1.5,2.3,64.5,55.4,9.1,16.0,0.2
Matt Costello,SAS,24,F-C,3,3,70.0,1.0,2.3,42.9,58.7,-15.8,8.0,0.5
Jacob Wiley,BKN,23,F,3,3,58.3,0.7,2.3,28.6,53.4,-24.8,6.6,0
Malik Monk,CHA,20,G,56,49,50.4,1.5,2.3,66.2,54.4,11.8,13.5,0.1
Norman Powell,TOR,25,F-G,66,55,48.3,1.3,2.3,54.6,55.8,-1.2,15.2,0.1
Tim Frazier,WAS,27,G,56,48,40.7,1.5,2.3,64.3,55.6,8.7,14.2,0.1
Devin Harris,DEN,35,G,71,67,38.0,1.3,2.3,58.6,55.9,2.7,18.9,0.1
Treveon Graham,CHA,24,G-F,60,51,43.2,1.4,2.3,61.0,54.2,6.9,16.7,0.0
Sam Dekker,LAC,24,F,71,59,48.3,1.1,2.3,49.7,56.5,-6.9,12.1,0.1
DeAndre Liggins,NOP,30,G,51,43,50.7,1.4,2.3,59.5,53.7,5.7,12.7,0.1
Jodie Meeks,WAS,30,G,74,61,47.7,1.3,2.3,58.7,55.1,3.5,14.5,0.0
