Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Zavier Simpson,OKC,25,G,4,4,54.1,4.5,10.0,45.0,35.9,9.1,43.5,1.2,0.5,0
Rudy Gobert,UTA,30,C,66,66,40.7,3.1,8.5,36.7,35.7,1.0,32.1,0.7,0.9,0.03
Christian Wood,HOU,26,F,68,67,50.0,3.2,8.2,38.8,36.4,2.4,30.8,0.8,0.4,0
Jrue Holiday,MIL,32,G,66,66,54.2,3.0,7.8,39.0,36.9,2.1,33.0,1.6,0.3,0.06
Miles Bridges,CHA,24,F,79,79,48.4,2.8,7.7,35.8,36.4,-0.6,35.5,0.9,0.3,0
Kevin Durant,BKN,33,F,55,55,53.4,2.6,7.6,34.8,35.9,-1.1,37.2,0.9,0.5,0.02
Nikola Jokic,DEN,27,C,74,73,35.3,2.8,7.5,36.8,36.0,0.8,33.5,1.5,0.5,0.03
Luguentz Dort,OKC,23,G,51,51,58.9,2.6,7.5,34.9,36.9,-2.0,32.6,0.9,0.2,0
Deandre Ayton,PHX,23,C,58,58,45.7,2.6,7.4,35.5,36.3,-0.8,29.5,0.7,0.5,0
RJ Barrett,NYK,22,F-G,70,68,51.7,2.4,7.4,33.1,36.9,-3.8,34.5,0.6,0.0,0.03
Nikola Vucevic,CHI,31,C,73,71,36.6,2.7,7.3,36.7,36.5,0.2,33.1,1.0,0.3,0.03
Anthony Davis,LAL,29,F-C,40,40,42.4,2.4,7.2,32.9,36.4,-3.5,35.1,1.2,1.1,0.05
Pascal Siakam,TOR,28,F,68,68,44.3,2.8,7.2,38.1,36.3,1.8,37.9,1.2,0.2,0
Al Horford,BOS,36,C-F,69,69,47.6,2.6,7.2,36.6,36.4,0.2,29.1,0.7,0.7,0
Joel Embiid,PHI,28,C-F,68,68,36.8,2.6,7.0,37.4,36.4,0.9,33.8,1.1,0.6,0.01
Shai Gilgeous-Alexander,OKC,23,G,56,56,49.7,2.9,7.0,41.3,36.1,5.2,34.7,1.3,0.5,0
Josh Hart,POR,27,G,54,54,49.6,2.6,6.9,37.1,36.7,0.4,33.2,1.1,0.1,0.04
Darius Bazley,OKC,22,F,69,69,48.1,2.4,6.9,35.4,36.7,-1.3,27.9,0.8,0.6,0
Brook Lopez,MIL,34,C,13,13,47.8,2.7,6.8,39.3,35.7,3.7,22.9,0.6,0.4,0
Scottie Barnes,TOR,20,F,74,74,42.2,2.4,6.8,35.7,36.3,-0.5,35.4,1.1,0.3,0.05
Devin Cannady,ORL,26,G,5,5,53.1,2.6,6.8,38.2,35.5,2.8,29.0,1.0,0.6,0
Robert Williams III,BOS,24,C-F,61,61,49.9,2.3,6.7,34.0,36.2,-2.3,29.6,0.9,1.5,0
John Collins,ATL,24,F-C,54,54,46.8,2.7,6.7,41.0,36.0,4.9,30.8,0.6,0.3,0.26
Devin Booker,PHX,25,G,68,68,48.3,2.1,6.7,32.3,36.6,-4.3,34.5,1.1,0.2,0.01
CJ McCollum,NOP,30,G,62,62,49.7,2.6,6.6,39.9,36.4,3.5,34.6,1.1,0.2,0.02
Mo Bamba,ORL,24,C,71,70,46.1,2.3,6.6,34.0,36.0,-2.0,25.7,0.5,1.0,0
Jakob Poeltl,SAS,26,C,68,68,34.0,2.5,6.6,37.9,37.0,1.0,29.0,0.7,0.6,0.03
Draymond Green,GSW,32,F,45,45,49.7,2.3,6.6,34.5,36.0,-1.5,28.9,1.3,0.9,0.17
Julius Randle,NYK,27,F-C,72,72,50.0,2.2,6.5,33.5,36.3,-2.7,35.3,0.7,0.1,0
Giannis Antetokounmpo,MIL,27,F,67,66,47.3,2.5,6.5,37.9,36.3,1.6,32.9,1.1,0.5,0.01
P.J. Tucker,MIA,37,F,71,71,55.1,2.3,6.5,34.8,36.6,-1.8,27.9,0.8,0.1,0.14
Andrew Wiggins,GSW,27,F,73,73,46.1,2.2,6.5,33.4,36.7,-3.3,31.9,1.0,0.5,0.01
De'Aaron Fox,SAC,24,G,58,58,46.2,2.5,6.5,37.8,36.6,1.2,35.3,1.2,0.3,0.05
Jaylen Hoard,OKC,23,F,6,6,43.8,3.5,6.5,53.8,35.1,18.7,34.3,0.9,0.4,0
Wendell Carter Jr.,ORL,23,C-F,62,62,44.2,2.6,6.5,40.5,36.9,3.6,29.9,0.6,0.3,0.02
Jonas Valanciunas,NOP,30,C,74,73,39.2,2.4,6.5,37.4,36.3,1.2,30.3,0.6,0.4,0
Khris Middleton,MIL,30,F,66,66,51.0,2.5,6.5,38.3,36.3,2.0,32.4,1.2,0.1,0.03
Dorian Finney-Smith,DAL,29,F,80,80,46.7,2.3,6.4,35.5,37.1,-1.6,33.0,1.1,0.1,0
Evan Mobley,CLE,21,C,69,69,36.6,2.5,6.3,39.3,36.4,2.8,33.8,0.8,0.4,0
Karl-Anthony Towns,MIN,26,C-F,74,72,42.2,2.4,6.3,37.6,36.8,0.7,33.5,1.0,0.5,0
Bradley Beal,WAS,29,G,40,40,51.9,2.0,6.3,32.7,36.9,-4.2,36.0,0.9,0.3,0.17
Bobby Portis,MIL,27,F,72,72,46.5,2.1,6.3,34.1,36.4,-2.2,28.2,0.7,0.4,0
D'Angelo Russell,MIN,26,G,65,65,46.3,2.0,6.2,32.8,36.6,-3.7,32.0,1.0,0.2,0.08
Zach LaVine,CHI,27,G-F,67,67,53.3,2.7,6.2,43.4,36.6,6.8,34.7,0.6,0.2,0.01
Isaiah Stewart,DET,21,F-C,71,70,43.0,2.3,6.2,36.9,37.3,-0.4,25.6,0.3,0.4,0
De'Andre Hunter,ATL,24,F-G,53,52,49.4,2.4,6.2,38.8,37.1,1.8,29.8,0.7,0.3,0.02
Anthony Edwards,MIN,20,G,72,72,47.9,2.3,6.2,37.4,36.5,0.9,34.2,1.5,0.3,0.01
Ivica Zubac,LAC,25,C,76,76,38.6,2.5,6.2,41.4,36.5,4.9,24.4,0.5,0.3,0.01
Cade Cunningham,DET,20,G,64,63,42.5,2.3,6.2,36.5,37.1,-0.7,32.6,1.2,0.3,0.03
Marvin Bagley III,DET,23,F,48,47,54.8,2.1,6.2,33.8,36.2,-2.4,23.9,0.5,0.1,0.08
Lonzo Ball,CHI,24,G,35,35,42.7,2.4,6.2,38.9,36.6,2.3,34.6,1.8,0.3,0.03
Paul George,LAC,32,F,31,31,45.9,2.0,6.2,31.9,36.7,-4.8,34.7,2.2,0.2,0.16
Reggie Jackson,LAC,32,G,75,75,46.3,2.0,6.2,32.9,36.7,-3.8,31.2,0.7,0.1,0.09
Pat Connaughton,MIL,29,G,65,65,52.9,2.3,6.1,37.5,35.8,1.7,26.0,0.9,0.1,0.02
Kristaps Porzingis,WAS,26,F-C,51,50,41.6,2.4,6.0,39.6,36.3,3.3,29.0,0.7,0.9,0
Herbert Jones,NOP,23,F,78,77,51.0,2.3,6.0,37.8,36.5,1.3,29.9,1.7,0.4,0.1
James Harden,PHI,32,G,65,65,44.5,2.1,6.0,35.7,35.6,0.1,37.2,1.3,0.3,0.03
Kyle Lowry,MIA,36,G,63,62,50.1,2.4,6.0,40.0,36.3,3.7,33.9,1.1,0.2,0.4
O.G. Anunoby,TOR,24,F,48,48,51.4,2.0,6.0,33.0,36.1,-3.1,NaN,NaN,NaN,NaN
Damian Lillard,POR,31,G,29,28,49.1,2.2,6.0,36.4,36.4,0.0,36.4,0.6,0.3,0.07
Dillon Brooks,MEM,26,G-F,32,32,48.8,2.3,6.0,38.2,36.4,1.9,27.7,1.1,0.1,0.06
Royce O'Neale,UTA,29,F,77,77,47.1,2.3,6.0,38.3,36.6,1.7,31.2,1.1,0.2,0
Domantas Sabonis,SAC,26,F-C,62,61,37.9,2.2,5.9,37.2,36.8,0.4,34.5,1.0,0.1,0.02
Marcus Smart,BOS,28,G,71,71,55.7,2.0,5.9,34.0,36.9,-2.9,32.3,1.7,0.1,0.23
Luka Doncic,DAL,23,F-G,65,65,42.4,2.1,5.9,35.2,36.2,-1.1,35.4,1.2,0.3,0.02
Jaylen Brown,BOS,25,G-F,66,65,48.0,2.2,5.9,37.2,36.5,0.7,33.6,1.1,0.2,0.03
LeBron James,LAL,37,F,56,56,45.4,1.9,5.8,33.3,36.0,-2.7,37.2,1.3,0.4,0.27
Desmond Bane,MEM,24,G,76,75,48.4,2.0,5.8,34.9,36.7,-1.8,29.8,1.2,0.2,0.01
Mikal Bridges,PHX,25,F,82,81,46.1,2.0,5.8,34.7,36.1,-1.5,34.8,1.2,0.3,0.01
Bam Adebayo,MIA,24,C-F,56,56,46.6,1.8,5.8,31.4,37.0,-5.6,32.6,1.4,0.5,0.04
Tyrese Maxey,PHI,21,G,75,75,48.0,2.1,5.8,35.9,36.5,-0.6,35.3,0.7,0.2,0
Kemba Walker,NYK,32,G,37,37,49.5,2.2,5.8,37.4,36.7,0.7,25.6,0.7,0.1,0.3
Grayson Allen,MIL,26,G,66,66,54.2,2.1,5.7,36.2,36.5,-0.2,27.3,0.7,0.1,0.05
Franz Wagner,ORL,20,F,77,77,48.2,2.1,5.7,37.5,36.8,0.7,30.7,0.9,0.3,0.03
Alex Caruso,CHI,28,G,41,41,49.2,1.9,5.7,32.6,36.8,-4.1,28.0,1.7,0.1,0.17
Bogdan Bogdanovic,ATL,29,G,63,62,47.2,2.1,5.7,37.8,36.5,1.3,29.3,1.1,0.1,0.02
Norman Powell,LAC,29,G,44,44,53.2,1.9,5.6,34.4,36.6,-2.2,32.4,0.9,0.2,0
Terry Rozier,CHA,28,G,72,72,45.4,2.1,5.6,37.0,37.0,-0.1,33.7,1.3,0.2,0.05
Alec Burks,NYK,30,G,81,81,52.2,1.9,5.6,33.3,36.5,-3.2,28.6,1.0,0.1,0
Brandon Williams,POR,22,G,24,24,50.2,2.4,5.6,42.5,36.6,5.9,26.7,1.0,0.2,0
Cole Anthony,ORL,22,G,64,64,47.9,2.3,5.6,41.5,36.9,4.6,31.7,0.7,0.2,0.11
Jarrett Allen,CLE,24,C,56,56,35.4,1.9,5.6,33.3,36.5,-3.2,32.3,0.8,0.2,0
Mitchell Robinson,NYK,24,C-F,72,71,47.5,2.0,5.5,35.8,36.6,-0.7,25.7,0.8,0.8,0.01
Fred VanVleet,TOR,28,G,65,65,38.9,2.0,5.5,36.7,36.3,0.4,37.9,1.7,0.4,0.02
Nic Claxton,BKN,23,F-C,47,44,50.4,2.0,5.5,36.9,36.4,0.5,20.7,0.5,0.6,0
Jae Crowder,PHX,31,F,67,66,47.3,2.0,5.5,35.5,36.6,-1.1,28.1,1.4,0.2,0.03
Juwan Morgan,BOS,25,F,2,2,68.8,1.5,5.5,27.3,32.1,-4.8,NaN,NaN,NaN,NaN
Keldon Johnson,SAS,22,F-G,75,75,45.1,2.1,5.5,38.0,36.1,1.9,31.9,0.8,0.1,0.01
Clint Capela,ATL,28,C,74,74,38.7,2.1,5.5,39.3,36.2,3.1,27.6,0.7,0.4,0.19
Lauri Markkanen,CLE,25,F-C,61,60,40.1,2.0,5.4,37.5,36.9,0.5,30.8,0.7,0.2,0
Jeff Green,DEN,35,F,75,74,51.2,1.9,5.4,34.6,35.9,-1.3,24.7,0.4,0.2,0.13
Seth Curry,BKN,31,G,64,63,50.3,1.9,5.4,34.3,36.7,-2.4,33.3,0.8,0.1,0.05
Jayson Tatum,BOS,24,F-G,76,76,45.6,1.8,5.4,32.3,36.8,-4.5,35.9,1.0,0.4,0
Kyrie Irving,BKN,30,G,29,28,42.5,1.9,5.4,34.4,36.6,-2.2,37.6,1.4,0.3,0.07
Darius Garland,CLE,22,G,68,67,47.7,2.0,5.4,37.7,36.8,0.9,35.7,1.3,0.1,0.04
Grant Williams,BOS,23,F,77,75,47.8,1.9,5.4,36.0,36.3,-0.3,24.4,0.5,0.4,0.08
Trae Young,ATL,23,G,76,76,48.7,1.9,5.4,35.8,36.7,-0.9,34.9,0.9,0.1,0.08
Montrezl Harrell,CHA,28,F-C,71,69,46.8,1.8,5.3,34.0,36.0,-2.0,23.1,0.4,0.3,0.17
Talen Horton-Tucker,LAL,21,G,60,60,48.6,1.9,5.3,34.8,36.7,-1.9,25.2,1.0,0.3,0.02
Harrison Barnes,SAC,30,F,76,75,45.4,2.1,5.3,39.9,36.2,3.7,33.6,0.7,0.1,0.01
Caleb Martin,MIA,26,F,59,57,49.5,1.6,5.3,29.4,36.6,-7.3,22.9,1.0,0.3,0.15
Nassir Little,POR,22,F-G,42,42,46.3,1.6,5.3,29.6,37.0,-7.4,25.9,0.6,0.4,0
Gabe Vincent,MIA,26,G,64,62,54.2,1.7,5.3,32.4,36.4,-4.0,23.4,0.9,0.1,0.12
Tyrese Haliburton,IND,22,G,76,76,44.1,1.9,5.3,36.5,36.3,0.2,35.0,1.7,0.5,0
Marcus Morris Sr.,LAC,32,F,54,53,53.2,1.9,5.3,35.3,36.6,-1.2,29.0,0.5,0.2,0.04
Jaden McDaniels,MIN,21,F,70,70,47.4,1.9,5.3,35.6,36.6,-1.0,25.8,0.7,0.3,0.01
Kevin Huerter,ATL,23,G-F,74,74,46.9,1.9,5.3,35.5,37.0,-1.6,29.6,0.7,0.2,0
Daniel Theis,BOS,30,F-C,47,44,43.6,2.0,5.3,37.8,35.6,2.1,20.8,0.4,0.2,0
Tyler Herro,MIA,22,G,66,64,45.0,1.9,5.3,35.2,36.6,-1.3,32.6,0.7,0.1,0.02
Spencer Dinwiddie,DAL,29,G,67,66,49.2,1.9,5.3,35.0,36.1,-1.1,29.6,0.7,0.1,0.04
Jaren Jackson Jr.,MEM,22,F-C,78,77,42.9,1.9,5.3,35.8,36.2,-0.5,27.3,0.9,0.8,0
Jimmy Butler,MIA,32,F,57,57,53.9,1.7,5.3,33.0,36.7,-3.7,33.9,1.6,0.2,0.07
Tobias Harris,PHI,29,F,73,73,42.6,1.7,5.3,32.9,36.8,-3.9,34.8,0.6,0.3,0
Deni Avdija,WAS,21,F,81,78,42.6,1.8,5.3,34.6,36.7,-2.1,24.2,0.7,0.3,0
Josh Giddey,OKC,19,G,54,53,43.1,1.7,5.2,32.9,36.3,-3.4,31.5,0.9,0.3,0
LaMarcus Aldridge,BKN,36,C-F,47,47,43.6,2.0,5.2,38.2,36.7,1.5,22.3,0.3,0.3,0
Ja Morant,MEM,22,G,57,57,42.5,1.8,5.2,34.9,36.7,-1.8,33.1,1.2,0.2,0.02
Jalen Brunson,DAL,25,G,79,79,52.2,1.8,5.2,34.7,36.1,-1.4,31.9,0.8,0.0,0.22
Dejounte Murray,SAS,25,G,68,68,40.4,1.9,5.2,36.1,36.4,-0.3,34.8,2.0,0.2,0.01
P.J. Washington,CHA,23,F,65,63,42.2,1.8,5.2,34.8,36.6,-1.8,27.2,0.9,0.4,0.02
Davion Mitchell,SAC,23,G,74,72,49.5,1.8,5.1,34.7,36.5,-1.8,27.7,0.7,0.2,0.16
Robert Covington,LAC,31,F,71,71,43.7,2.0,5.1,39.5,36.5,2.9,27.3,1.5,0.5,0.04
Jae'Sean Tate,HOU,26,F,78,78,44.6,1.9,5.1,36.3,36.5,-0.3,26.4,0.9,0.3,0.22
Cody Martin,CHA,26,F,70,69,48.8,2.0,5.1,38.4,36.7,1.8,26.3,1.2,0.3,0.27
Kevon Looney,GSW,26,F,82,80,42.2,1.7,5.1,33.5,36.7,-3.2,21.1,0.6,0.4,0.01
Steven Adams,MEM,28,C,76,71,36.5,2.0,5.1,39.6,35.8,3.8,26.3,0.9,0.3,0.03
Buddy Hield,IND,29,G,80,80,39.1,1.9,5.1,37.2,36.3,0.9,30.9,0.9,0.2,0
