Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Rudy Gobert,UTA,29,C,71,71,37.4,2.9,8.3,34.5,37.7,-3.2,30.8,0.6,1.2,0.06
Brook Lopez,MIL,33,C,69,69,40.6,3.3,8.0,40.7,37.3,3.4,27.2,0.6,0.7,0
Christian Wood,HOU,25,F,41,41,44.3,3.1,7.7,40.1,38.3,1.8,32.3,0.8,0.5,0.02
Darius Bazley,OKC,21,F-G,54,54,50.4,2.6,7.6,34.8,37.0,-2.2,31.2,0.5,0.2,0
Shai Gilgeous-Alexander,OKC,22,G-F,34,34,50.5,2.8,7.4,38.1,37.6,0.5,33.7,0.8,0.3,0
Pascal Siakam,TOR,27,F,56,56,46.9,3.0,7.3,41.7,37.7,4.0,35.8,1.1,0.3,0.05
Deandre Ayton,PHX,22,C,67,67,42.2,3.0,7.2,41.3,37.7,3.6,30.7,0.6,0.5,0
Zion Williamson,NOP,20,F,59,59,51.7,2.6,7.2,36.0,37.0,-0.9,33.2,0.9,0.2,0.02
Andrew Wiggins,GSW,26,F,70,70,47.7,2.7,7.1,37.9,38.2,-0.3,33.3,0.9,0.7,0
Jrue Holiday,MIL,31,G,58,58,53.6,3.1,7.1,43.2,37.9,5.3,32.3,1.6,0.4,0.03
RJ Barrett,NYK,21,F-G,71,70,50.6,2.4,7.0,34.1,36.9,-2.7,34.9,0.7,0.1,0
De'Aaron Fox,SAC,23,G,56,56,47.6,2.7,7.0,39.1,38.1,1.0,35.1,1.5,0.3,0.12
Draymond Green,GSW,31,F,62,62,46.6,2.6,6.9,38.1,37.6,0.5,31.5,1.7,0.4,0.27
Luguentz Dort,OKC,22,G,51,51,54.4,2.5,6.9,36.9,38.9,-2.0,29.7,0.9,0.2,0.1
Kristaps Porzingis,DAL,25,F-C,43,43,41.4,2.8,6.9,41.4,37.2,4.2,30.9,0.5,0.5,0.02
CJ McCollum,POR,29,G,46,46,51.2,2.7,6.8,39.7,37.9,1.9,34.0,0.9,0.3,0.02
Josh Hart,NOP,26,G,46,46,51.0,2.7,6.7,40.6,37.6,3.0,28.7,0.8,0.0,0.06
Terry Rozier,CHA,27,G,68,68,49.4,2.4,6.7,35.4,37.8,-2.4,34.5,1.3,0.1,0.17
Bradley Beal,WAS,28,G,59,58,52.3,2.8,6.6,41.7,37.9,3.8,35.8,1.1,0.2,0.12
Julius Randle,NYK,26,F-C,70,70,44.8,2.4,6.6,36.4,37.0,-0.6,37.6,0.9,0.1,0.03
Kelly Olynyk,HOU,30,F-C,70,70,43.9,2.8,6.6,43.2,37.5,5.7,28.5,1.1,0.2,0.21
Lonzo Ball,NOP,23,G,53,53,51.3,2.5,6.5,39.0,38.4,0.6,31.8,1.5,0.3,0
Bam Adebayo,MIA,23,C-F,62,61,47.1,2.4,6.5,37.2,37.7,-0.5,33.5,1.2,0.6,0.08
Thomas Bryant,WAS,23,C-F,10,9,40.9,2.2,6.5,33.8,40.4,-6.6,27.1,0.4,0.7,0
Joel Embiid,PHI,27,C-F,51,51,37.0,2.6,6.5,39.8,37.0,2.8,31.1,1.0,0.4,0.08
Jamal Murray,DEN,24,G,47,46,52.0,2.0,6.5,31.7,38.0,-6.3,35.5,1.3,0.2,0.08
Anthony Davis,LAL,28,F-C,36,36,45.6,2.3,6.4,34.9,37.2,-2.3,32.3,1.2,0.8,0.06
Eric Bledsoe,NOP,31,G,69,68,51.8,2.6,6.4,40.3,37.2,3.1,29.7,0.8,0.2,0.15
Karl-Anthony Towns,MIN,25,C-F,50,50,38.8,2.6,6.4,40.3,38.3,2.0,33.8,0.8,0.6,0.06
Al Horford,OKC,35,C-F,27,26,42.3,2.7,6.4,43.0,38.3,4.7,27.9,0.9,0.5,0
Khris Middleton,MIL,29,F,67,67,51.1,2.4,6.3,38.1,37.8,0.3,33.4,1.1,0.1,0.01
Dillon Brooks,MEM,25,G-F,67,67,48.7,2.6,6.3,40.6,37.6,2.9,29.8,1.2,0.1,0.03
Victor Oladipo,MIA,29,G,31,31,47.5,2.3,6.3,36.7,37.6,-0.9,32.7,1.4,0.2,0.36
Danny Green,PHI,34,G,69,69,47.8,2.3,6.3,36.0,37.7,-1.7,28.0,1.3,0.4,0.01
Bogdan Bogdanovic,ATL,28,G,44,43,49.0,2.5,6.3,39.5,37.4,2.1,29.7,1.1,0.2,0
De'Andre Hunter,ATL,23,F-G,23,23,50.7,2.0,6.3,31.3,38.7,-7.4,29.5,0.8,0.2,0.04
Paul George,LAC,31,F,54,54,48.2,2.2,6.2,36.2,38.0,-1.8,33.7,1.1,0.3,0.15
Nikola Jokic,DEN,26,C,71,70,34.4,2.3,6.2,37.1,37.7,-0.5,34.6,1.3,0.3,0
Luka Doncic,DAL,22,F-G,66,64,46.9,2.2,6.2,36.2,37.3,-1.1,34.2,1.0,0.2,0
Blake Griffin,BKN,32,F,46,46,50.1,2.3,6.2,37.1,36.7,0.4,25.8,0.7,0.2,0.48
Nikola Vucevic,CHI,30,C,69,69,35.9,2.8,6.1,45.3,37.2,8.1,33.5,0.9,0.4,0.01
Jimmy Butler,MIA,31,F,50,50,51.3,2.0,6.1,32.4,37.2,-4.8,33.6,2.1,0.2,0.12
DeAndre Jordan,BKN,32,C,57,54,45.6,2.3,6.1,37.0,37.5,-0.5,21.9,0.3,0.5,0.02
Kemba Walker,BOS,31,G,43,43,45.3,2.4,6.1,39.5,38.2,1.3,31.8,1.1,0.1,0.51
Damian Lillard,POR,30,G,64,64,50.8,2.3,6.1,38.3,37.5,0.8,35.8,0.9,0.1,0.12
Trevor Ariza,MIA,36,F,28,28,50.6,2.1,6.1,34.7,37.7,-3.0,28.0,1.0,0.4,0.17
Kyle Lowry,TOR,35,G,46,46,46.0,2.4,6.1,38.7,38.2,0.5,34.8,1.0,0.2,0.41
Maxi Kleber,DAL,29,F,50,49,45.3,2.0,6.1,33.0,37.9,-4.9,26.8,0.5,0.3,0.06
Devin Booker,PHX,24,G,65,65,48.2,2.0,6.1,33.5,37.5,-4.0,33.9,0.8,0.1,0.01
Jaylen Brown,BOS,24,G-F,58,58,49.2,2.2,6.0,36.0,38.0,-2.0,34.5,1.2,0.3,0
Steven Adams,NOP,27,C,56,55,42.0,2.3,6.0,38.9,37.2,1.7,27.7,0.9,0.3,0.03
Zach LaVine,CHI,26,G-F,58,58,48.0,2.2,6.0,36.4,37.6,-1.2,35.1,0.8,0.1,0
Didi Louzada,NOP,21,G,3,3,64.3,2.0,6.0,33.3,36.1,-2.8,NaN,NaN,NaN,NaN
Buddy Hield,SAC,28,G,69,69,42.9,2.2,6.0,36.5,37.5,-1.1,34.3,0.9,0.2,0
Fred VanVleet,TOR,27,G,52,52,41.9,2.4,6.0,39.7,37.9,1.8,36.5,1.7,0.4,0.02
Rui Hachimura,WAS,23,F,56,56,48.6,2.2,6.0,36.1,38.3,-2.2,31.5,0.8,0.1,0.02
Collin Sexton,CLE,22,G,60,60,52.1,2.3,6.0,37.7,37.8,-0.1,35.2,1.0,0.1,0.03
James Harden,BKN,31,G,44,44,47.5,2.2,6.0,37.4,37.7,-0.3,36.6,1.2,0.3,0.02
O.G. Anunoby,TOR,23,F,43,43,50.9,2.4,6.0,39.8,38.1,1.7,NaN,NaN,NaN,NaN
Jakob Poeltl,SAS,25,C,69,69,34.3,2.3,5.9,38.9,37.7,1.2,26.7,0.7,0.5,0.03
