Team,DEF,RDEF
GSW,102.8,45.1
SAS,98.2,40.1
CLE,103.9,40.8
TOR,104.8,40.1
OKC,104.8,45.2
LAC,102.7,41.3
ATL,100.8,40.9
BOS,102.5,43.0
CHA,103.7,40.0
MIA,103.7,42.0
IND,102.2,41.6
DET,104.9,44.4
POR,106.8,40.9
CHI,105.5,44.4
DAL,105.9,40.9
MEM,107.1,38.5
HOU,107.3,44.6
WAS,105.1,41.2
UTA,103.2,39.6
ORL,106.0,43.5
DEN,108.2,43.1
MIL,107.8,44.0
SAC,107.6,43.6
NYK,106.7,43.1
NOP,108.4,43.2
MIN,109.0,46.1
PHX,107.9,43.8
BKN,109.7,47.9
LAL,110.3,47.8
PHI,108.6,45.6
