Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Giannis Antetokounmpo,MIL,22,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77.0,1.8,7.0,8.8,5.4,2.9,1.6,1.9,3.1,0.6
Carmelo Anthony,NYK,33,74,34.3,22.4,8.1,18.8,43.3,2.0,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.7,-3.1
Kyle Lowry,TOR,31,60,37.4,22.4,7.1,15.3,46.4,3.2,7.8,41.2,5.0,6.1,81.9,0.8,4.0,4.8,7.0,2.9,1.5,0.3,2.8,5.9
Klay Thompson,GSW,27,78,34.0,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3.0,3.7,2.1,1.6,0.8,0.5,1.8,10.3
Devin Booker,PHX,20,78,35.0,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,-2.9
Gordon Hayward,UTA,27,73,34.5,21.9,7.5,15.8,47.1,2.0,5.1,39.8,5.0,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1.0,0.3,1.6,4.8
Blake Griffin,LAC,28,61,34.0,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76.0,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,7.2
Eric Bledsoe,PHX,27,66,33.0,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,-2.8
Brook Lopez,BKN,29,75,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81.0,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,-2.1
Mike Conley,MEM,29,69,33.2,20.5,6.7,14.6,46.0,2.5,6.1,40.8,4.6,5.3,85.9,0.4,3.0,3.5,6.3,2.3,1.3,0.3,1.8,2.7
Goran Dragic,MIA,31,73,33.7,20.3,7.3,15.4,47.5,1.6,4.0,40.5,4.1,5.2,79.0,0.8,3.0,3.8,5.8,2.9,1.2,0.2,2.7,0.9
Joel Embiid,PHI,23,31,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2.0,5.9,7.8,2.1,3.8,0.9,2.5,3.6,2.2
Jabari Parker,MIL,22,51,33.9,20.1,7.8,16.0,49.0,1.3,3.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1.0,0.4,2.2,-1.7
Marc Gasol,MEM,32,74,34.2,19.5,7.2,15.7,45.9,1.4,3.6,38.8,3.8,4.5,83.7,0.8,5.5,6.3,4.6,2.2,0.9,1.3,2.3,0.9
Harrison Barnes,DAL,25,79,35.5,19.2,7.6,16.2,46.8,1.0,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5.0,1.5,1.3,0.8,0.2,1.6,-1.7
Kevin Love,CLE,28,60,31.4,19.0,6.2,14.5,42.7,2.4,6.5,37.3,4.3,4.9,87.1,2.5,8.6,11.1,1.9,2.0,0.9,0.4,2.1,5.6
Zach LaVine,MIN,22,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,-2.5
Rudy Gay,SAC,30,30,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,2.2
Dwyane Wade,CHI,35,60,29.9,18.3,6.9,15.9,43.4,0.8,2.4,31.0,3.7,4.7,79.4,1.1,3.5,4.5,3.8,2.3,1.4,0.7,1.9,-1.2
Danilo Gallinari,DEN,28,63,33.9,18.2,5.3,11.9,44.7,2.0,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,2.5
Kristaps Porzingis,NYK,21,66,32.8,18.1,6.7,14.9,45.0,1.7,4.8,35.7,3.0,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2.0,3.7,-1.5
Chris Paul,LAC,32,61,31.5,18.1,6.1,12.9,47.6,2.0,5.0,41.1,3.8,4.3,89.2,0.7,4.3,5.0,9.2,2.4,2.0,0.1,2.4,9.5
Paul Millsap,ATL,32,69,34.0,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,2.0
Derrick Rose,NYK,28,64,32.5,18.0,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4.0,87.4,1.0,2.8,3.8,4.4,2.3,0.7,0.3,1.3,-2.6
Dennis Schroder,ATL,23,79,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34.0,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,-1.0
Lou Williams,HOU,30,81,24.6,17.5,5.3,12.3,42.9,2.0,5.5,36.5,5.0,5.6,88.0,0.3,2.2,2.5,3.0,2.0,1.0,0.2,1.1,0.6
LaMarcus Aldridge,SAS,31,72,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,3.8
Evan Fournier,ORL,24,68,32.8,17.2,6.0,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,0.6,2.4,3.1,3.0,2.1,1.0,0.1,2.6,-2.9
Hassan Whiteside,MIA,28,77,32.6,17.0,7.0,12.6,55.7,0.0,0.0,0.0,2.9,4.6,62.8,3.8,10.3,14.1,0.7,2.0,0.7,2.1,2.9,1.3
George Hill,UTA,31,49,31.5,16.9,5.9,12.4,47.7,1.9,4.8,40.3,3.2,4.0,80.1,0.5,2.9,3.4,4.2,1.7,1.0,0.2,2.3,5.3
Nikola Jokic,DEN,22,73,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,4.1
Avery Bradley,BOS,26,55,33.4,16.3,6.5,14.1,46.3,2.0,5.0,39.0,1.2,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,1.3
Eric Gordon,HOU,28,75,31.0,16.2,5.5,13.5,40.6,3.3,8.8,37.2,2.0,2.3,84.0,0.4,2.3,2.7,2.5,1.6,0.6,0.5,2.0,3.9
Tobias Harris,DET,24,82,31.3,16.1,6.2,13.0,48.1,1.3,3.8,34.7,2.3,2.8,84.1,0.8,4.3,5.1,1.7,1.2,0.7,0.5,1.6,0.0
Victor Oladipo,OKC,25,67,33.2,15.9,6.1,13.9,44.2,1.9,5.3,36.1,1.7,2.3,75.3,0.6,3.8,4.3,2.6,1.8,1.2,0.3,2.3,2.6
Dion Waiters,MIA,25,46,30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,1.8
Wilson Chandler,DEN,30,71,30.9,15.7,6.1,13.2,46.1,1.5,4.6,33.7,2.0,2.7,72.7,1.5,5.0,6.5,2.0,1.6,0.7,0.4,2.4,-0.5
D'Angelo Russell,LAL,21,63,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3.0,78.2,0.5,3.0,3.5,4.8,2.8,1.4,0.3,2.1,-5.7
Jrue Holiday,NOP,27,67,32.7,15.4,6.0,13.3,45.4,1.5,4.2,35.6,1.8,2.5,70.8,0.7,3.3,3.9,7.3,2.9,1.5,0.7,2.0,0.6
Jeff Teague,IND,29,82,32.4,15.3,4.9,11.1,44.2,1.1,3.1,35.7,4.4,5.1,86.7,0.4,3.6,4.0,7.8,2.6,1.2,0.4,2.0,0.6
Nicolas Batum,CHA,28,77,34.0,15.1,5.1,12.7,40.3,1.8,5.3,33.3,3.2,3.7,85.6,0.6,5.6,6.2,5.9,2.5,1.1,0.4,1.4,0.9
JJ Redick,LAC,33,78,28.2,15.0,5.1,11.4,44.5,2.6,6.0,42.9,2.3,2.6,89.1,0.1,2.1,2.2,1.4,1.3,0.7,0.2,1.6,6.1
Gary Harris,DEN,22,57,31.3,14.9,5.6,11.2,50.2,1.9,4.5,42.0,1.8,2.4,77.6,0.8,2.3,3.1,2.9,1.3,1.2,0.1,1.6,1.4
Serge Ibaka,TOR,27,79,30.7,14.8,6.0,12.4,48.0,1.6,4.0,39.1,1.4,1.6,85.6,1.6,5.2,6.8,0.9,1.3,0.5,1.6,2.7,-1.8
Jordan Clarkson,LAL,25,82,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2.0,79.8,0.6,2.4,3.0,2.6,2.0,1.1,0.1,1.8,-5.1
Khris Middleton,MIL,25,29,30.7,14.7,5.2,11.5,45.0,1.6,3.6,43.3,2.8,3.2,88.0,0.4,3.9,4.2,3.4,2.2,1.4,0.2,2.7,3.1
Nikola Vucevic,ORL,26,75,28.8,14.6,6.4,13.7,46.8,0.3,1.0,30.7,1.4,2.1,66.9,2.3,8.0,10.4,2.8,1.6,1.0,1.0,2.4,-1.9
Jeremy Lin,BKN,28,36,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,-2.3
Myles Turner,IND,21,81,31.4,14.5,5.5,10.7,51.1,0.5,1.4,34.8,3.0,3.7,80.9,1.7,5.6,7.3,1.3,1.3,0.9,2.1,3.2,1.8
Tim Hardaway Jr.,ATL,25,79,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,2.0
Reggie Jackson,DET,27,52,27.4,14.5,5.5,13.0,41.9,1.3,3.5,35.9,2.3,2.6,86.8,0.4,1.8,2.2,5.2,2.2,0.7,0.1,2.5,-4.3
T.J. Warren,PHX,23,66,31.0,14.4,6.1,12.3,49.5,0.4,1.5,26.5,1.8,2.3,77.3,1.9,3.2,5.1,1.1,0.9,1.2,0.6,2.7,-4.3
Enes Freedom,OKC,25,72,21.3,14.3,5.6,10.2,54.5,0.1,0.5,13.2,3.1,4.0,78.6,2.7,4.0,6.7,0.9,1.7,0.4,0.5,2.1,0.8
Dirk Nowitzki,DAL,39,54,26.4,14.2,5.5,12.6,43.7,1.5,3.9,37.8,1.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,-0.2
Zach Randolph,MEM,35,73,24.5,14.1,5.9,13.2,44.9,0.3,1.3,22.3,1.9,2.6,73.1,2.5,5.7,8.2,1.7,1.4,0.5,0.1,1.9,1.0
Jordan Crawford,NOP,28,19,23.3,14.1,5.5,11.5,48.2,1.9,5.0,38.9,1.1,1.4,76.9,0.2,1.6,1.8,3.0,1.3,0.6,0.1,1.6,0.8
Rudy Gobert,UTA,25,81,33.9,14.0,5.1,7.7,66.1,0.0,0.0,0.0,3.8,5.9,65.3,3.9,8.9,12.8,1.2,1.8,0.6,2.6,3.0,5.4
Al Horford,BOS,31,68,32.3,14.0,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,1.4,5.4,6.8,5.0,1.7,0.8,1.3,2.0,3.2
Marcus Morris Sr.,DET,27,79,32.5,14.0,5.3,12.7,41.8,1.5,4.5,33.1,1.8,2.3,78.4,1.0,3.7,4.6,2.0,1.1,0.7,0.3,2.1,-1.3
Markieff Morris,WAS,27,76,31.2,14.0,5.3,11.7,45.7,0.9,2.6,36.2,2.4,2.8,83.7,1.4,5.1,6.5,1.7,1.7,1.1,0.6,3.3,2.4
Jae Crowder,BOS,26,72,32.4,13.9,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,0.7,5.1,5.8,2.2,1.1,1.0,0.3,2.2,4.9
Kentavious Caldwell-Pope,DET,24,76,33.3,13.8,4.9,12.2,39.9,2.0,5.8,35.0,2.0,2.4,83.2,0.7,2.5,3.3,2.5,1.1,1.2,0.2,1.6,-1.9
Bojan Bogdanovic,WAS,28,81,25.7,13.7,4.6,10.4,44.5,1.8,4.8,36.7,2.7,3.0,89.3,0.5,3.0,3.4,1.4,1.6,0.4,0.1,1.8,-3.3
Tyler Johnson,MIA,25,73,29.8,13.7,4.9,11.3,43.3,1.3,3.4,37.2,2.7,3.5,76.8,0.7,3.3,4.0,3.2,1.2,1.2,0.6,2.4,0.5
Will Barton,DEN,26,60,28.4,13.7,4.9,11.1,44.3,1.5,3.9,37.0,2.4,3.2,75.3,1.0,3.4,4.3,3.4,1.6,0.8,0.5,1.8,-1.3
Andre Drummond,DET,23,81,29.7,13.6,6.0,11.2,53.0,0.0,0.1,28.6,1.7,4.4,38.6,4.3,9.5,13.8,1.1,1.9,1.5,1.1,2.9,-3.4
Ryan Anderson,HOU,29,72,29.4,13.6,4.5,10.7,41.8,2.8,7.0,40.3,1.8,2.1,86.0,1.6,3.0,4.6,0.9,0.8,0.4,0.2,2.0,5.7
Dwight Howard,ATL,31,74,29.7,13.5,5.2,8.3,63.3,0.0,0.0,0.0,3.1,5.7,53.3,4.0,8.7,12.7,1.4,2.3,0.9,1.2,2.7,-1.5
Wesley Matthews,DAL,30,73,34.2,13.5,4.6,11.6,39.3,2.4,6.6,36.3,2.0,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,-2.6
Otto Porter Jr.,WAS,24,80,32.6,13.4,5.2,10.0,51.6,1.9,4.3,43.4,1.2,1.5,83.2,1.5,5.0,6.4,1.5,0.6,1.5,0.5,2.4,2.4
Darren Collison,SAC,29,68,30.3,13.2,5.0,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86.0,0.3,1.9,2.2,4.6,1.7,1.0,0.1,1.8,-1.9
Nick Young,LAL,32,60,25.9,13.2,4.5,10.6,43.0,2.8,7.0,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1.0,0.6,0.6,0.2,2.3,-3.5
Julius Randle,LAL,22,74,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27.0,2.8,3.8,72.3,2.0,6.6,8.6,3.6,2.3,0.7,0.5,3.4,-6.1
Sean Kilpatrick,BKN,27,70,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4.0,2.2,1.9,0.6,0.1,1.7,-3.2
Ersan Ilyasova,ATL,30,82,26.1,13.1,4.7,10.9,43.1,1.7,4.9,35.3,2.0,2.5,77.8,1.4,4.5,5.9,1.7,1.4,0.7,0.3,2.6,-0.4
Robert Covington,PHI,26,67,31.6,12.9,4.4,10.9,39.9,2.0,6.1,33.3,2.1,2.6,82.2,1.4,5.1,6.5,1.5,2.0,1.9,1.0,3.0,-2.3
Dario Saric,PHI,23,81,26.3,12.8,4.7,11.4,41.1,1.3,4.2,31.1,2.1,2.7,78.2,1.4,5.0,6.3,2.2,2.3,0.7,0.4,2.0,-3.8
James Johnson,MIA,30,76,27.4,12.8,4.8,10.1,47.9,1.1,3.4,34.0,2.0,2.8,70.7,0.9,4.1,4.9,3.6,2.3,1.0,1.1,2.6,1.8
Seth Curry,DAL,26,70,29.0,12.8,4.8,10.0,48.1,2.0,4.6,42.5,1.2,1.4,85.0,0.4,2.2,2.6,2.7,1.3,1.1,0.1,1.8,-0.5
Elfrid Payton,ORL,23,82,29.4,12.8,5.2,11.1,47.1,0.5,1.8,27.4,1.8,2.6,69.2,1.1,3.6,4.7,6.5,2.2,1.1,0.5,2.2,-1.8
Aaron Gordon,ORL,21,80,28.7,12.7,4.9,10.8,45.4,1.0,3.3,28.8,2.0,2.7,71.9,1.5,3.6,5.1,1.9,1.1,0.8,0.5,2.2,-2.0
DeAndre Jordan,LAC,28,81,31.7,12.7,5.1,7.1,71.4,0.0,0.0,0.0,2.5,5.2,48.2,3.7,10.1,13.8,1.2,1.4,0.6,1.7,2.6,5.6
Rodney Hood,UTA,24,59,27.0,12.7,4.6,11.3,40.8,1.9,5.2,37.1,1.5,1.9,78.3,0.3,3.2,3.4,1.6,1.1,0.6,0.2,2.2,1.8
Clint Capela,HOU,23,65,23.9,12.6,5.6,8.7,64.3,0.0,0.0,0.0,1.4,2.7,53.1,2.7,5.4,8.1,1.0,1.3,0.5,1.2,2.8,3.3
Pau Gasol,SAS,36,64,25.4,12.4,4.7,9.4,50.2,0.9,1.6,53.8,2.0,2.9,70.7,1.7,6.2,7.8,2.3,1.3,0.4,1.1,1.7,3.5
Jamal Crawford,LAC,37,82,26.3,12.3,4.4,10.6,41.3,1.4,3.9,36.0,2.1,2.5,85.7,0.2,1.4,1.6,2.6,1.6,0.7,0.2,1.4,0.3
Austin Rivers,LAC,24,74,27.8,12.0,4.4,9.9,44.2,1.5,4.0,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,-0.1
Jonas Valanciunas,TOR,25,80,25.8,12.0,4.9,8.8,55.7,0.0,0.0,50.0,2.2,2.7,81.1,2.8,6.7,9.5,0.7,1.3,0.5,0.8,2.7,1.4
Jahlil Okafor,PHI,21,50,22.7,11.8,4.8,9.4,51.4,0.0,0.0,0.0,2.1,3.2,67.1,1.6,3.2,4.8,1.2,1.8,0.4,1.0,2.4,-6.4
Greg Monroe,MIL,27,81,22.5,11.7,4.8,9.0,53.3,0.0,0.0,0.0,2.2,3.0,74.1,2.1,4.5,6.6,2.3,1.7,1.1,0.5,2.1,1.7
Trevor Ariza,HOU,32,80,34.7,11.7,4.1,10.0,40.9,2.4,6.9,34.4,1.2,1.6,73.8,0.7,5.1,5.7,2.2,0.9,1.8,0.3,1.7,4.6
Frank Kaminsky,CHA,24,75,26.1,11.7,4.3,10.7,39.9,1.5,4.7,32.8,1.6,2.1,75.6,0.8,3.7,4.5,2.2,1.0,0.6,0.5,1.9,0.6
Steven Adams,OKC,23,80,29.9,11.3,4.7,8.2,57.1,0.0,0.0,0.0,2.0,3.2,61.1,3.5,4.2,7.7,1.1,1.8,1.1,1.0,2.4,2.4
Marvin Williams,CHA,31,76,30.2,11.2,3.9,9.3,42.2,1.6,4.7,35.0,1.7,2.0,87.3,1.2,5.4,6.6,1.4,0.8,0.8,0.7,1.8,-0.4
Ricky Rubio,MIN,26,75,32.9,11.1,3.5,8.7,40.2,0.8,2.6,30.6,3.4,3.8,89.1,0.9,3.2,4.1,9.1,2.6,1.7,0.1,2.7,-0.1
Brandon Knight,PHX,25,54,21.1,11.0,3.9,9.7,39.8,0.8,2.6,32.4,2.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,-6.0
Jerryd Bayless,PHI,28,3,23.8,11.0,3.7,10.7,34.4,0.7,1.7,40.0,3.0,3.3,90.0,1.0,3.0,4.0,4.3,3.0,0.0,0.0,1.3,-7.0
Terrence Ross,ORL,26,78,25.1,11.0,4.2,9.6,43.7,1.8,5.0,36.3,0.8,1.0,83.1,0.2,2.4,2.6,1.1,0.9,1.1,0.4,1.8,1.6
Thaddeus Young,IND,29,74,30.2,11.0,4.9,9.3,52.7,0.6,1.6,38.1,0.6,1.2,52.3,1.8,4.3,6.1,1.6,1.3,1.5,0.4,1.8,0.9
Kent Bazemore,ATL,27,73,26.9,11.0,4.0,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,-1.5
Emmanuel Mudiay,DEN,21,55,25.6,11.0,3.8,10.0,37.7,1.0,3.2,31.5,2.4,3.0,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,-2.4
Deron Williams,CLE,33,64,25.9,11.0,4.1,9.4,43.8,1.3,3.7,36.3,1.4,1.7,82.6,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,-1.5
Justise Winslow,MIA,21,18,34.7,10.9,4.4,12.5,35.6,0.4,1.9,20.0,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,-0.3
J.J. Barea,DAL,33,35,22.0,10.9,4.1,9.8,41.4,1.5,4.2,35.8,1.3,1.5,86.3,0.3,2.1,2.4,5.5,1.8,0.4,0.0,0.9,0.3
Taj Gibson,OKC,32,78,25.5,10.8,4.7,9.1,51.5,0.0,0.2,23.1,1.4,2.0,71.5,2.0,4.2,6.2,0.9,1.3,0.5,0.8,2.1,0.0
Courtney Lee,NYK,31,77,31.9,10.8,4.2,9.1,45.6,1.4,3.5,40.1,1.1,1.3,86.7,0.7,2.7,3.4,2.3,0.9,1.1,0.3,1.8,-3.0
Terrence Jones,MIL,25,54,23.5,10.8,4.3,9.1,47.0,0.4,1.4,25.3,1.9,3.1,60.6,1.2,4.5,5.7,1.1,0.9,0.7,1.0,1.2,-1.1
Marcin Gortat,WAS,33,82,31.2,10.8,4.8,8.2,57.9,0.0,0.0,0.0,1.3,1.9,64.8,2.9,7.5,10.4,1.5,1.5,0.5,0.7,2.6,2.5
CJ Miles,IND,30,76,23.4,10.7,3.7,8.5,43.4,2.2,5.4,41.3,1.1,1.2,90.3,0.4,2.6,3.0,0.6,0.5,0.6,0.3,2.0,1.0
Allen Crabbe,POR,25,79,28.5,10.7,3.8,8.2,46.8,1.7,3.8,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,-1.5
Alex Poythress,PHI,23,6,26.1,10.7,4.2,9.0,46.3,1.0,3.2,31.6,1.3,1.7,80.0,1.8,3.0,4.8,0.8,0.5,0.5,0.3,2.3,-6.0
Nikola Mirotic,CHI,26,70,24.0,10.6,3.7,8.9,41.3,1.8,5.4,34.2,1.4,1.8,77.3,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,2.8
Marcus Smart,BOS,23,79,30.4,10.6,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,1.0,2.9,3.9,4.6,2.0,1.6,0.4,2.4,1.6
Buddy Hield,SAC,24,82,23.0,10.6,4.0,9.4,42.6,1.8,4.6,39.1,0.8,0.9,84.2,0.4,2.9,3.3,1.5,1.2,0.5,0.1,1.4,-2.6
Marco Belinelli,CHA,31,74,24.0,10.5,3.6,8.3,42.9,1.4,3.8,36.0,2.0,2.3,89.3,0.2,2.2,2.4,2.0,0.9,0.6,0.1,1.2,0.6
Wayne Ellington,MIA,29,62,24.2,10.5,3.7,9.0,41.6,2.4,6.4,37.8,0.6,0.7,86.0,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,1.4
Mason Plumlee,DEN,27,81,26.5,10.4,4.1,7.7,53.6,0.0,0.1,0.0,2.1,3.7,58.0,2.1,5.4,7.5,3.5,1.7,0.9,1.1,2.8,0.0
Robin Lopez,CHI,29,81,28.0,10.4,4.7,9.6,49.3,0.0,0.0,0.0,0.9,1.3,72.1,3.0,3.4,6.4,1.0,1.1,0.2,1.4,1.9,0.9
Cody Zeller,CHA,24,62,27.8,10.3,4.1,7.1,57.1,0.0,0.0,0.0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1.0,1.0,0.9,3.0,3.4
Tyreke Evans,SAC,27,40,19.7,10.3,3.8,9.3,40.5,1.1,3.0,35.6,1.7,2.3,75.0,0.3,3.1,3.4,3.1,1.5,0.9,0.2,1.5,-3.8
Jon Leuer,DET,28,75,25.9,10.2,4.1,8.6,48.0,0.7,2.2,29.3,1.3,1.5,86.7,1.4,4.0,5.4,1.5,0.9,0.4,0.3,1.9,-1.0
Malcolm Brogdon,MIL,24,75,26.4,10.2,3.9,8.5,45.7,1.0,2.6,40.4,1.5,1.7,86.5,0.6,2.2,2.8,4.2,1.5,1.1,0.2,1.9,1.2
