Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Russell Westbrook,OKC,26,67,34.4,28.1,9.4,22.0,42.6,1.3,4.3,29.9,8.1,9.8,83.5,1.9,5.4,7.3,8.6,4.4,2.1,0.2,2.7,3.7
James Harden,HOU,25,81,36.8,27.4,8.0,18.1,44.0,2.6,6.9,37.5,8.8,10.2,86.8,0.9,4.7,5.7,7.0,4.0,1.9,0.7,2.6,4.1
Kevin Durant,OKC,26,27,33.8,25.4,8.8,17.3,51.0,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6.0,6.6,4.1,2.7,0.9,0.9,1.5,6.2
LeBron James,CLE,30,69,36.1,25.3,9.0,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71.0,0.7,5.3,6.0,7.4,3.9,1.6,0.7,2.0,7.8
Anthony Davis,NOP,22,68,36.1,24.4,9.4,17.6,53.5,0.0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,3.9
Carmelo Anthony,NYK,31,40,35.7,24.2,9.0,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1.0,0.4,2.2,-2.7
DeMarcus Cousins,SAC,24,59,34.1,24.1,8.4,18.1,46.7,0.0,0.1,25.0,7.2,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,1.0
Stephen Curry,GSW,27,80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,0.7,3.6,4.3,7.7,3.1,2.0,0.2,2.0,11.5
LaMarcus Aldridge,POR,29,71,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1.0,1.8,4.8
Kobe Bryant,LAL,36,35,34.5,22.3,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,1.9,-8.4
Blake Griffin,LAC,26,67,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40.0,4.6,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,8.7
Kyrie Irving,CLE,23,75,36.4,21.7,7.7,16.5,46.8,2.1,5.0,41.5,4.2,4.9,86.3,0.7,2.4,3.2,5.2,2.5,1.5,0.3,1.9,5.6
Klay Thompson,GSW,25,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,0.4,2.9,3.2,2.9,1.9,1.1,0.8,1.6,10.1
Dwyane Wade,MIA,33,62,31.8,21.5,8.2,17.5,47.0,0.5,1.6,28.4,4.6,6.0,76.8,0.9,2.6,3.5,4.8,3.4,1.2,0.3,1.7,-0.9
Chris Bosh,MIA,31,44,35.4,21.1,7.8,16.9,46.0,1.4,3.8,37.5,4.1,5.3,77.2,1.0,6.0,7.0,2.2,2.2,0.9,0.6,1.6,-2.3
Rudy Gay,SAC,28,68,35.4,21.1,7.5,16.4,45.5,1.2,3.2,35.9,5.0,5.8,85.8,1.4,4.4,5.9,3.7,2.7,1.0,0.6,2.3,-1.6
Damian Lillard,POR,24,82,35.7,21.0,7.2,16.6,43.4,2.4,7.0,34.3,4.2,4.9,86.4,0.6,4.0,4.6,6.2,2.7,1.2,0.3,2.0,3.7
DeMar DeRozan,TOR,25,60,35.0,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6.0,7.2,83.2,0.7,3.9,4.6,3.5,2.3,1.2,0.2,2.0,2.2
Jimmy Butler,CHI,25,65,38.7,20.0,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,3.7
Kevin Martin,MIN,32,39,33.4,20.0,6.8,16.0,42.7,1.9,4.9,39.3,4.4,4.9,88.1,0.5,3.2,3.6,2.3,1.9,0.8,0.0,1.9,-6.5
Nikola Vucevic,ORL,24,74,34.2,19.3,8.5,16.3,52.3,0.0,0.1,33.3,2.2,2.9,75.2,3.2,7.7,10.9,2.0,2.0,0.7,0.7,3.0,-4.1
Gordon Hayward,UTA,25,76,34.4,19.3,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,0.7,4.2,4.9,4.1,2.7,1.4,0.4,1.7,1.4
Chris Paul,LAC,30,82,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90.0,0.6,4.0,4.6,10.2,2.3,1.9,0.2,2.5,8.9
Monta Ellis,DAL,29,80,33.7,18.9,7.5,16.9,44.5,1.0,3.6,28.5,2.9,3.8,75.2,0.4,2.0,2.4,4.1,2.5,1.9,0.3,2.5,2.7
Pau Gasol,CHI,34,78,34.4,18.5,7.3,14.8,49.4,0.2,0.3,46.2,3.8,4.7,80.3,2.8,9.0,11.8,2.7,2.0,0.3,1.9,1.9,2.4
Victor Oladipo,ORL,23,72,35.7,17.9,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,0.7,3.5,4.2,4.1,2.8,1.7,0.3,2.6,-4.2
Kyle Lowry,TOR,29,70,34.5,17.8,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,0.8,3.9,4.7,6.8,2.5,1.6,0.2,3.0,2.9
Derrick Rose,CHI,26,51,30.0,17.7,6.6,16.4,40.5,1.5,5.3,28.0,3.0,3.7,81.3,0.7,2.5,3.2,4.9,3.2,0.7,0.3,1.2,2.4
John Wall,WAS,24,79,35.9,17.6,6.6,14.8,44.5,0.8,2.7,30.0,3.6,4.6,78.5,0.5,4.2,4.6,10.0,3.8,1.7,0.6,2.3,3.5
Marc Gasol,MEM,30,81,33.2,17.4,6.5,13.2,49.4,0.0,0.2,17.6,4.3,5.4,79.5,1.4,6.4,7.8,3.8,2.2,0.9,1.6,2.6,2.8
Kemba Walker,CHA,25,62,34.2,17.3,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,0.6,3.0,3.5,5.1,1.6,1.4,0.5,1.5,-3.0
Dirk Nowitzki,DAL,37,77,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38.0,3.3,3.8,88.2,0.6,5.4,5.9,1.9,1.1,0.5,0.4,2.1,3.1
Brook Lopez,BKN,27,72,29.2,17.2,7.0,13.7,51.3,0.0,0.1,10.0,3.1,3.8,81.4,3.0,4.5,7.4,0.7,1.4,0.6,1.8,2.9,-1.4
Tobias Harris,ORL,22,68,34.8,17.1,6.5,14.0,46.6,1.3,3.5,36.4,2.8,3.6,78.8,1.1,5.3,6.3,1.8,1.7,1.0,0.5,2.0,-4.3
Eric Bledsoe,PHX,25,81,34.6,17.0,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80.0,0.9,4.3,5.2,6.1,3.4,1.6,0.6,2.3,0.4
Brandon Knight,PHX,23,63,32.3,17.0,6.0,14.1,42.2,2.0,5.1,38.9,3.1,3.5,87.4,0.4,3.4,3.9,5.2,3.0,1.4,0.2,1.8,-1.2
Andrew Wiggins,MIN,20,82,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31.0,4.3,5.7,76.0,1.6,2.9,4.6,2.1,2.2,1.0,0.6,2.3,-6.7
Tony Wroten,PHI,22,30,29.8,16.9,5.8,14.5,40.3,1.2,4.7,26.1,4.0,6.0,66.7,0.7,2.1,2.9,5.2,3.8,1.6,0.3,2.4,-7.8
Paul Millsap,ATL,30,73,32.7,16.7,6.1,12.7,47.6,1.1,3.0,35.6,3.5,4.6,75.7,1.9,5.9,7.8,3.1,2.3,1.8,0.9,2.8,5.6
Al Jefferson,CHA,30,65,30.6,16.6,7.5,15.5,48.1,0.0,0.1,40.0,1.7,2.5,65.5,1.5,6.9,8.4,1.7,1.0,0.7,1.3,2.1,-1.8
Tyreke Evans,NOP,25,79,34.0,16.6,6.6,14.7,44.7,0.9,2.9,30.4,2.6,3.7,69.4,1.0,4.2,5.3,6.6,3.1,1.3,0.5,2.5,2.1
Kawhi Leonard,SAS,24,64,31.8,16.5,6.2,12.8,47.9,1.0,3.0,34.9,3.2,3.9,80.2,1.3,5.9,7.2,2.5,1.5,2.3,0.8,2.0,6.9
Isaiah Thomas,BOS,26,67,25.8,16.4,5.0,11.9,42.1,1.9,5.2,37.3,4.5,5.2,86.8,0.5,1.8,2.3,4.2,2.1,0.9,0.1,2.2,2.6
Kevin Love,CLE,26,75,33.8,16.4,5.5,12.7,43.4,1.9,5.2,36.7,3.4,4.3,80.4,1.9,7.9,9.7,2.2,1.6,0.7,0.5,1.9,5.3
JJ Redick,LAC,31,78,30.9,16.4,5.7,12.0,47.7,2.6,5.9,43.7,2.3,2.6,90.1,0.3,1.9,2.1,1.8,1.2,0.5,0.1,1.7,8.0
Goran Dragic,MIA,29,78,33.8,16.3,6.4,12.8,50.1,1.2,3.3,34.7,2.3,3.0,77.4,1.0,2.5,3.5,4.5,2.2,1.0,0.2,2.5,0.3
Darren Collison,SAC,27,45,34.8,16.1,5.8,12.2,47.3,1.3,3.6,37.3,3.2,4.1,78.8,0.4,2.8,3.2,5.6,2.5,1.5,0.3,2.1,0.8
Zach Randolph,MEM,33,71,32.4,16.1,6.4,13.1,48.7,0.1,0.3,35.0,3.2,4.2,76.5,3.2,7.4,10.5,2.2,2.2,1.0,0.2,2.5,4.9
George Hill,IND,29,43,29.5,16.1,5.9,12.4,47.7,1.6,4.5,35.8,2.6,3.3,79.0,0.6,3.6,4.2,5.1,1.6,1.0,0.3,2.6,3.7
Derrick Favors,UTA,23,74,30.8,16.0,6.5,12.4,52.5,0.0,0.1,16.7,3.0,4.5,66.9,2.6,5.6,8.2,1.5,1.6,0.8,1.7,2.8,0.8
Wesley Matthews,POR,28,60,33.7,15.9,5.6,12.5,44.8,2.9,7.4,38.9,1.8,2.4,75.2,0.6,3.1,3.7,2.3,1.4,1.3,0.2,2.2,4.5
Jeff Teague,ATL,27,73,30.5,15.9,5.6,12.2,46.0,1.0,2.8,34.3,3.8,4.4,86.2,0.4,2.1,2.5,7.0,2.8,1.7,0.4,1.9,5.3
Greg Monroe,DET,25,69,31.0,15.9,6.1,12.4,49.6,0.0,0.0,0.0,3.7,4.9,75.0,3.3,6.9,10.2,2.1,2.2,1.1,0.5,2.1,-0.3
Mike Conley,MEM,27,70,31.8,15.8,5.6,12.6,44.6,1.5,4.0,38.6,3.1,3.6,85.9,0.4,2.6,3.0,5.4,2.2,1.3,0.2,2.0,3.1
Jamal Crawford,LAC,35,64,26.6,15.8,5.2,13.1,39.6,1.9,5.7,32.7,3.5,3.9,90.1,0.3,1.7,1.9,2.5,1.4,0.9,0.2,1.7,1.3
Dwight Howard,HOU,29,41,29.8,15.8,6.1,10.3,59.3,0.0,0.0,50.0,3.5,6.6,52.8,2.7,7.8,10.5,1.2,2.8,0.7,1.3,3.3,5.3
Chandler Parsons,DAL,26,66,33.1,15.7,5.8,12.6,46.2,2.0,5.3,38.0,2.1,2.9,72.0,1.0,3.9,4.9,2.4,1.5,1.0,0.3,2.1,3.1
Lou Williams,TOR,28,80,25.2,15.5,4.7,11.6,40.4,1.9,5.6,34.0,4.3,4.9,86.1,0.3,1.6,1.9,2.1,1.3,1.1,0.1,1.3,3.7
Enes Freedom,OKC,23,75,28.5,15.5,6.4,12.4,51.9,0.2,0.6,35.6,2.4,3.1,78.2,3.7,5.3,8.9,0.7,1.9,0.5,0.4,2.5,-0.5
Brandon Jennings,DET,25,41,28.6,15.4,5.3,13.2,40.1,1.9,5.1,36.0,2.9,3.5,83.9,0.5,2.0,2.5,6.6,2.2,1.1,0.1,1.6,0.8
Markieff Morris,PHX,25,82,31.5,15.3,6.2,13.4,46.5,0.7,2.2,31.8,2.2,2.8,76.3,1.3,4.8,6.2,2.3,2.1,1.2,0.5,3.0,1.3
Bradley Beal,WAS,22,63,33.5,15.3,5.8,13.5,42.7,1.7,4.1,40.9,2.1,2.6,78.3,0.9,2.9,3.8,3.1,2.0,1.2,0.3,2.2,3.0
Ty Lawson,DEN,27,75,35.5,15.2,5.4,12.3,43.6,0.9,2.7,34.1,3.5,4.8,73.0,0.6,2.6,3.1,9.6,2.5,1.2,0.1,1.7,-0.4
Al Horford,ATL,29,76,30.5,15.2,6.8,12.7,53.8,0.1,0.5,30.6,1.4,1.9,75.9,1.7,5.4,7.2,3.2,1.3,0.9,1.3,1.6,3.8
Jeff Green,MEM,28,78,31.5,15.0,5.3,12.4,43.0,1.2,3.7,33.2,3.1,3.7,83.3,0.8,3.4,4.2,1.7,1.4,0.7,0.4,1.9,-1.7
Andrea Bargnani,NYK,29,29,27.1,14.8,5.7,12.4,45.4,0.5,1.4,36.6,3.0,3.7,81.3,1.1,3.3,4.4,1.6,1.4,0.1,0.9,1.8,-9.3
Jrue Holiday,NOP,25,40,32.6,14.8,6.0,13.4,44.6,1.3,3.4,37.8,1.6,1.9,85.5,0.8,2.6,3.4,6.9,2.3,1.6,0.6,2.8,2.5
