Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Rudy Gobert,UTA,27,C,79,79,51.0,5.4,10.7,50.6,58.1,-7.5,31.8,1.2
Joel Embiid,PHI,25,F-C,61,61,47.4,5.0,10.6,47.4,57.3,-9.9,33.7,1.4
Myles Turner,IND,23,C-F,74,74,61.1,5.2,10.2,51.3,58.0,-6.6,28.6,1.9
Nikola Jokic,DEN,24,C,80,80,54.9,5.3,9.8,54.3,59.0,-4.7,31.3,0.4
Steven Adams,OKC,25,C,79,79,53.2,5.4,9.8,55.2,58.0,-2.8,33.4,0.7
Clint Capela,HOU,25,C,66,66,54.2,5.3,9.6,55.1,57.4,-2.2,33.6,0.9
Deandre Ayton,PHX,20,C,71,71,52.8,5.6,9.5,58.5,58.5,0.0,30.7,0.4
Andre Drummond,DET,25,C,79,79,52.8,5.3,9.5,56.3,58.4,-2.2,33.5,1.0
Nikola Vucevic,ORL,28,C,78,78,52.3,5.0,9.4,52.4,57.7,-5.3,31.4,0.8
Karl-Anthony Towns,MIN,23,C,77,77,53.3,5.0,9.3,54.0,57.9,-3.8,33.1,0.9
Jarrett Allen,BKN,21,C,80,80,51.8,5.0,9.1,55.4,58.5,-3.1,26.2,1.1
Brook Lopez,MIL,31,C,81,81,42.8,4.2,8.9,47.4,57.9,-10.5,28.7,1.3
Al Horford,BOS,33,C-F,68,68,53.3,4.7,8.8,53.0,57.2,-4.2,29.0,0.9
Jusuf Nurkic,POR,24,C,72,72,50.3,4.1,8.3,49.5,58.4,-8.9,27.4,1.1
Anthony Davis,NOP,26,F-C,56,56,48.5,4.5,8.1,54.8,58.3,-3.5,33.0,1.3
LaMarcus Aldridge,SAS,33,C-F,81,81,46.6,4.0,8.1,49.3,57.7,-8.4,33.2,0.8
Cody Zeller,CHA,26,C,48,47,51.8,4.3,7.9,54.1,57.3,-3.2,25.4,0.5
James Harden,HOU,29,G,77,77,53.1,4.3,7.8,54.6,57.2,-2.6,36.8,0.3
Serge Ibaka,TOR,29,C-F,74,74,50.9,3.9,7.7,50.4,57.3,-6.9,27.2,1.0
JaVale McGee,LAL,31,C,75,74,52.8,3.9,7.7,50.8,57.5,-6.8,22.3,1.7
Montrezl Harrell,LAC,25,F-C,82,82,50.0,4.1,7.7,53.2,57.4,-4.2,26.3,1.0
DeMarcus Cousins,GSW,28,C,30,30,45.0,4.0,7.7,52.4,58.6,-6.2,25.7,0.5
Wendell Carter Jr.,CHI,20,C,42,42,53.1,3.9,7.6,51.1,58.5,-7.4,25.2,0.8
Ivica Zubac,LAC,22,C,57,57,61.6,4.0,7.6,52.4,58.0,-5.6,17.6,0.7
Marc Gasol,TOR,34,C,79,79,52.3,3.9,7.6,51.4,57.4,-6.0,30.8,0.7
Jonas Valanciunas,MEM,27,C,49,49,52.9,3.6,7.3,48.9,58.1,-9.2,22.3,0.5
Derrick Favors,UTA,27,F-C,74,74,53.3,3.6,7.2,49.9,57.0,-7.1,23.2,0.8
Thomas Bryant,WAS,21,C,70,68,57.1,4.1,7.1,57.6,58.1,-0.5,20.8,0.6
Willie Cauley-Stein,SAC,25,C,81,81,50.6,4.0,7.1,56.9,58.6,-1.7,27.3,0.4
Enes Freedom,POR,27,C,67,66,50.5,3.9,7.1,55.0,58.2,-3.2,NaN,NaN
Jemerrio Jones,LAL,24,F,5,5,57.4,3.8,7.0,54.3,55.4,-1.1,23.8,0.7
Lauri Markkanen,CHI,22,F,51,51,57.0,4.1,7.0,58.1,56.4,1.8,32.3,0.4
Hassan Whiteside,MIA,30,C,72,72,50.8,3.2,6.9,46.9,57.5,-10.6,23.2,1.1
Paul George,OKC,29,F,76,76,48.0,3.6,6.9,52.9,56.7,-3.8,36.9,0.4
Luke Kornet,NYK,23,F-C,44,39,58.0,3.3,6.8,47.7,57.5,-9.8,17.0,0.6
Nikola Mirotic,MIL,28,F,46,46,52.3,3.6,6.8,53.0,56.9,-3.9,27.1,0.4
Jrue Holiday,NOP,29,G,67,67,40.8,4.0,6.7,60.2,55.6,4.6,35.9,0.3
Draymond Green,GSW,29,F,66,66,44.0,3.5,6.5,53.3,56.9,-3.6,31.3,0.4
Dewayne Dedmon,ATL,29,C,64,64,47.5,3.6,6.5,55.9,57.5,-1.6,25.1,0.7
John Collins,ATL,21,F-C,61,61,49.6,3.4,6.5,53.3,57.5,-4.2,30.0,0.5
Dragan Bender,PHX,21,F,44,42,56.6,3.2,6.4,49.8,57.9,-8.1,18.0,0.4
Aron Baynes,BOS,32,C-F,50,49,54.5,3.1,6.4,48.6,56.7,-8.1,16.1,0.5
Larry Nance Jr.,CLE,26,F,67,67,50.7,3.5,6.4,55.3,57.6,-2.3,26.8,0.3
Domantas Sabonis,IND,23,F,74,73,55.1,3.3,6.4,52.4,57.4,-5.0,24.8,0.2
Pascal Siakam,TOR,25,F,80,80,45.9,3.3,6.3,51.7,57.4,-5.7,31.9,0.3
Danilo Gallinari,LAC,30,F,68,68,51.9,3.6,6.3,58.1,57.2,0.9,30.3,0.3
Tristan Thompson,CLE,28,C-F,43,43,46.8,3.2,6.3,51.5,57.8,-6.3,27.9,0.2
Robin Lopez,CHI,31,C,72,70,44.0,3.3,6.2,52.8,57.9,-5.2,21.7,0.8
Andrew Wiggins,MIN,24,F-G,73,73,46.1,3.6,6.2,58.0,56.7,1.3,34.8,0.5
Dwight Howard,WAS,33,C,9,9,57.1,3.1,6.2,50.0,57.3,-7.3,25.6,0.2
Carmelo Anthony,HOU,35,F,10,10,52.1,3.6,6.2,58.1,55.7,2.4,29.4,0.1
Robert Covington,MIN,28,F,34,34,47.0,3.1,6.2,49.5,55.5,-6.0,34.4,0.6
Tobias Harris,PHI,26,F,82,82,48.0,3.5,6.2,56.1,57.2,-1.0,34.7,0.3
Kemba Walker,CHA,29,G,81,80,44.0,3.6,6.2,58.5,55.9,2.6,34.9,0.3
P.J. Tucker,HOU,34,F,81,81,49.1,3.5,6.1,57.3,57.6,-0.3,NaN,NaN
Julius Randle,NOP,24,C-F,73,73,46.3,3.3,6.1,54.1,57.6,-3.5,30.6,0.5
Bobby Portis,WAS,24,F,48,48,54.8,3.8,6.1,63.0,57.3,5.7,26.0,0.2
Buddy Hield,SAC,26,G,82,82,48.3,3.5,6.1,57.9,56.5,1.5,31.9,0.2
Jeff Green,WAS,32,F,76,76,47.9,3.4,6.0,56.0,57.2,-1.2,27.2,0.3
Jaren Jackson Jr.,MEM,19,F-C,58,58,55.1,3.0,6.0,50.7,57.8,-7.1,26.1,1.0
Mason Plumlee,DEN,29,F-C,82,81,52.5,3.3,5.9,56.3,58.4,-2.2,21.1,0.7
Jimmy Butler,PHI,29,G-F,63,63,48.2,3.3,5.9,56.2,56.5,-0.3,33.6,0.3
Alex Len,ATL,26,C,77,75,48.9,3.2,5.9,55.1,57.1,-2.0,20.1,0.5
Jerami Grant,OKC,25,F,79,79,47.4,3.2,5.9,54.5,57.6,-3.1,32.6,0.9
Ben Simmons,PHI,22,G-F,76,75,47.2,3.5,5.8,59.2,56.4,2.9,34.2,0.3
Aaron Gordon,ORL,23,F,76,76,49.1,3.2,5.8,54.2,56.2,-2.1,33.8,0.4
Paul Millsap,DEN,34,F,70,69,46.5,3.6,5.8,62.3,58.1,4.1,27.1,0.4
Lonzo Ball,LAL,21,G,47,46,46.5,3.3,5.8,57.5,55.1,2.4,30.3,0.3
Bradley Beal,WAS,26,G,81,81,43.2,3.3,5.8,56.1,56.4,-0.3,36.9,0.5
Noah Vonleh,NYK,23,F,66,64,50.5,3.2,5.8,54.6,57.6,-3.1,25.3,0.5
Kyle Lowry,TOR,33,G,65,64,46.6,3.0,5.8,52.0,56.3,-4.3,34.0,0.2
DeAndre Jordan,NYK,30,C,69,68,41.3,3.1,5.8,54.2,58.5,-4.4,29.7,0.6
Kyle Kuzma,LAL,23,F,70,70,50.1,2.9,5.7,51.4,56.5,-5.2,33.1,0.3
Kevin Love,CLE,30,F-C,22,22,50.6,3.0,5.7,52.4,57.1,-4.7,27.2,0.2
Kevon Looney,GSW,23,C-F,80,79,48.7,2.8,5.7,48.5,56.7,-8.3,18.5,0.3
Dennis Schroder,OKC,25,G,78,78,48.5,3.2,5.6,57.5,55.5,2.0,29.3,0.1
Jahlil Okafor,NOP,23,C,54,51,57.9,3.0,5.6,53.9,57.6,-3.7,15.8,0.4
Dennis Smith Jr.,NYK,21,G,53,53,43.4,3.0,5.6,54.0,55.2,-1.1,28.5,0.3
Mike Muscala,LAL,27,F-C,61,59,53.4,3.0,5.6,52.8,56.8,-4.1,20.4,0.4
Mikal Bridges,PHX,22,F,81,80,51.4,3.2,5.6,56.7,56.8,0.0,29.5,0.3
Luka Doncic,DAL,20,F-G,72,71,46.5,3.3,5.6,59.5,56.7,2.8,32.2,0.2
Nemanja Bjelica,SAC,31,F,77,77,47.9,3.1,5.6,55.8,57.4,-1.6,23.2,0.4
Thaddeus Young,IND,31,F,81,81,44.5,3.1,5.5,56.3,58.4,-2.1,30.7,0.2
De'Aaron Fox,SAC,21,G,81,79,47.4,3.4,5.5,60.5,55.7,4.8,31.4,0.3
Chris Paul,HOU,34,G,57,57,50.2,3.3,5.5,60.2,56.6,3.6,32.0,0.1
Derrick White,SAS,24,G,67,65,41.8,2.9,5.5,53.1,55.5,-2.4,25.8,0.3
Mitchell Robinson,NYK,21,C,65,64,47.0,2.8,5.5,51.3,57.7,-6.5,20.6,1.2
Elfrid Payton,NOP,25,G,42,42,45.2,3.0,5.5,54.3,54.7,-0.3,29.8,0.2
Danny Green,TOR,32,G-F,79,78,44.0,3.0,5.5,54.1,55.8,-1.7,27.7,0.4
Shai Gilgeous-Alexander,LAC,20,G,82,81,53.1,2.9,5.5,52.2,54.7,-2.5,26.5,0.3
Otto Porter Jr.,CHI,26,F,55,55,51.9,3.1,5.4,57.9,56.2,1.7,30.1,0.3
Damian Jones,GSW,24,C,24,24,48.3,3.0,5.4,55.4,57.3,-1.9,17.1,0.6
Kris Dunn,CHI,25,G,45,44,45.9,3.1,5.4,57.8,55.3,2.4,30.2,0.2
Ante Zizic,CLE,22,C,57,53,49.0,3.0,5.4,54.7,57.6,-2.9,18.3,0.3
Jakob Poeltl,SAS,23,C,77,75,53.2,2.9,5.4,53.8,57.4,-3.7,16.5,0.6
Josh Hart,LAL,24,G,67,66,47.9,2.9,5.4,53.2,55.7,-2.5,25.6,0.4
Maxi Kleber,DAL,27,F,71,69,52.6,2.6,5.3,49.5,56.7,-7.3,21.2,0.8
Trae Young,ATL,20,G,81,79,45.8,3.3,5.3,61.7,55.4,6.3,30.9,0.1
Marvin Williams,CHA,33,F,74,74,47.0,2.9,5.3,54.5,57.6,-3.0,28.4,0.6
Justise Winslow,MIA,23,F-G,66,65,45.8,2.7,5.3,50.9,55.9,-5.1,29.7,0.2
Marcin Gortat,LAC,35,C,47,47,55.3,2.7,5.3,51.4,57.8,-6.4,16.0,0.4
Josh Richardson,MIA,25,G-F,73,72,41.5,3.0,5.3,56.0,56.0,-0.1,34.8,0.2
Kenrich Williams,NOP,24,G-F,43,39,54.6,3.3,5.3,62.1,57.0,5.2,23.5,0.3
JaKarr Sampson,CHI,26,F,4,4,38.9,2.8,5.3,52.4,56.0,-3.6,31.8,0.8
Jabari Parker,WAS,24,F,62,62,46.0,3.0,5.2,57.5,56.7,0.8,26.9,0.4
Mo Bamba,ORL,21,C,45,44,52.7,2.7,5.2,52.3,57.3,-4.9,16.3,0.8
Devin Booker,PHX,22,G,64,62,47.4,3.1,5.2,59.9,56.4,3.4,34.8,0.1
Klay Thompson,GSW,29,G,78,78,46.9,2.6,5.2,50.1,55.3,-5.2,34.0,0.2
Evan Fournier,ORL,26,G-F,79,77,45.4,3.0,5.2,56.8,55.3,1.6,31.5,0.1
John Wall,WAS,28,G,32,32,44.0,3.0,5.2,57.2,55.2,2.0,34.5,0.5
Cedi Osman,CLE,24,F,76,76,42.7,3.3,5.2,63.6,56.1,7.5,32.2,0.1
CJ McCollum,POR,27,G,70,69,42.2,3.0,5.2,57.2,55.6,1.6,33.9,0.2
Trevor Ariza,WAS,33,F,68,68,51.4,3.4,5.2,65.2,57.7,7.6,34.0,0.2
Tyson Chandler,LAL,36,C,55,53,49.3,2.9,5.2,56.7,58.7,-2.0,15.9,0.3
Tomas Satoransky,WAS,27,G-F,78,74,51.0,3.0,5.1,58.6,55.2,3.4,27.1,0.1
Nicolas Batum,CHA,30,F-G,74,73,49.6,2.7,5.1,53.4,57.0,-3.6,31.4,0.3
Collin Sexton,CLE,20,G,82,81,43.8,3.4,5.1,66.7,55.8,11.0,31.8,0.0
Dwight Powell,DAL,27,F-C,76,73,47.0,2.9,5.1,57.5,57.4,0.1,21.6,0.3
Al-Farouq Aminu,POR,28,F,81,80,45.7,2.8,5.0,55.3,57.7,-2.4,28.3,0.3
Salah Mejri,DAL,33,C,34,31,64.3,2.7,5.0,53.8,56.5,-2.7,11.1,0.6
RJ Hunter,BOS,25,G,1,1,41.7,2.0,5.0,40.0,57.6,-17.6,26.0,0
Giannis Antetokounmpo,MIL,24,F,72,70,42.6,2.5,5.0,49.2,57.6,-8.4,32.8,1.1
Avery Bradley,MEM,28,G,63,63,46.9,2.9,5.0,58.1,56.0,2.1,30.2,0.1
Kelly Oubre Jr.,PHX,23,F,69,66,49.0,3.0,5.0,59.6,56.8,2.8,27.9,0.6
Richaun Holmes,PHX,25,F-C,69,68,50.0,2.5,5.0,51.2,57.6,-6.4,16.9,0.7
Jeremy Lamb,CHA,27,G,77,76,43.2,3.1,5.0,62.0,56.1,5.9,28.5,0.2
Josh Jackson,PHX,22,F,79,77,49.7,2.6,5.0,53.2,56.2,-3.0,25.0,0.6
Rajon Rondo,LAL,33,G,46,44,45.1,3.3,5.0,65.8,57.1,8.7,29.8,0.1
Danuel House Jr.,HOU,26,F-G,39,39,49.9,3.0,5.0,61.1,57.1,4.0,25.1,0.2
