Team,DEF,RDEF
SAS,101.4,42.2
OKC,103.0,39.7
LAC,104.0,44.6
IND,98.9,35.7
HOU,105.2,44.0
MIA,105.0,41.1
POR,106.2,45.6
GSW,101.4,40.7
MEM,103.8,38.6
DAL,107.2,43.6
CHI,99.9,37.0
PHX,105.6,45.5
TOR,104.6,42.9
BKN,106.7,41.1
WAS,103.6,41.9
CHA,103.3,38.8
MIN,105.2,46.1
ATL,105.7,42.5
NYK,108.1,39.5
DEN,107.3,45.3
NOP,109.1,43.8
CLE,107.0,38.9
DET,109.0,44.3
SAC,107.8,41.9
LAL,109.3,49.2
BOS,106.5,44.8
UTA,110.1,45.8
ORL,106.6,39.9
PHI,109.0,44.2
MIL,110.2,42.4
