Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Brook Lopez,MIL,34,C,68,68,37.2,3.4,8.5,40.3,37.3,3.0,30.7,0.5,1.2,0
Kevin Porter Jr.,HOU,22,G-F,47,47,52.8,2.9,7.9,36.7,38.0,-1.3,33.7,1.3,0.2,0.06
Al Horford,BOS,36,C-F,55,55,43.5,2.6,7.2,36.4,37.5,-1.1,31.0,0.5,0.6,0
Julius Randle,NYK,28,F-C,71,71,49.3,2.7,7.1,37.6,37.3,0.4,35.9,0.6,0.1,0
Kevin Durant,PHX,34,F,42,42,45.8,2.6,7.1,36.7,36.2,0.5,35.7,0.8,0.8,0
Draymond Green,GSW,33,F,62,62,46.7,2.4,7.0,34.3,36.8,-2.5,31.5,1.0,0.5,0.19
Isaiah Stewart,DET,21,F-C,50,50,47.1,2.9,6.9,41.9,36.8,5.2,28.3,0.4,0.3,0
Joel Embiid,PHI,28,C-F,55,55,35.8,2.5,6.9,36.2,37.4,-1.1,35.1,1.1,0.7,0.04
RJ Barrett,NYK,22,F-G,63,63,50.1,2.5,6.9,36.1,37.8,-1.7,34.1,0.5,0.1,0
Zach LaVine,CHI,28,G,64,64,52.5,2.5,6.8,36.0,37.5,-1.5,36.0,0.9,0.0,0
Jrue Holiday,MIL,32,G,57,57,48.5,2.4,6.8,35.8,38.1,-2.3,33.1,1.2,0.3,0
Kristaps Porzingis,WAS,27,F-C,59,59,38.1,2.3,6.8,34.3,36.6,-2.3,32.7,0.9,1.0,0
Cade Cunningham,DET,21,G,12,12,43.5,1.8,6.8,25.9,37.5,-11.6,33.3,0.8,0.2,0
Shai Gilgeous-Alexander,OKC,24,G,58,58,46.2,2.4,6.7,35.0,36.8,-1.8,35.6,1.7,0.6,0
Nikola Jokic,DEN,28,C,61,61,33.1,2.6,6.7,38.9,36.8,2.1,33.9,1.2,0.4,0.07
De'Aaron Fox,SAC,25,G,61,61,49.8,2.5,6.7,36.9,37.7,-0.8,34.1,1.2,0.2,0.08
Jabari Smith Jr.,HOU,19,F,66,66,46.9,2.6,6.6,39.0,37.3,1.7,30.5,0.5,0.4,0
Evan Mobley,CLE,21,C,70,70,38.4,2.5,6.6,37.8,36.8,1.1,34.2,0.8,0.5,0.01
Jalen Brunson,NYK,26,G,62,62,51.3,2.5,6.5,37.8,37.7,0.1,34.9,0.9,0.1,0.4
Bogdan Bogdanovic,ATL,30,G,43,43,48.0,2.5,6.5,37.7,37.0,0.7,28.5,0.8,0.3,0.02
Fred VanVleet,TOR,29,G,57,57,42.5,2.5,6.5,38.4,37.3,1.0,37.0,1.7,0.4,0.02
Karl-Anthony Towns,MIN,27,C-F,21,21,47.6,2.4,6.5,37.5,36.5,1.1,33.8,0.8,0.3,0.05
Luguentz Dort,OKC,23,G,62,62,53.2,2.3,6.5,35.1,37.7,-2.6,30.3,1.0,0.1,0.1
Ivica Zubac,LAC,25,C,64,64,36.9,2.6,6.5,40.1,36.6,3.5,29.1,0.4,0.5,0
Rudy Gobert,MIN,30,C,58,57,35.9,2.5,6.5,38.0,37.6,0.4,30.5,0.8,0.5,0
Anthony Davis,LAL,30,F-C,44,44,36.3,2.0,6.4,31.7,37.8,-6.2,33.5,1.0,1.1,0.05
Harrison Barnes,SAC,30,F,68,67,46.4,2.4,6.4,37.2,36.9,0.3,33.0,0.7,0.0,0.07
Zion Williamson,NOP,22,F,28,28,52.0,2.2,6.4,34.3,36.9,-2.6,33.0,1.1,0.3,0
Jaden McDaniels,MIN,22,F,67,67,46.9,2.4,6.3,38.2,37.3,0.9,30.7,0.9,0.5,0.01
Paul George,LAC,32,F,53,53,45.2,2.3,6.3,37.5,36.7,0.8,34.6,1.4,0.2,0.06
Andrew Wiggins,GSW,28,F,37,37,46.6,2.6,6.2,41.1,36.9,4.2,32.2,1.2,0.5,0.03
LaMelo Ball,CHA,21,G,36,36,47.5,2.4,6.2,37.9,37.3,0.6,35.2,1.3,0.1,0
Jarrett Allen,CLE,24,C,62,62,38.0,2.3,6.2,37.7,37.6,0.1,33.0,0.8,0.3,0.05
