Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Kemba Walker,CHA,25,G,62,62,61.0,3.0,8.1,36.9,36.5,0.4,34.2,1.4,0.3,0.1
Darren Collison,SAC,27,G,45,44,60.6,2.6,7.2,36.6,37.0,-0.4,34.8,1.5,0.2,0.2
James Harden,HOU,25,G,80,80,58.4,2.4,7.1,33.6,36.6,-3.1,36.8,1.9,0.4,0.04
Victor Oladipo,ORL,23,G,72,72,62.5,2.6,7.0,37.7,36.9,0.8,35.7,1.7,0.0,0.12
Luol Deng,MIA,30,F,71,71,56.8,2.4,7.0,34.7,37.0,-2.3,33.6,0.9,0.1,0.06
Andrew Wiggins,MIN,20,F-G,81,80,56.8,2.6,7.0,37.4,37.1,0.3,36.2,1.0,0.4,0
Eric Bledsoe,PHX,25,G,81,81,56.1,2.6,6.9,37.9,36.8,1.1,34.6,1.6,0.2,0.09
Monta Ellis,DAL,29,G,80,80,64.6,2.5,6.8,36.3,37.4,-1.2,33.7,1.9,0.1,0.35
Jrue Holiday,NOP,25,G,40,40,62.2,2.6,6.8,38.0,36.9,1.1,32.6,1.6,0.3,0.05
DeMarre Carroll,ATL,28,F,70,70,59.9,2.3,6.8,34.7,36.8,-2.2,31.3,1.3,0.1,0.09
Mike Conley,MEM,27,G,70,69,61.7,2.4,6.6,36.6,36.8,-0.2,31.8,1.3,0.1,0.06
Rudy Gay,SAC,28,F,68,68,58.4,2.3,6.6,34.9,37.1,-2.2,35.4,1.0,0.4,0.03
Matt Barnes,LAC,35,F,76,75,58.7,2.3,6.5,35.0,36.5,-1.5,29.9,0.9,0.3,0.03
Ben McLemore,SAC,22,G,82,82,58.3,2.2,6.5,33.8,37.3,-3.4,32.6,0.9,0.1,0.01
Bradley Beal,WAS,22,G,63,62,61.6,2.2,6.4,34.8,37.3,-2.4,33.5,1.2,0.1,0.05
Kyle Lowry,TOR,29,G,70,70,58.7,2.2,6.3,35.1,36.9,-1.8,34.5,1.6,0.0,0.37
