Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Domantas Sabonis,SAC,26,F-C,72,72,60.4,6.7,11.2,59.9,61.5,-1.6,34.8,0.3
Nikola Jokic,DEN,28,C,66,66,53.6,6.6,10.9,60.4,61.0,-0.6,33.9,0.2
Brook Lopez,MIL,34,C,72,72,45.0,5.2,10.3,51.1,61.0,-9.9,30.6,1.3
Joel Embiid,PHI,29,C-F,61,61,53.1,5.8,10.2,57.3,60.4,-3.1,34.8,1.0
Myles Turner,IND,27,C-F,62,62,58.6,5.5,10.0,55.4,61.4,-6.0,29.4,1.5
Nikola Vucevic,CHI,32,C,73,73,56.4,6.1,9.7,62.6,61.6,1.0,34.1,0.5
Kristaps Porzingis,WAS,27,F-C,63,61,54.6,4.9,9.5,50.9,60.5,-9.6,32.6,0.6
Evan Mobley,CLE,21,C,73,73,54.1,5.3,9.5,55.5,59.9,-4.5,34.4,0.9
Jusuf Nurkic,POR,28,C,52,52,57.5,5.4,9.3,58.3,61.5,-3.2,26.8,0.6
Jakob Poeltl,TOR,27,C,64,64,55.9,5.5,9.2,59.3,60.8,-1.6,26.8,0.9
Rudy Gobert,MIN,30,C,62,62,51.0,5.0,9.1,54.9,60.4,-5.5,30.7,0.9
Jarrett Allen,CLE,24,C,64,64,53.2,4.8,8.7,55.2,60.7,-5.4,33.0,0.9
Nic Claxton,BKN,23,C,69,69,55.0,4.4,8.6,51.8,60.3,-8.6,29.6,1.4
Anthony Davis,LAL,30,F-C,48,48,48.4,4.6,8.5,54.4,61.7,-7.3,33.8,0.9
Ivica Zubac,LAC,26,C,68,68,48.1,4.6,8.5,53.8,61.7,-7.9,29.0,0.8
Kelly Olynyk,UTA,31,F-C,62,62,54.5,4.8,8.4,57.0,60.6,-3.6,28.3,0.2
Zach Collins,SAS,25,F-C,59,59,58.6,4.6,8.4,55.0,61.1,-6.1,22.5,0.5
Alperen Sengun,HOU,20,C,67,67,54.5,5.0,8.3,60.6,61.1,-0.6,28.5,0.5
Scottie Barnes,TOR,21,F,69,69,53.6,4.8,8.1,58.9,60.3,-1.3,34.9,0.3
Walker Kessler,UTA,21,C,69,69,55.1,4.0,8.0,50.2,61.0,-10.9,22.7,1.4
Wendell Carter Jr.,ORL,23,C-F,51,51,51.0,4.5,7.9,57.2,60.4,-3.2,30.1,0.3
Steven Adams,MEM,29,C,42,42,54.9,3.9,7.8,49.8,60.7,-10.8,27.0,0.6
Mikal Bridges,BKN,26,G-F,19,19,52.5,4.0,7.8,52.0,59.6,-7.6,36.0,0.4
Jaren Jackson Jr.,MEM,23,F-C,56,55,55.8,3.8,7.7,49.5,60.5,-11.0,28.1,2.0
Mason Plumlee,LAC,33,F-C,70,69,53.5,4.6,7.7,60.3,61.5,-1.2,26.8,0.3
