Team,DEF,RDEF
UTA,107.5,49.1
PHX,110.4,47.4
PHI,107.0,46.0
BKN,113.1,47.8
DEN,111.5,45.2
LAC,110.6,47.2
MIL,110.7,43.1
DAL,112.3,45.2
LAL,106.8,48.2
POR,115.3,47.3
ATL,112.1,48.7
NYK,107.8,43.8
MIA,110.7,41.3
GSW,109.4,47.3
MEM,110.5,47.5
BOS,111.8,44.3
IND,111.9,53.8
WAS,112.3,48.2
CHA,112.0,47.2
SAS,112.0,50.1
CHI,111.5,48.9
NOP,113.3,46.7
SAC,116.5,53.4
TOR,112.0,42.9
MIN,114.5,49.8
CLE,113.5,50.6
OKC,113.4,49.5
ORL,113.9,47.2
DET,112.2,51.3
HOU,114.4,50.0
