Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Kristaps Porzingis,NYK,21,F,66,66,100,7.2,16.8,42.9,46.4,-3.5,32.8,0.7,0.5,0
Paul Millsap,ATL,32,F,69,69,100,7.5,15.9,47.3,46.0,1.3,34.0,1.3,0.1,0.07
Draymond Green,GSW,27,F,76,76,100,6.4,15.9,40.2,46.1,-5.8,32.5,2.0,0.5,0.17
Rudy Gobert,UTA,25,C,81,81,100,6.6,15.8,41.8,48.2,-6.3,33.9,0.6,0.8,0.04
Robin Lopez,CHI,29,C,81,81,100,7.5,15.3,49.1,48.5,0.6,28.0,0.2,0.3,0.01
Karl-Anthony Towns,MIN,21,C,82,82,100,7.2,14.9,47.8,47.1,0.7,37.0,0.7,0.5,0.01
Tristan Thompson,CLE,26,C,78,78,100,6.8,14.8,46.1,46.8,-0.7,30.0,0.5,0.2,0
Al Horford,BOS,31,C,68,68,100,6.8,14.6,46.7,46.6,0.0,32.2,0.8,0.5,0
Nikola Jokic,DEN,22,F-C,72,72,100,7.7,14.4,53.5,48.7,4.8,27.9,0.8,0.2,0
Myles Turner,IND,21,C,80,80,100,6.5,14.4,45.2,47.7,-2.5,31.4,0.9,0.5,0.01
Anthony Davis,NOP,24,F-C,75,75,100,5.9,14.3,41.3,47.7,-6.4,36.1,1.2,0.9,0.12
Marcin Gortat,WAS,33,C,82,82,100,7.3,14.3,51.1,48.1,3.0,31.2,0.5,0.2,0.17
Gorgui Dieng,MIN,27,F-C,82,82,100,7.0,14.1,49.9,47.3,2.6,32.4,1.1,0.3,0.24
DeMarcus Cousins,NOP,26,F-C,72,72,100,6.4,14.0,45.6,47.9,-2.3,34.2,1.4,0.5,0.33
DeAndre Jordan,LAC,28,C,81,81,100,6.4,14.0,45.5,47.8,-2.4,31.7,0.6,0.5,0
Steven Adams,OKC,23,C,80,80,100,6.5,13.7,47.4,47.5,-0.1,29.9,1.1,0.3,0
Kevin Love,CLE,28,F,60,60,100,6.4,13.5,47.2,46.3,0.9,31.4,0.9,0.1,0.12
Brook Lopez,BKN,29,C,75,75,100,6.2,13.5,45.9,47.8,-1.9,29.6,0.5,0.5,0.01
Andrew Wiggins,MIN,22,F,82,82,100,6.6,13.4,49.4,45.7,3.7,37.2,1.0,0.2,0
Joel Embiid,PHI,23,C,31,31,100,5.5,13.3,41.1,47.8,-6.7,25.4,0.9,0.9,0.03
