Team,DEF,RDEF
GSW,103.4,45.4
SAS,102.9,40.8
HOU,108.4,49.0
BOS,108.0,43.2
CLE,109.7,44.5
LAC,107.5,42.7
TOR,107.1,41.7
UTA,104.7,41.0
WAS,108.8,43.9
OKC,107.1,47.5
ATL,105.2,39.1
MEM,106.5,37.8
IND,108.1,39.7
MIL,108.7,43.7
CHI,106.2,45.2
MIA,106.4,44.5
POR,110.0,42.9
DEN,111.7,47.4
DET,106.7,41.2
CHA,108.4,40.5
NOP,106.8,44.1
DAL,107.7,39.5
SAC,110.8,40.7
MIN,110.9,46.2
NYK,110.7,46.1
ORL,110.3,46.6
PHI,108.2,45.1
LAL,112.0,47.4
PHX,111.3,44.0
BKN,110.1,45.0
