Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Serge Ibaka,OKC,25,F,64,64,100,6.3,15.6,40.1,46.2,-6.1,33.1,0.5,0.4,0
DeAndre Jordan,LAC,26,C,82,82,100,6.8,14.8,46.2,47.2,-0.9,34.4,1.0,0.9,0
Tyson Chandler,DAL,32,C,74,74,100,7.0,14.7,47.7,47.0,0.7,30.5,0.6,0.5,0.09
DeMarcus Cousins,SAC,24,C,59,59,100,6.5,14.6,44.6,47.2,-2.7,34.1,1.5,0.7,0.58
Anthony Davis,NOP,22,F-C,68,68,100,5.9,14.5,40.7,46.0,-5.3,36.1,1.5,1.4,0.01
Pau Gasol,CHI,34,F-C,78,78,100,6.6,14.4,45.5,48.0,-2.5,34.4,0.3,0.6,0
Brook Lopez,BKN,27,C,72,72,100,6.7,14.4,46.3,47.4,-1.2,29.2,0.6,0.5,0.01
Paul Millsap,ATL,30,F,73,73,100,6.7,14.0,47.8,45.4,2.3,32.7,1.8,0.2,0.08
Joakim Noah,CHI,30,C,67,67,100,5.8,13.9,42.0,46.6,-4.6,30.6,0.7,0.3,0.1
LaMarcus Aldridge,POR,29,F,71,71,100,6.2,13.9,44.4,46.2,-1.8,35.4,0.7,0.2,0
Draymond Green,GSW,25,F,79,79,100,5.4,13.9,38.7,45.4,-6.8,31.5,1.6,0.6,0.15
Nikola Vucevic,ORL,24,C,74,74,100,6.8,13.9,49.0,47.1,2.0,34.2,0.7,0.3,0.01
Kevin Love,CLE,26,F,74,74,100,6.2,13.7,45.4,46.1,-0.7,33.8,0.7,0.2,0.13
Marcin Gortat,WAS,31,C,82,82,100,6.0,13.7,44.1,46.9,-2.8,29.9,0.6,0.5,0.05
Chris Bosh,MIA,31,C,44,44,100,6.2,13.3,46.7,46.3,0.4,35.4,0.9,0.2,0.07
Gorgui Dieng,MIN,25,C,72,72,100,6.9,13.3,51.8,46.9,4.9,30.0,1.0,0.4,0.12
Blake Griffin,LAC,26,F,67,67,100,6.0,13.3,45.6,46.1,-0.5,35.2,0.9,0.1,0.09
Kemba Walker,CHA,25,G,62,62,100,5.5,13.2,41.3,43.3,-2.0,34.2,1.4,0.3,0.1
Tim Duncan,SAS,39,F,77,77,100,5.8,13.1,44.6,47.1,-2.6,28.9,0.8,0.5,0
Terrence Jones,HOU,23,F,33,33,100,5.5,13.1,42.1,45.5,-3.4,26.9,0.5,0.7,0.03
Timofey Mozgov,CLE,28,C,81,81,100,6.2,13.1,47.8,47.4,0.4,25.3,0.4,0.3,0
Robin Lopez,POR,27,C,59,59,100,6.0,13.0,45.8,47.9,-2.2,27.8,0.3,0.4,0
Andre Drummond,DET,21,C,82,82,100,6.0,12.8,47.1,47.6,-0.5,30.5,0.9,0.7,0.04
Derrick Favors,UTA,23,F,74,74,100,5.4,12.8,42.0,46.6,-4.6,30.8,0.8,0.5,0
Greg Monroe,DET,25,F-C,69,69,100,6.1,12.7,48.2,46.9,1.3,31.0,1.1,0.1,0.13
Nerlens Noel,PHI,21,C-F,75,75,100,6.0,12.7,46.9,46.8,0.1,30.8,1.8,0.6,0.04
Al Jefferson,CHA,30,C,65,65,100,6.5,12.7,51.2,47.6,3.6,30.6,0.7,0.7,0
Josh Smith,HOU,29,F,83,83,100,5.1,12.5,41.1,45.9,-4.9,27.7,1.0,0.4,0.13
Jordan Hill,LAL,27,C,70,70,100,6.6,12.5,52.7,47.2,5.5,26.8,0.5,0.1,0
