Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Nikola Jokic,DEN,27,C,74,74,100,10.3,21.4,48.0,49.0,-1.0,33.5,1.5,0.5,0.03
Rudy Gobert,UTA,30,C,66,66,100,8.7,20.8,41.6,48.5,-6.9,32.1,0.7,0.9,0.03
Nikola Vucevic,CHI,31,C,73,73,100,9.8,20.0,48.8,49.0,-0.2,33.1,1.0,0.3,0.03
Jakob Poeltl,SAS,26,C,68,68,100,9.1,19.4,47.2,48.9,-1.7,29.0,0.7,0.6,0.03
Joel Embiid,PHI,28,C-F,68,68,100,9.0,19.1,46.8,49.6,-2.7,33.8,1.1,0.6,0.01
Zavier Simpson,OKC,25,G,4,4,100,8.3,18.5,44.6,44.8,-0.2,43.5,1.2,0.5,0
Evan Mobley,CLE,21,C,69,69,100,7.9,17.4,45.4,47.8,-2.4,33.8,0.8,0.4,0
Anthony Davis,LAL,29,F-C,40,40,100,7.5,17.1,43.7,47.4,-3.7,35.1,1.2,1.1,0.05
Jonas Valanciunas,NOP,30,C,74,74,100,8.0,16.5,48.5,49.6,-1.1,30.3,0.6,0.4,0
Christian Wood,HOU,26,F,68,68,100,7.7,16.4,47.1,47.1,0.0,30.8,0.8,0.4,0
Pascal Siakam,TOR,28,F,68,68,100,7.7,16.3,46.9,46.2,0.7,37.9,1.2,0.2,0
Deandre Ayton,PHX,23,C,58,58,100,7.2,16.3,44.3,48.4,-4.1,29.5,0.7,0.5,0
Scottie Barnes,TOR,20,F,74,74,100,7.6,16.1,47.0,46.6,0.5,35.4,1.1,0.3,0.05
Ivica Zubac,LAC,25,C,76,76,100,7.5,16.0,46.7,49.0,-2.3,24.4,0.5,0.3,0.01
Miles Bridges,CHA,24,F,79,79,100,7.2,15.8,45.3,46.6,-1.3,35.5,0.9,0.3,0
Jarrett Allen,CLE,24,C,56,56,100,6.5,15.8,41.6,48.2,-6.6,32.3,0.8,0.2,0
Domantas Sabonis,SAC,26,F-C,62,62,100,7.6,15.7,48.7,47.8,0.8,34.5,1.0,0.1,0.02
Al Horford,BOS,36,C-F,69,69,100,6.4,15.1,42.4,47.2,-4.8,29.1,0.7,0.7,0
Karl-Anthony Towns,MIN,26,C-F,74,74,100,7.1,14.9,47.5,48.9,-1.4,33.5,1.0,0.5,0
Jaylen Hoard,OKC,23,F,6,6,100,7.8,14.8,52.8,46.7,6.1,34.3,0.9,0.4,0
Wendell Carter Jr.,ORL,23,C-F,62,62,100,6.7,14.7,45.5,48.5,-3.0,29.9,0.6,0.3,0.02
Frank Kaminsky,PHX,29,F-C,9,9,100,6.4,14.7,43.9,46.7,-2.8,20.1,0.9,0.3,0
Kristaps Porzingis,WAS,26,F-C,51,51,100,6.9,14.5,47.6,48.0,-0.3,29.0,0.7,0.9,0
Cade Cunningham,DET,20,G,64,64,100,6.8,14.5,46.9,46.7,0.2,32.6,1.2,0.3,0.03
Lonzo Ball,CHI,24,G,35,35,100,6.7,14.5,46.0,45.1,0.9,34.6,1.8,0.3,0.03
Isaiah Stewart,DET,21,F-C,71,71,100,6.3,14.4,44.2,48.1,-3.9,25.6,0.3,0.4,0
Mo Bamba,ORL,24,C,71,71,100,6.3,14.4,44.2,48.3,-4.1,25.7,0.5,1.0,0
Jrue Holiday,MIL,32,G,66,66,100,6.3,14.3,44.0,45.6,-1.6,33.0,1.6,0.3,0.06
Brook Lopez,MIL,34,C,13,13,100,6.0,14.3,41.9,48.3,-6.4,22.9,0.6,0.4,0
John Collins,ATL,24,F-C,54,54,100,6.9,14.3,48.1,47.1,0.9,30.8,0.6,0.3,0.26
Darius Bazley,OKC,22,F,69,69,100,6.9,14.3,48.5,46.5,2.0,27.9,0.8,0.6,0
RJ Barrett,NYK,22,F-G,70,70,100,6.4,14.3,44.8,46.2,-1.4,34.5,0.6,0.0,0.03
Mason Plumlee,CHA,32,F-C,72,72,100,6.8,14.3,47.4,48.9,-1.5,24.6,0.8,0.4,0.03
Kevin Durant,BKN,33,F,55,55,100,6.1,14.3,42.6,46.1,-3.5,37.2,0.9,0.5,0.02
Fred VanVleet,TOR,28,G,65,65,100,6.8,14.2,47.8,45.6,2.2,37.9,1.7,0.4,0.02
Clint Capela,ATL,28,C,74,74,100,7.0,14.2,49.2,49.1,0.1,27.6,0.7,0.4,0.19
Andrew Wiggins,GSW,27,F,73,73,100,6.1,14.1,43.4,46.8,-3.4,31.9,1.0,0.5,0.01
De'Aaron Fox,SAC,24,G,58,58,100,7.0,14.1,49.6,45.5,4.1,35.3,1.2,0.3,0.05
Shai Gilgeous-Alexander,OKC,23,G,56,56,100,6.7,14.1,47.7,45.5,2.1,34.7,1.3,0.5,0
Steven Adams,MEM,28,C,76,76,100,7.0,14.0,50.0,49.8,0.2,26.3,0.9,0.3,0.03
Luka Doncic,DAL,23,F-G,65,65,100,6.7,13.9,47.8,46.2,1.6,35.4,1.2,0.3,0.02
Josh Hart,POR,27,G,54,54,100,6.6,13.9,47.7,45.8,1.9,33.2,1.1,0.1,0.04
Myles Turner,IND,26,C-F,42,42,100,6.7,13.9,48.4,49.8,-1.5,29.4,0.7,1.1,0.05
Giannis Antetokounmpo,MIL,27,F,67,67,100,6.2,13.8,44.6,47.8,-3.2,32.9,1.1,0.5,0.01
Jusuf Nurkic,POR,27,C,56,56,100,7.0,13.8,50.6,49.6,1.1,28.2,1.1,0.2,0.02
Devin Booker,PHX,25,G,68,68,100,6.0,13.8,43.3,45.5,-2.2,34.5,1.1,0.2,0.01
Dorian Finney-Smith,DAL,29,F,80,80,100,6.3,13.7,45.6,46.3,-0.7,33.0,1.1,0.1,0
Derrick Walton Jr.,DET,27,G,3,3,100,4.3,13.7,31.7,43.9,-12.2,36.0,2.3,0.3,0
James Harden,PHI,32,G,65,65,100,6.4,13.5,47.0,46.6,0.5,37.2,1.3,0.3,0.03
Lauri Markkanen,CLE,25,F-C,61,61,100,6.6,13.5,49.0,47.3,1.8,30.8,0.7,0.2,0
D'Angelo Russell,MIN,26,G,65,65,100,6.3,13.5,46.4,45.7,0.7,32.0,1.0,0.2,0.08
Bobby Portis,MIL,27,F,72,72,100,5.9,13.5,43.9,47.9,-4.0,28.2,0.7,0.4,0
Robert Williams III,BOS,24,C-F,61,61,100,5.4,13.4,40.2,47.3,-7.1,29.6,0.9,1.5,0
Paul George,LAC,32,F,31,31,100,5.8,13.4,43.0,46.1,-3.1,34.7,2.2,0.2,0.16
CJ McCollum,NOP,30,G,62,62,100,6.3,13.3,47.3,45.4,1.9,34.6,1.1,0.2,0.02
Reggie Jackson,LAC,32,G,75,75,100,5.8,13.3,43.6,45.7,-2.0,31.2,0.7,0.1,0.09
Draymond Green,GSW,32,F,45,45,100,5.4,13.2,40.7,47.4,-6.7,28.9,1.3,0.9,0.17
Julius Randle,NYK,27,F-C,72,72,100,5.6,13.1,43.1,47.3,-4.2,35.3,0.7,0.1,0
Buddy Hield,IND,29,G,80,80,100,6.6,13.1,50.4,45.5,4.9,30.9,0.9,0.2,0
Dejounte Murray,SAS,25,G,68,68,100,6.3,12.9,48.9,46.5,2.4,34.8,2.0,0.2,0.01
LeBron James,LAL,37,F,56,56,100,5.4,12.9,42.2,46.9,-4.7,37.2,1.3,0.4,0.27
Anthony Edwards,MIN,20,G,72,72,100,6.1,12.9,47.3,46.2,1.1,34.2,1.5,0.3,0.01
Devin Cannady,ORL,26,G,5,5,100,6.4,12.8,50.0,44.1,5.9,29.0,1.0,0.6,0
Kyrie Irving,BKN,30,G,29,29,100,5.7,12.7,44.4,45.5,-1.0,37.6,1.4,0.3,0.07
Luguentz Dort,OKC,23,G,51,51,100,5.7,12.7,45.0,45.3,-0.3,32.6,0.9,0.2,0
Khris Middleton,MIL,30,F,66,66,100,6.0,12.7,47.2,45.7,1.5,32.4,1.2,0.1,0.03
Royce O'Neale,UTA,29,F,77,77,100,6.0,12.7,47.3,46.4,0.9,31.2,1.1,0.2,0
Mikal Bridges,PHX,25,F,82,82,100,5.8,12.6,46.1,45.5,0.5,34.8,1.2,0.3,0.01
Derrick White,BOS,27,G,75,75,100,5.7,12.6,45.2,45.8,-0.5,29.3,0.9,0.5,0.33
De'Andre Hunter,ATL,24,F-G,53,53,100,5.7,12.5,45.6,46.2,-0.6,29.8,0.7,0.3,0.02
Isaiah Hartenstein,LAC,24,C-F,68,68,100,5.6,12.5,44.9,47.2,-2.3,17.9,0.7,0.5,0.07
Bam Adebayo,MIA,24,C-F,56,56,100,5.3,12.5,42.8,47.7,-4.8,32.6,1.4,0.5,0.04
Terry Rozier,CHA,28,G,72,72,100,6.0,12.3,49.0,45.8,3.2,33.7,1.3,0.2,0.05
Tobias Harris,PHI,29,F,73,73,100,5.7,12.3,46.4,47.0,-0.6,34.8,0.6,0.3,0
Ja Morant,MEM,22,G,57,57,100,5.4,12.3,44.2,46.0,-1.9,33.1,1.2,0.2,0.02
Jaylen Brown,BOS,25,G-F,66,66,100,5.6,12.3,45.6,45.8,-0.2,33.6,1.1,0.2,0.03
Deni Avdija,WAS,21,F,81,81,100,5.4,12.3,43.5,45.8,-2.3,24.2,0.7,0.3,0
Kyle Kuzma,WAS,26,F,66,66,100,5.4,12.3,43.8,46.5,-2.7,33.4,0.6,0.5,0.03
Jaren Jackson Jr.,MEM,22,F-C,78,78,100,5.1,12.3,41.7,47.7,-6.0,27.3,0.9,0.8,0
P.J. Washington,CHA,23,F,65,65,100,5.7,12.3,46.6,47.4,-0.8,27.2,0.9,0.4,0.02
Dillon Brooks,MEM,26,G-F,32,32,100,5.5,12.2,45.3,45.2,0.1,27.7,1.1,0.1,0.06
Kevin Porter Jr.,HOU,22,G-F,61,61,100,6.2,12.2,51.1,46.8,4.3,31.3,1.1,0.1,0.02
Alperen Sengun,HOU,19,C,72,72,100,6.2,12.2,50.9,47.7,3.2,20.7,0.8,0.4,0.15
Josh Giddey,OKC,19,G,54,54,100,5.4,12.2,44.7,46.1,-1.3,31.5,0.9,0.3,0
Kevon Looney,GSW,26,F,82,82,100,5.5,12.2,45.2,48.7,-3.5,21.1,0.6,0.4,0.01
Daniel Theis,BOS,30,F-C,47,47,100,5.8,12.2,47.6,47.7,0.0,20.8,0.4,0.2,0
Damian Lillard,POR,31,G,29,29,100,5.7,12.1,47.2,45.9,1.2,36.4,0.6,0.3,0.07
Keldon Johnson,SAS,22,F-G,75,75,100,5.5,12.1,45.7,46.1,-0.5,31.9,0.8,0.1,0.01
Bradley Beal,WAS,29,G,40,40,100,5.5,12.1,45.5,46.0,-0.5,36.0,0.9,0.3,0.17
Tyrese Maxey,PHI,21,G,75,75,100,5.5,12.1,45.5,44.9,0.6,35.3,0.7,0.2,0
Zach Collins,SAS,24,F-C,28,28,100,5.7,12.1,47.3,48.6,-1.2,17.9,0.5,0.2,0
Kyle Lowry,MIA,36,G,63,63,100,6.0,12.0,50.1,46.1,4.0,33.9,1.1,0.2,0.4
Tyrese Haliburton,IND,22,G,76,76,100,6.0,12.0,50.3,44.8,5.5,35.0,1.7,0.5,0
