Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Rudy Gobert,UTA,28,C,68,68,46.1,4.8,10.5,45.7,58.1,-12.4,34.3,1.2
Hassan Whiteside,POR,31,C,66,66,54.9,4.9,9.9,48.9,59.4,-10.5,30.0,2.1
Andre Drummond,CLE,26,C,56,56,53.3,5.7,9.7,58.7,59.1,-0.4,32.9,1.0
Nikola Jokic,DEN,25,C,73,72,55.6,5.4,9.6,56.2,60.3,-4.1,32.0,0.4
Deandre Ayton,PHX,21,C,38,38,44.6,4.6,9.2,50.0,57.9,-7.9,32.5,0.9
Clint Capela,ATL,26,C,39,39,53.7,5.2,9.1,57.1,59.3,-2.2,32.8,1.3
Domantas Sabonis,IND,24,F-C,62,62,51.4,4.7,9.0,52.4,57.9,-5.5,34.8,0.3
Nikola Vucevic,ORL,29,C,62,62,49.8,5.0,9.0,55.6,58.5,-2.8,32.2,0.4
Karl-Anthony Towns,MIN,24,C-F,35,35,44.6,4.8,8.8,55.0,59.5,-4.4,33.9,0.7
Myles Turner,IND,24,C-F,62,62,57.7,4.7,8.7,53.9,59.5,-5.6,29.5,1.6
John Collins,ATL,22,F,41,41,50.6,4.8,8.6,55.7,57.1,-1.4,33.2,1.1
Brook Lopez,MIL,32,C,67,67,43.5,3.8,8.5,44.4,58.3,-13.9,26.7,1.6
Joel Embiid,PHI,26,C-F,51,51,47.6,4.5,8.5,53.5,58.6,-5.2,29.5,0.8
James Harden,HOU,30,G,68,68,48.9,4.5,8.2,55.1,57.5,-2.3,36.5,0.3
Kristaps Porzingis,DAL,24,F-C,56,56,48.0,3.9,8.2,48.1,58.0,-9.8,31.8,1.3
Jarrett Allen,BKN,22,C,70,69,49.7,4.1,8.1,49.8,57.7,-7.9,26.5,1.0
Wendell Carter Jr.,CHI,21,C-F,43,43,69.2,4.3,8.1,53.5,59.3,-5.8,29.2,0.5
Richaun Holmes,SAC,26,F,44,44,57.1,4.5,8.0,56.0,58.7,-2.8,28.2,0.8
Daniel Theis,BOS,28,F-C,65,65,54.2,4.2,7.9,52.6,58.2,-5.6,24.1,0.8
LaMarcus Aldridge,SAS,34,C-F,52,52,45.4,4.0,7.9,50.6,58.5,-7.9,33.1,0.9
Jusuf Nurkic,POR,25,C,8,8,47.0,4.9,7.8,62.9,57.6,5.3,31.6,0.5
Kevin Love,CLE,31,F-C,56,56,55.3,4.7,7.7,60.7,57.6,3.1,31.8,0.2
Serge Ibaka,TOR,30,F,55,55,51.3,3.8,7.7,48.9,57.4,-8.4,27.0,0.6
Steven Adams,OKC,26,C,62,61,47.7,4.1,7.6,54.0,59.0,-4.9,26.7,0.6
Jaren Jackson Jr.,MEM,20,F-C,57,57,52.0,3.8,7.3,51.1,58.1,-7.0,28.5,1.2
Marc Gasol,TOR,35,C,44,44,53.4,4.1,7.3,56.0,58.2,-2.2,26.4,0.6
P.J. Washington,CHA,21,F,57,57,54.6,4.2,7.3,56.9,57.8,-0.8,30.3,0.5
Al Horford,PHI,34,C-F,67,67,47.0,4.3,7.3,58.3,58.2,0.1,30.2,0.5
Jonas Valanciunas,MEM,28,C,70,70,46.1,3.8,7.3,52.3,58.7,-6.5,26.4,0.7
Lauri Markkanen,CHI,23,F-C,50,50,56.0,4.0,7.2,55.0,57.6,-2.6,29.8,0.2
Tristan Thompson,CLE,29,C-F,57,57,48.6,3.6,7.2,49.9,58.3,-8.4,30.2,0.6
Cody Zeller,CHA,27,F-C,57,57,58.4,4.2,7.2,57.9,58.9,-0.9,23.1,0.3
Pascal Siakam,TOR,26,F,60,60,43.0,4.0,7.1,56.2,57.9,-1.7,35.2,0.5
Thomas Bryant,WAS,22,C-F,46,46,54.4,4.1,7.0,57.7,57.0,0.7,24.9,0.7
Davis Bertans,WAS,27,F,54,54,54.5,3.9,7.0,55.9,57.4,-1.4,29.3,0.4
Dwight Powell,DAL,28,F-C,39,39,47.8,3.8,7.0,54.6,58.7,-4.1,26.5,0.3
Jrue Holiday,NOP,30,G,61,61,46.2,3.9,6.9,56.6,57.1,-0.5,34.7,0.4
Nemanja Bjelica,SAC,32,F,72,71,50.1,4.2,6.9,60.8,58.6,2.2,27.9,0.4
Lonzo Ball,NOP,22,G,63,63,51.3,3.9,6.9,56.8,56.2,0.6,32.1,0.3
P.J. Tucker,HOU,35,F,71,71,46.1,3.7,6.8,54.2,57.8,-3.6,34.3,0.2
Maxi Kleber,DAL,28,F,73,71,52.1,3.6,6.8,52.5,57.6,-5.1,25.5,0.8
Trae Young,ATL,21,G,60,60,53.6,4.2,6.8,61.3,54.6,6.7,35.3,0.1
Darius Garland,CLE,20,G,59,59,55.4,4.3,6.6,64.9,55.4,9.5,30.9,0.1
Bam Adebayo,MIA,22,C-F,71,71,44.5,3.5,6.6,53.2,58.1,-4.9,33.6,0.8
Derrick Favors,NOP,28,F,51,51,47.6,3.3,6.5,50.9,58.8,-7.9,24.4,0.7
Montrezl Harrell,LAC,26,F-C,63,63,40.3,3.4,6.5,52.1,58.2,-6.1,27.8,0.7
CJ McCollum,POR,28,G,69,69,45.0,3.5,6.5,53.8,56.4,-2.6,36.5,0.3
Aron Baynes,PHX,33,C-F,41,40,50.7,3.7,6.5,57.7,58.8,-1.1,22.2,0.5
Rui Hachimura,WAS,22,F,48,48,53.9,4.0,6.4,62.8,57.6,5.1,30.1,0.1
Shai Gilgeous-Alexander,OKC,21,G-F,70,69,51.3,3.8,6.4,58.7,56.2,2.4,34.7,0.3
Skal Labissiere,ATL,24,F-C,33,33,58.7,3.2,6.4,49.5,58.4,-8.9,17.2,0.6
Miles Bridges,CHA,22,F,64,64,48.8,3.7,6.4,57.8,58.1,-0.2,30.7,0.4
Marvin Bagley III,SAC,21,F,13,13,53.2,3.8,6.4,59.0,59.4,-0.4,25.7,0.5
Jakob Poeltl,SAS,24,C,65,65,57.1,3.1,6.3,50.4,58.8,-8.4,17.7,1.0
Ivica Zubac,LAC,23,C,72,72,49.0,2.8,6.3,45.1,59.3,-14.2,18.4,0.6
Ian Mahinmi,WAS,33,C,38,38,57.9,3.4,6.2,54.4,57.6,-3.1,21.3,0.6
Anthony Davis,LAL,27,F-C,62,62,43.7,3.0,6.2,47.9,57.9,-10.0,34.4,1.2
Josh Hart,NOP,25,G,65,65,53.2,3.5,6.2,55.9,57.4,-1.4,27.0,0.3
