Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Rudy Gobert,UTA,25,C,81,81,64.9,4.6,10.3,44.4,56.6,-12.2,33.9,1.9
Myles Turner,IND,21,C,80,80,67.1,4.8,9.7,49.9,56.2,-6.3,31.4,1.7
Robin Lopez,CHI,29,C,81,80,61.7,4.8,9.4,51.4,56.9,-5.6,28.0,1.2
Kristaps Porzingis,NYK,21,F,66,66,53.0,4.5,8.9,50.1,56.3,-6.2,32.8,1.5
Marcin Gortat,WAS,33,C,82,82,62.1,5.0,8.9,56.0,56.3,-0.3,31.2,0.6
Nikola Jokic,DEN,22,F-C,72,72,60.8,5.3,8.8,60.3,57.7,2.6,27.9,0.6
Hassan Whiteside,MIA,28,C,77,77,66.0,4.1,8.6,48.4,56.5,-8.1,32.6,1.5
Clint Capela,HOU,23,C,65,65,65.7,4.5,8.2,54.4,56.2,-1.8,23.9,0.8
Gorgui Dieng,MIN,27,F-C,82,82,58.1,4.7,8.2,56.7,55.9,0.8,32.4,0.9
Joel Embiid,PHI,23,C,31,31,61.8,3.5,8.2,42.5,56.5,-14.0,25.4,1.5
Edy Tavares,CLE,25,C,2,2,84.2,3.5,8.0,43.8,48.0,-4.3,14.0,1.5
Karl-Anthony Towns,MIN,21,C,82,82,52.2,4.4,7.8,56.1,56.5,-0.4,37.0,0.8
Draymond Green,GSW,27,F,76,76,49.0,3.7,7.8,47.1,56.2,-9.1,32.5,0.9
Nikola Vucevic,ORL,26,C,75,75,61.4,4.1,7.8,53.0,55.8,-2.8,28.8,0.5
Tristan Thompson,CLE,26,C,78,77,52.1,3.9,7.7,49.9,56.0,-6.1,30.0,0.9
DeMarcus Cousins,NOP,26,F-C,72,72,53.9,3.8,7.5,50.5,57.0,-6.6,34.2,0.8
Al Horford,BOS,31,C,68,68,51.0,4.1,7.5,55.4,55.8,-0.4,32.2,0.8
Paul Millsap,ATL,32,F,69,69,46.3,4.2,7.4,57.0,56.4,0.6,34.0,0.8
Anthony Davis,NOP,24,F-C,75,74,51.5,3.6,7.4,49.2,57.3,-8.1,36.1,1.4
DeAndre Jordan,LAC,28,C,81,81,52.0,3.7,7.3,50.9,56.7,-5.7,31.7,1.2
Mason Plumlee,DEN,27,C,81,81,61.0,3.7,7.3,51.1,56.8,-5.7,26.5,0.9
Pau Gasol,SAS,36,C,63,63,62.9,3.7,7.2,50.9,57.1,-6.2,25.4,0.8
Kevin Love,CLE,28,F,60,59,52.6,4.0,7.1,55.7,56.5,-0.8,31.4,0.2
Steven Adams,OKC,23,C,80,80,51.5,3.9,7.1,55.2,56.3,-1.0,29.9,0.7
Jonas Valanciunas,TOR,25,C,79,79,66.6,3.8,7.0,53.7,56.8,-3.1,25.8,0.5
Marc Gasol,MEM,32,C,74,74,60.5,3.5,6.9,51.3,56.8,-5.5,34.2,0.9
Alex Len,PHX,24,C,75,74,61.7,3.5,6.9,50.0,56.3,-6.3,20.3,0.9
Tyson Chandler,PHX,34,C,45,44,59.8,3.7,6.9,53.7,57.2,-3.5,27.6,0.3
Jusuf Nurkic,POR,22,C,63,63,65.5,3.6,6.8,53.1,56.6,-3.5,21.4,0.8
Serge Ibaka,TOR,27,F,79,78,52.9,3.7,6.8,53.7,55.8,-2.1,30.7,1.2
Cody Zeller,CHA,24,C,62,62,65.7,3.6,6.7,53.6,56.4,-2.8,27.8,0.7
Brook Lopez,BKN,29,C,75,74,49.3,3.3,6.6,49.2,56.5,-7.3,29.6,1.1
Ivica Zubac,LAL,20,C,36,33,64.9,3.6,6.6,54.9,57.8,-3.0,16.0,0.7
