Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Nikola Jokic,DEN,27,C,74,74,50.8,6.2,10.8,57.2,60.0,-2.9,33.5,0.4
Jakob Poeltl,SAS,26,C,68,68,55.3,5.6,10.7,52.6,59.5,-6.9,29.0,1.1
Nikola Vucevic,CHI,31,C,73,73,51.6,6.1,10.3,58.8,59.7,-1.0,33.1,0.7
Joel Embiid,PHI,28,C-F,68,68,52.0,5.4,9.9,54.7,60.1,-5.4,33.8,0.9
Evan Mobley,CLE,21,C,69,69,56.3,4.9,9.8,50.1,59.1,-9.0,33.8,1.2
Rudy Gobert,UTA,30,C,66,66,45.8,4.6,9.5,48.6,59.6,-11.0,32.1,1.1
Jarrett Allen,CLE,24,C,56,56,54.4,4.1,8.6,47.7,59.4,-11.7,32.3,1.1
Anthony Davis,LAL,29,F-C,40,40,50.0,4.5,8.5,52.8,58.5,-5.7,35.1,1.2
Frank Kaminsky,PHX,29,F-C,9,9,56.1,4.1,8.2,50.0,56.3,-6.3,20.1,0.4
Domantas Sabonis,SAC,26,F-C,62,62,52.4,4.7,8.2,57.5,59.4,-1.9,34.5,0.3
Scottie Barnes,TOR,20,F,74,74,50.6,4.6,8.2,56.5,58.4,-1.8,35.4,0.4
Myles Turner,IND,26,C-F,42,41,56.4,4.2,7.8,53.2,60.4,-7.2,29.4,1.7
Pascal Siakam,TOR,28,F,68,68,47.9,4.3,7.8,55.6,58.5,-3.0,37.9,0.4
Mason Plumlee,CHA,32,F-C,72,72,54.0,4.4,7.7,57.7,60.0,-2.4,24.6,0.3
Jusuf Nurkic,POR,27,C,56,56,55.3,4.4,7.6,57.0,60.1,-3.0,28.2,0.4
Ivica Zubac,LAC,25,C,76,76,47.8,4.0,7.6,53.0,59.7,-6.7,24.4,0.7
Cade Cunningham,DET,20,G,64,64,51.8,4.2,7.5,56.3,59.2,-2.9,32.6,0.4
Zavier Simpson,OKC,25,G,4,4,40.5,3.8,7.5,50.0,57.6,-7.6,43.5,0.5
Jonas Valanciunas,NOP,30,C,74,74,45.2,4.4,7.5,58.6,60.9,-2.3,30.3,0.4
Steven Adams,MEM,28,C,76,76,51.9,4.2,7.3,58.2,60.3,-2.1,26.3,0.5
Deandre Ayton,PHX,23,C,58,58,44.6,4.0,7.3,54.6,59.7,-5.1,29.5,0.2
Karl-Anthony Towns,MIN,26,C-F,74,73,48.2,4.1,7.2,57.1,60.0,-2.9,33.5,0.6
Fred VanVleet,TOR,28,G,65,65,50.3,3.9,7.2,54.8,57.2,-2.4,37.9,0.2
Lauri Markkanen,CLE,25,F-C,61,61,52.8,4.1,7.2,57.8,58.9,-1.1,30.8,0.3
Kristaps Porzingis,WAS,26,F-C,51,51,49.0,3.8,7.1,53.2,59.6,-6.5,29.0,0.7
Buddy Hield,IND,29,G,80,80,53.9,4.3,7.0,61.2,57.7,3.5,30.9,0.1
Clint Capela,ATL,28,C,74,74,49.8,4.0,7.0,57.0,60.1,-3.1,27.6,0.9
Christian Wood,HOU,26,F,68,68,43.0,4.1,7.0,58.4,59.5,-1.2,30.8,0.6
Mac McClung,LAL,23,G,1,1,70.0,6.0,7.0,85.7,56.9,28.8,NaN,NaN
Dejounte Murray,SAS,25,G,68,68,53.8,4.1,6.9,58.7,58.8,-0.1,34.8,0.2
Lonzo Ball,CHI,24,G,35,35,47.6,3.7,6.9,53.9,57.7,-3.7,34.6,0.5
Luka Doncic,DAL,23,F-G,65,65,49.4,4.1,6.9,59.2,58.2,0.9,35.4,0.3
Miles Bridges,CHA,24,F,79,79,43.3,3.9,6.9,56.8,59.1,-2.2,35.5,0.6
Alperen Sengun,HOU,19,C,72,71,56.2,4.1,6.8,60.2,58.8,1.4,20.7,0.5
Jaylen Hoard,OKC,23,F,6,6,46.1,3.8,6.8,56.1,56.0,0.1,34.3,0.3
Isaiah Stewart,DET,21,F-C,71,70,47.4,3.4,6.8,50.3,59.9,-9.6,25.6,0.7
Wendell Carter Jr.,ORL,23,C-F,62,62,46.2,3.4,6.8,49.8,59.9,-10.1,29.9,0.4
Derrick Walton Jr.,DET,27,G,3,3,48.8,2.0,6.7,30.0,54.6,-24.6,36.0,1.0
Kyle Kuzma,WAS,26,F,66,66,53.8,3.4,6.6,51.3,57.5,-6.2,33.4,0.4
