Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Frank Jackson,DET,23,G,35,35,100,2.5,6.1,41.3,44.3,-3.0,18.4,0.4,0.0,0
Bryn Forbes,MIL,27,G,68,68,100,3.1,6.1,51.3,45.0,6.3,19.3,0.3,0.0,0
Mike Scott,PHI,32,F,49,49,100,2.9,6.1,47.8,46.8,1.0,16.7,0.5,0.1,0
Furkan Korkmaz,PHI,23,G-F,54,54,100,2.9,6.1,47.1,45.3,1.8,19.3,0.9,0.1,0.05
Abdel Nader,PHX,27,F,20,20,100,2.9,6.0,47.9,45.6,2.3,14.8,0.4,0.1,0
Terence Davis,SAC,24,G,59,59,100,3.2,6.0,52.5,45.8,6.8,17.6,0.7,0.1,0.02
Aaron Nesmith,BOS,21,G-F,38,38,100,2.7,6.0,45.4,45.8,-0.4,14.5,0.3,0.1,0.02
Kira Lewis Jr.,NOP,20,G,49,49,100,2.6,6.0,44.2,43.8,0.4,16.7,0.7,0.2,0.11
Anzejs Pasecniks,WAS,25,C-F,1,1,100,4.0,6.0,66.7,46.9,19.7,NaN,NaN,NaN,NaN
Romeo Langford,BOS,21,G-F,17,17,100,2.2,6.0,36.3,45.6,-9.3,15.7,0.3,0.2,0.22
Semi Ojeleye,BOS,26,F,55,55,100,2.8,6.0,45.8,46.8,-1.0,17.0,0.3,0,0.12
Devin Vassell,SAS,20,G-F,61,61,100,3.0,5.9,51.1,45.9,5.2,17.0,0.7,0.1,0
Dewayne Dedmon,MIA,31,C,16,16,100,2.9,5.9,50.0,46.8,3.2,13.1,0.6,0.1,0.06
Boban Marjanovic,DAL,32,C,30,30,100,2.8,5.9,47.7,49.9,-2.1,8.2,0.1,0.0,0
Jarrett Culver,MIN,22,G-F,33,33,100,2.5,5.8,42.0,44.9,-3.0,14.7,0.5,0.1,0.03
Ben McLemore,LAL,28,G,47,47,100,2.7,5.8,46.2,45.5,0.7,17.1,0.4,0.0,0.02
Luka Samanic,SAS,21,F,27,27,100,2.2,5.8,38.0,45.8,-7.8,9.3,0.2,0.2,0
Rodney Hood,TOR,28,G-F,48,48,100,2.8,5.8,47.3,46.0,1.3,17.1,0.4,0.1,0.09
Anderson Varejao,CLE,38,F,5,5,100,2.8,5.8,48.3,51.0,-2.7,NaN,NaN,NaN,NaN
E'Twaun Moore,PHX,32,G,26,26,100,2.6,5.8,45.3,45.1,0.3,14.4,0.6,0.1,0
Thon Maker,CLE,24,F-C,8,8,100,2.6,5.8,45.7,43.1,2.6,9.5,0.2,0.0,0
Harry Giles III,POR,23,F-C,35,35,100,2.5,5.7,43.8,46.6,-2.8,9.2,0.2,0.1,0
Jordan Poole,GSW,22,G,46,46,100,2.4,5.7,42.0,44.4,-2.4,19.4,0.5,0.1,0.06
