Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Pau Gasol,CHI,34,F-C,78,78,68.3,4.8,9.9,48.6,54.6,-6.0,34.4,1.3
Tyson Chandler,DAL,32,C,74,74,66.3,5.0,9.7,51.0,54.2,-3.3,30.5,0.7
DeMarcus Cousins,SAC,24,C,59,59,65.7,4.7,9.6,48.6,54.5,-5.9,34.1,1.0
Brook Lopez,BKN,27,C,72,72,63.8,4.7,9.2,51.1,54.3,-3.3,29.2,1.3
Gorgui Dieng,MIN,25,C,72,72,67.8,5.2,9.0,57.4,54.2,3.2,30.0,1.4
DeAndre Jordan,LAC,26,C,82,82,60.8,4.5,9.0,49.7,54.3,-4.6,34.4,1.4
Serge Ibaka,OKC,25,F,64,64,56.0,3.8,8.7,43.5,54.4,-10.9,33.1,2.1
Robin Lopez,POR,27,C,59,59,66.6,4.3,8.7,49.4,54.7,-5.3,27.8,1.0
Tim Duncan,SAS,39,F,77,77,64.9,4.1,8.5,48.5,54.9,-6.3,28.9,1.5
Marcin Gortat,WAS,31,C,82,82,62.3,4.0,8.5,47.3,54.1,-6.8,29.9,0.9
Jordan Hill,LAL,27,C,70,69,67.8,5.0,8.5,59.4,55.1,4.3,26.8,0.6
Andre Drummond,DET,21,C,82,82,65.4,4.2,8.4,50.4,54.0,-3.7,30.5,1.1
Nerlens Noel,PHI,21,C-F,75,75,64.8,4.0,8.2,48.9,54.6,-5.7,30.8,1.3
Rudy Gobert,UTA,23,C,82,81,71.2,3.7,8.2,45.5,54.1,-8.6,26.3,1.2
Omer Asik,NOP,28,C,76,76,67.7,4.5,8.2,55.8,55.1,0.7,26.1,0.6
Marc Gasol,MEM,30,C,81,81,67.3,4.0,8.2,48.5,54.4,-5.9,33.2,0.9
Timofey Mozgov,CLE,28,C,81,81,61.8,3.9,8.1,48.7,54.0,-5.3,25.3,0.9
Kevin Love,CLE,26,F,74,74,58.5,4.2,8.0,52.8,54.2,-1.4,33.8,0.3
Nikola Vucevic,ORL,24,C,74,74,57.7,4.3,8.0,54.1,53.8,0.2,34.2,0.4
Jonas Valanciunas,TOR,23,C,80,80,70.4,3.9,8.0,49.1,54.1,-5.0,26.2,0.9
Alex Len,PHX,22,C,69,69,72.9,3.9,7.9,48.7,54.1,-5.4,22.0,1.0
Anthony Davis,NOP,22,F-C,68,68,54.4,3.8,7.9,48.6,54.4,-5.8,36.1,1.5
Al Jefferson,CHA,30,C,65,65,60.8,4.1,7.7,53.4,54.4,-1.0,30.6,0.6
Paul Millsap,ATL,30,F,73,73,54.7,4.3,7.7,56.4,54.2,2.3,32.7,0.8
Derrick Favors,UTA,23,F,74,74,58.9,3.3,7.5,44.0,54.3,-10.3,30.8,1.1
Terrence Jones,HOU,23,F,33,33,57.2,3.7,7.5,49.0,54.0,-5.0,26.9,1.1
Roy Hibbert,IND,28,C,76,76,68.2,3.3,7.5,43.5,53.8,-10.3,25.4,1.2
Hassan Whiteside,MIA,26,C,45,45,75.6,3.4,7.3,45.9,53.0,-7.1,23.8,1.5
Andrew Bogut,GSW,30,C,67,67,66.9,3.0,7.3,41.8,54.7,-12.9,23.6,1.3
Tyler Zeller,BOS,25,C-F,82,82,69.5,3.5,7.3,48.7,54.2,-5.5,21.1,0.4
Greg Monroe,DET,25,F-C,69,69,57.0,4.0,7.3,54.8,54.4,0.4,31.0,0.4
Dwight Howard,HOU,29,C,40,40,63.5,3.5,7.3,48.3,53.8,-5.5,29.8,0.7
Chris Bosh,MIA,31,C,44,44,52.5,3.9,7.0,55.8,54.6,1.2,35.4,0.4
Nikola Pekovic,MIN,29,C,30,30,65.1,3.8,7.0,54.1,54.2,-0.1,26.3,0.3
Steven Adams,OKC,21,C,70,70,59.1,3.4,6.8,49.7,54.5,-4.8,25.3,0.9
Al Horford,ATL,29,C-F,76,76,58.4,3.3,6.8,48.2,53.5,-5.3,30.5,0.8
LaMarcus Aldridge,POR,29,F,71,71,48.7,3.3,6.8,49.1,54.3,-5.2,35.4,0.7
Amir Johnson,TOR,28,F,75,75,61.0,3.5,6.8,51.2,54.0,-2.8,26.4,0.6
Josh Smith,HOU,29,F,83,82,53.3,3.0,6.7,44.4,54.4,-10.0,27.7,1.0
Anderson Varejao,CLE,32,C,26,26,56.0,3.9,6.7,59.0,55.2,3.7,24.5,0.5
Tristan Thompson,CLE,24,C-F,81,81,59.1,3.5,6.6,52.8,54.1,-1.4,26.8,0.5
Donatas Motiejunas,HOU,24,F-C,70,70,56.1,3.4,6.6,52.1,54.3,-2.3,28.7,0.3
Draymond Green,GSW,25,F,79,79,47.2,3.0,6.6,45.7,54.1,-8.4,31.5,0.7
Joakim Noah,CHI,30,C,67,67,46.7,3.1,6.5,47.7,54.8,-7.1,30.6,0.8
Enes Freedom,OKC,23,C,75,75,53.9,3.6,6.4,56.5,54.7,1.9,NaN,NaN
Larry Sanders,MIL,26,C,27,27,65.5,3.3,6.4,50.9,54.6,-3.7,21.7,1.1
Jared Sullinger,BOS,23,F,58,58,59.5,3.4,6.4,52.8,53.4,-0.5,27.0,0.4
Mason Plumlee,BKN,25,C-F,78,77,69.0,3.5,6.3,56.2,54.7,1.5,21.3,0.7
Lou Amundson,NYK,32,F,49,47,72.5,3.2,6.3,51.6,54.7,-3.1,17.7,0.7
John Henson,MIL,24,C-F,66,65,69.4,3.1,6.2,49.4,53.5,-4.1,18.3,1.5
Blake Griffin,LAC,26,F,67,66,46.6,3.5,6.2,56.8,55.3,1.5,35.2,0.4
Zaza Pachulia,MIL,31,C,72,71,62.2,3.1,6.1,50.9,54.0,-3.1,23.7,0.2
Justin Hamilton,MIN,25,C,39,37,71.2,3.2,6.1,52.3,54.8,-2.5,17.4,0.6
Miles Plumlee,MIL,26,C-F,71,70,73.3,3.2,6.1,52.2,53.8,-1.6,16.4,0.7
Channing Frye,ORL,32,F,75,74,50.2,3.6,6.0,60.1,54.2,5.9,24.9,0.4
Chris Kaman,POR,33,C,74,74,68.5,3.1,6.0,52.7,54.2,-1.5,18.9,0.6
Jusuf Nurkic,DEN,20,C,62,61,69.8,3.0,5.9,49.7,54.0,-4.2,17.8,0.6
Zach Randolph,MEM,33,F,71,70,52.0,3.5,5.9,58.1,54.5,3.6,32.5,0.1
Ian Mahinmi,IND,28,C,60,60,67.0,2.9,5.9,49.4,53.1,-3.6,18.8,0.6
Ryan Anderson,NOP,27,F,61,61,59.2,3.3,5.8,55.7,54.4,1.4,27.5,0.2
Ed Davis,LAL,26,F,79,77,57.6,3.1,5.8,53.8,54.5,-0.7,23.3,0.9
Markieff Morris,PHX,25,F,82,82,52.9,3.1,5.8,53.7,54.3,-0.7,31.5,0.3
Samuel Dalembert,NYK,35,C,32,32,73.1,2.6,5.8,44.9,54.6,-9.7,17.0,1.0
Amar'e Stoudemire,DAL,32,C-F,58,58,65.9,2.8,5.7,48.8,55.0,-6.2,21.1,0.5
Chris Andersen,MIA,36,F-C,57,57,72.7,3.2,5.7,57.1,54.6,2.6,18.9,0.9
Kelly Olynyk,BOS,24,C-F,64,64,55.0,2.9,5.6,52.1,53.5,-1.4,22.2,0.4
Kenneth Faried,DEN,25,F,75,73,49.1,3.1,5.6,55.8,54.1,1.7,27.8,0.6
Dirk Nowitzki,DAL,37,F,77,76,49.4,3.1,5.6,55.6,54.8,0.8,29.6,0.3
Andrea Bargnani,NYK,29,C-F,29,29,54.6,3.2,5.5,57.1,53.9,3.2,27.1,0.6
Cole Aldrich,NYK,26,C,58,58,67.0,2.9,5.5,52.4,53.9,-1.5,16.3,0.8
Brandan Wright,PHX,27,F,75,75,66.3,2.7,5.5,49.3,53.6,-4.4,19.3,0.8
Thaddeus Young,BKN,27,F,75,73,47.7,3.4,5.5,61.4,54.0,7.4,32.0,0.2
Tiago Splitter,SAS,30,C,52,51,60.3,2.8,5.4,51.6,54.6,-3.0,19.8,0.4
Adreian Payne,MIN,24,F-C,32,31,59.4,3.4,5.3,63.7,55.0,8.7,23.1,0.2
Luc Mbah a Moute,PHI,28,F,67,67,49.6,2.7,5.3,50.0,53.8,-3.8,28.6,0.2
Cody Zeller,CHA,22,F-C,62,61,52.3,2.5,5.2,48.3,54.0,-5.7,24.0,0.6
Alexis Ajinca,NOP,27,C,62,60,70.2,2.6,5.2,50.5,53.7,-3.3,14.1,0.5
Jason Thompson,SAC,28,F,81,79,54.9,2.7,5.2,53.2,54.9,-1.7,24.6,0.4
Taj Gibson,CHI,30,F,62,62,46.2,2.3,5.1,44.5,54.5,-10.0,27.3,0.8
Bismack Biyombo,CHA,22,C-F,64,62,68.9,2.5,5.1,49.4,54.1,-4.7,19.4,1.1
