Team,DEF,RDEF
GSW,100.4,41.6
ATL,102.3,39.4
HOU,102.6,44.1
LAC,104.7,38.8
MEM,101.2,39.0
SAS,101.4,42.5
CLE,105.3,42.7
POR,102.8,43.1
CHI,103.3,40.8
DAL,104.9,40.9
TOR,107.1,43.7
WAS,102.4,38.3
NOP,106.3,46.5
OKC,104.6,42.8
MIL,101.4,39.8
BOS,103.5,44.6
PHX,105.3,45.3
BKN,106.3,43.6
IND,102.7,38.3
UTA,104.1,39.5
MIA,106.1,41.0
CHA,103.0,38.5
DET,105.4,43.0
DEN,107.1,42.9
SAC,108.2,43.9
ORL,106.8,41.0
LAL,109.4,45.1
PHI,103.9,41.7
NYK,109.0,41.1
MIN,110.9,48.0
