Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Deandre Ayton,PHX,21,C,38,38,48.7,3.4,10.0,33.7,37.5,-3.8,32.5,0.7,0.6,0
Rudy Gobert,UTA,28,C,68,68,39.8,3.3,9.1,36.2,37.3,-1.1,34.3,0.8,0.7,0
Karl-Anthony Towns,MIN,24,C-F,35,35,44.0,3.8,8.7,43.6,37.4,6.1,33.9,0.9,0.5,0.09
Brook Lopez,MIL,32,C,67,67,42.8,3.3,8.4,39.4,36.2,3.2,26.7,0.7,0.8,0
Pascal Siakam,TOR,26,F,60,60,47.9,2.5,7.9,32.1,36.7,-4.6,35.2,1.0,0.4,0.02
Kristaps Porzingis,DAL,24,F-C,56,56,44.7,3.0,7.6,38.7,37.1,1.6,31.8,0.7,0.7,0
Montrezl Harrell,LAC,26,F-C,63,63,45.0,2.6,7.3,35.1,36.4,-1.3,27.8,0.6,0.4,0.48
James Harden,HOU,30,G,68,68,42.8,2.5,7.1,35.5,36.5,-1.1,36.5,1.8,0.5,0.12
Domantas Sabonis,IND,24,F-C,62,62,40.5,2.7,7.1,37.6,36.6,1.0,34.8,0.8,0.2,0
Zach Collins,POR,22,F-C,11,11,47.0,2.8,7.1,39.7,37.2,2.5,26.4,0.5,0.1,0
John Collins,ATL,22,F,41,41,41.5,2.4,7.0,33.6,36.4,-2.9,33.2,0.8,0.5,0
Jusuf Nurkic,POR,25,C,8,8,42.4,3.0,7.0,42.9,37.9,5.0,31.6,1.4,1.5,0
Jrue Holiday,NOP,30,G,61,61,46.2,2.4,6.9,34.4,37.4,-3.0,34.7,1.6,0.4,0.02
Anthony Davis,LAL,27,F-C,62,62,48.2,2.3,6.9,33.1,37.6,-4.5,34.4,1.5,1.1,0.21
Joel Embiid,PHI,26,C-F,51,49,38.4,2.5,6.9,37.1,36.6,0.5,29.5,0.9,0.5,0.1
Bam Adebayo,MIA,22,C-F,71,70,46.2,2.5,6.8,36.4,36.7,-0.3,33.6,1.1,0.5,0.01
LaMarcus Aldridge,SAS,34,C-F,52,52,39.1,2.5,6.8,36.7,36.9,-0.2,33.1,0.7,0.8,0
Fred VanVleet,TOR,26,G,54,54,47.8,2.2,6.8,32.9,37.1,-4.3,35.7,1.9,0.2,0.02
Nikola Vucevic,ORL,29,C,62,62,37.4,2.8,6.8,41.9,37.2,4.7,32.2,0.9,0.4,0
Jaylen Brown,BOS,23,G-F,57,56,51.7,2.4,6.8,35.8,36.9,-1.1,33.9,1.1,0.2,0
P.J. Tucker,HOU,35,F,71,71,45.6,2.5,6.8,37.7,36.7,1.0,34.3,1.1,0.3,0.32
Andre Drummond,CLE,26,C,56,54,37.2,2.9,6.8,42.6,37.2,5.4,32.9,1.9,0.6,0.02
Justise Winslow,MEM,24,F-G,11,11,61.2,2.3,6.7,33.8,36.8,-3.0,32.0,0.6,0.2,0.18
Dwight Powell,DAL,28,F-C,39,39,45.0,2.5,6.5,38.4,37.4,1.1,26.5,0.8,0.2,0.07
Steven Adams,OKC,26,C,62,60,41.0,2.8,6.5,42.3,37.4,4.9,26.7,0.8,0.5,0.05
Bradley Beal,WAS,27,G,57,57,52.3,2.4,6.5,37.2,36.8,0.4,36.0,1.2,0.2,0.23
De'Aaron Fox,SAC,22,G,51,51,53.4,2.5,6.5,39.3,37.6,1.7,32.0,1.5,0.2,0.02
Kyle Lowry,TOR,34,G,58,58,48.9,2.2,6.4,33.5,36.7,-3.2,36.2,1.4,0.2,0.59
Draymond Green,GSW,30,F,43,43,48.6,2.3,6.3,35.7,36.7,-1.1,28.4,1.4,0.6,0.19
Al Horford,PHI,34,C-F,67,67,40.8,2.2,6.3,35.1,35.9,-0.8,30.2,0.8,0.4,0
CJ McCollum,POR,28,G,69,68,43.7,2.3,6.3,36.6,37.0,-0.5,36.5,0.8,0.3,0.01
Zion Williamson,NOP,19,F,24,23,52.6,2.2,6.3,35.1,36.8,-1.7,27.8,0.7,0.2,0.04
Jimmy Butler,MIA,30,F,58,58,53.4,2.0,6.2,31.6,36.8,-5.2,33.8,1.8,0.3,0.02
Tristan Thompson,CLE,29,C-F,57,55,42.0,2.4,6.2,37.9,37.0,0.8,30.2,0.6,0.3,0
Dillon Brooks,MEM,24,G-F,73,73,52.3,2.3,6.1,37.1,37.4,-0.3,28.9,0.9,0.2,0.04
DeAndre Jordan,BKN,31,C,56,56,45.2,2.2,6.0,36.9,35.7,1.1,22.0,0.3,0.4,0.02
Jarrett Allen,BKN,22,C,70,69,36.8,2.5,6.0,41.5,37.4,4.0,26.5,0.6,0.3,0.01
Hassan Whiteside,POR,31,C,66,64,33.2,2.5,6.0,41.6,37.0,4.5,30.0,0.4,0.8,0.06
Marcus Smart,BOS,26,G,60,60,52.7,2.1,6.0,35.1,37.4,-2.3,32.0,1.7,0.2,0.18
Collin Sexton,CLE,21,G,65,65,48.9,2.3,5.9,39.0,37.3,1.7,33.0,1.0,0.0,0.02
Serge Ibaka,TOR,30,F,55,53,39.2,1.9,5.9,32.3,36.6,-4.3,27.0,0.5,0.2,0
Nemanja Bjelica,SAC,32,F,72,71,42.7,2.2,5.9,36.7,36.8,-0.1,27.9,0.9,0.2,0
Clint Capela,ATL,26,C,39,39,34.9,2.1,5.9,36.5,37.3,-0.8,32.8,0.8,0.6,0.21
Terry Rozier,CHA,26,G,62,62,48.0,2.1,5.9,36.4,37.3,-0.8,34.3,1.0,0.1,0
Andrew Wiggins,GSW,25,F,54,54,46.5,2.4,5.9,39.9,37.3,2.7,34.4,0.8,0.7,0.02
Kemba Walker,BOS,30,G,56,56,45.4,2.2,5.9,37.4,36.8,0.5,31.1,0.9,0.3,0.32
Julius Randle,NYK,25,F-C,64,64,47.5,2.1,5.8,36.4,36.9,-0.5,32.5,0.8,0.1,0
Jaren Jackson Jr.,MEM,20,F-C,57,57,40.9,2.2,5.8,38.5,37.2,1.3,28.5,0.7,0.5,0
Nikola Jokic,DEN,25,C,73,71,33.4,2.2,5.8,37.5,36.9,0.6,32.0,1.2,0.2,0.07
Ben Simmons,PHI,23,G-F,57,57,44.5,2.1,5.8,36.8,37.4,-0.6,35.4,2.1,0.3,0.07
Miles Bridges,CHA,22,F,64,64,44.1,2.0,5.8,35.5,37.2,-1.6,30.7,0.6,0.3,0.03
Dorian Finney-Smith,DAL,27,F,70,69,46.1,1.9,5.8,32.3,37.4,-5.1,29.9,0.6,0.2,0.03
Harrison Barnes,SAC,28,F,72,71,50.2,2.3,5.8,40.6,36.9,3.7,34.5,0.6,0.0,0.03
Giannis Antetokounmpo,MIL,25,F,62,62,49.8,2.0,5.7,35.1,36.0,-0.9,30.4,1.0,0.4,0.03
Mitchell Robinson,NYK,22,C-F,61,60,44.8,2.3,5.7,39.4,36.4,3.1,23.1,0.9,1.0,0.02
Victor Oladipo,IND,28,G,19,19,52.4,2.1,5.7,37.0,36.9,0.1,27.8,0.9,0.0,0.53
Kawhi Leonard,LAC,29,F,57,56,49.8,1.7,5.7,29.6,36.7,-7.1,32.4,1.8,0.3,0
De'Andre Hunter,ATL,22,F-G,63,63,44.3,2.0,5.7,35.0,37.3,-2.2,32.0,0.7,0.1,0.06
Tim Hardaway Jr.,DAL,28,G-F,70,69,52.2,1.9,5.7,34.1,37.4,-3.3,29.5,0.6,0.1,0.1
Damian Lillard,POR,29,G,65,65,46.6,2.0,5.7,36.0,37.0,-1.0,37.5,1.1,0.3,0.09
Carmelo Anthony,POR,36,F,57,57,55.6,2.3,5.7,40.1,37.2,2.9,32.8,0.8,0.2,0.02
Elfrid Payton,NYK,26,G,45,45,47.6,1.9,5.6,34.0,37.1,-3.2,27.7,1.6,0.1,0
