Team,DEF,RDEF
MIL,109.9,48.8
BOS,111.0,48.5
DEN,113.6,52.8
PHI,112.2,48.0
CLE,109.8,46.1
MEM,110.2,47.2
SAC,116.4,54.1
NYK,113.9,45.8
BKN,113.6,49.6
MIA,112.9,45.8
GSW,114.0,50.0
LAC,113.3,50.6
PHX,112.6,48.1
ATL,115.3,54.1
LAL,113.2,52.5
MIN,113.4,50.5
NOP,112.0,49.4
DAL,115.8,51.0
OKC,113.0,50.4
TOR,113.5,49.5
CHI,111.6,47.0
UTA,116.2,53.3
IND,116.6,52.4
WAS,114.8,51.0
POR,117.3,52.7
ORL,114.1,48.2
CHA,114.6,52.5
SAS,119.3,56.4
HOU,118.8,48.4
DET,117.5,54.6
