Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Rudy Gobert,UTA,26,C,55,55,100,8.8,19.8,44.1,47.6,-3.5,32.4,0.8,1.1,0.02
DeMarcus Cousins,NOP,27,C,48,48,100,9.1,19.5,46.8,47.9,-1.1,36.2,1.6,0.5,0.54
Nikola Jokic,DEN,23,C,75,75,100,9.7,18.9,51.3,48.1,3.2,32.6,1.2,0.3,0.12
Anthony Davis,NOP,25,F-C,75,75,100,7.5,18.3,40.7,46.8,-6.1,36.4,1.5,1.4,0.19
Joel Embiid,PHI,24,C,62,62,100,7.6,18.2,42.0,48.1,-6.1,30.3,0.6,0.9,0.02
Karl-Anthony Towns,MIN,22,C,82,82,100,8.6,18.0,47.8,48.0,-0.3,35.6,0.8,0.7,0.16
Steven Adams,OKC,24,C,75,75,100,8.1,17.4,46.4,48.2,-1.8,32.7,1.2,0.3,0
Al Horford,BOS,32,F-C,69,69,100,7.0,17.3,40.5,46.8,-6.3,31.6,0.6,0.3,0
Nikola Vucevic,ORL,27,C,56,56,100,8.1,17.1,47.3,48.0,-0.7,29.5,1.0,0.5,0.07
Jusuf Nurkic,POR,23,C,79,79,100,7.7,16.4,46.8,48.2,-1.3,26.4,0.8,0.4,0.05
Clint Capela,HOU,24,C,73,73,100,7.6,16.3,46.6,47.4,-0.8,27.5,0.8,0.5,0.11
LaMarcus Aldridge,SAS,32,F,75,75,100,7.2,16.3,43.9,47.1,-3.2,33.5,0.6,0.5,0
Kristaps Porzingis,NYK,22,F-C,47,47,100,6.9,16.1,42.8,46.7,-3.8,32.4,0.8,0.8,0.12
Myles Turner,IND,22,C,65,65,100,7.3,15.8,46.1,48.4,-2.3,28.2,0.6,0.5,0.05
DeAndre Jordan,LAC,29,C,77,77,100,7.1,15.8,45.0,47.9,-2.9,31.5,0.5,0.2,0.01
Andre Drummond,DET,24,C,78,78,100,7.9,15.8,50.0,48.9,1.1,33.7,1.5,0.8,0.03
Jrue Holiday,NOP,28,G,81,81,100,7.0,15.6,44.5,45.2,-0.7,36.1,1.5,0.3,0.02
Dwight Howard,CHA,32,C,80,80,100,7.3,15.6,47.1,48.1,-1.0,30.4,0.6,0.7,0.01
Marc Gasol,MEM,33,C,73,73,100,6.7,15.2,44.0,48.0,-4.1,33.0,0.7,0.5,0.12
Robin Lopez,CHI,30,C,64,64,100,7.3,15.1,48.1,48.3,-0.2,26.4,0.2,0.2,0.02
Blake Griffin,DET,29,F,58,58,100,6.5,15.1,42.7,46.6,-3.9,34.0,0.7,0.1,0.19
Paul Millsap,DEN,33,F,38,38,100,6.7,14.8,45.4,47.2,-1.8,30.1,1.0,0.4,0.24
Draymond Green,GSW,28,F,70,70,100,6.4,14.8,43.5,46.6,-3.1,32.7,1.4,0.8,0.13
Kemba Walker,CHA,28,G,79,79,100,6.7,14.8,45.0,45.0,0.0,34.2,1.1,0.2,0.26
Jonas Valanciunas,TOR,26,C,77,77,100,6.7,14.7,45.8,48.1,-2.3,22.4,0.4,0.4,0.08
Enes Freedom,NYK,26,C,70,70,100,6.9,14.1,48.8,48.0,0.8,NaN,NaN,NaN,NaN
Brook Lopez,LAL,30,C,74,74,100,6.3,13.9,45.2,47.5,-2.2,23.4,0.4,0.5,0
Taj Gibson,MIN,33,F,82,82,100,6.4,13.8,46.4,46.8,-0.4,33.3,0.8,0.2,0
Tobias Harris,LAC,25,F,80,80,100,6.4,13.8,46.7,46.3,0.3,33.4,0.9,0.1,0.04
James Harden,HOU,28,G,71,71,100,6.5,13.8,46.9,45.8,1.1,35.4,1.8,0.3,0.01
Hassan Whiteside,MIA,29,C,54,54,100,6.4,13.8,46.8,49.0,-2.2,25.3,0.7,0.7,0.02
Thaddeus Young,IND,30,F,81,81,100,6.4,13.7,46.5,46.7,-0.2,32.2,1.7,0.2,0.22
John Henson,MIL,27,C,75,75,100,6.7,13.7,48.7,47.8,0.9,25.9,0.6,0.6,0.04
Marcin Gortat,WAS,34,C,82,82,100,6.5,13.6,47.8,48.1,-0.3,25.3,0.5,0.2,0.26
Andrew Wiggins,MIN,23,F,82,82,100,6.2,13.4,46.3,45.6,0.6,36.3,1.1,0.3,0.01
Derrick Favors,UTA,26,F-C,76,76,100,5.9,13.3,44.6,47.3,-2.7,28.0,0.7,0.5,0
Kevin Love,CLE,29,C-F,59,59,100,6.8,13.1,51.4,47.8,3.6,28.0,0.7,0.2,0.15
Jeremy Lin,BKN,29,G,1,1,100,10.0,13.0,76.9,46.7,30.3,NaN,NaN,NaN,NaN
Paul George,OKC,28,F,78,78,100,6.4,13.0,49.4,46.4,3.0,36.6,2.0,0.1,0.08
Lonzo Ball,LAL,20,G,52,52,100,5.7,12.9,44.1,45.6,-1.5,34.2,1.7,0.4,0
Jarrett Allen,BKN,20,C,70,70,100,5.8,12.7,45.6,47.9,-2.2,20.0,0.4,0.5,0.01
Pau Gasol,SAS,37,C,77,77,100,5.8,12.7,45.7,47.4,-1.8,23.5,0.3,0.3,0.01
John Collins,ATL,20,F-C,73,73,100,5.7,12.7,45.1,47.8,-2.7,24.1,0.6,0.3,0.03
Kevin Durant,GSW,29,F,68,68,100,5.5,12.7,43.6,46.0,-2.4,34.2,0.7,0.9,0.06
Dragan Bender,PHX,20,F,82,82,100,5.6,12.6,44.6,46.5,-1.9,25.2,0.3,0.1,0
Al-Farouq Aminu,POR,27,F,69,69,100,5.5,12.5,43.9,47.2,-3.3,30.0,1.1,0.2,0
Danilo Gallinari,LAC,29,F,21,21,100,5.5,12.4,44.4,45.8,-1.4,32.0,0.6,0.1,0.24
Dirk Nowitzki,DAL,40,C-F,77,77,100,5.8,12.4,46.9,47.7,-0.7,24.7,0.6,0.2,0
Dario Saric,PHI,24,F,76,76,100,5.7,12.4,46.2,46.1,0.1,29.6,0.7,0.0,0.03
John Wall,WAS,27,G,41,41,100,5.3,12.3,43.3,45.2,-1.9,34.4,1.4,0.3,0.1
Victor Oladipo,IND,26,G,75,75,100,5.5,12.3,44.9,44.7,0.2,34.0,2.3,0.3,0.13
Giannis Antetokounmpo,MIL,23,F,74,74,100,5.1,12.3,41.6,46.8,-5.3,36.7,1.4,0.5,0.03
Bradley Beal,WAS,25,G,82,82,100,5.7,12.2,46.6,44.9,1.7,36.3,1.2,0.3,0.04
Nikola Mirotic,NOP,27,F,55,55,100,5.4,12.2,43.9,46.2,-2.3,27.2,0.8,0.3,0.07
Julius Randle,LAL,23,F-C,82,82,100,5.4,12.2,44.3,47.0,-2.7,26.7,0.5,0.1,0.04
Willie Cauley-Stein,SAC,24,C,73,73,100,5.5,12.1,45.3,47.8,-2.5,28.0,1.1,0.3,0.12
Khris Middleton,MIL,26,F,81,81,100,5.8,12.1,47.5,45.5,1.9,36.4,1.5,0.1,0.12
