Team,DEF,RDEF
HOU,105.7,48.0
TOR,105.3,45.3
GSW,106.8,47.4
BOS,103.2,43.8
PHI,103.9,41.6
CLE,111.1,47.0
POR,105.7,42.1
IND,107.3,44.8
NOP,107.4,47.7
OKC,106.4,43.5
UTA,103.0,41.8
MIN,110.2,45.7
SAS,104.1,44.1
DEN,110.0,47.3
MIA,105.8,43.5
MIL,109.1,47.3
WAS,107.7,45.4
LAC,109.2,44.8
DET,106.7,43.6
CHA,109.0,45.2
LAL,107.3,49.0
NYK,109.7,43.4
BKN,109.7,47.8
CHI,110.5,44.5
SAC,110.4,42.2
ORL,109.4,48.3
ATL,110.1,44.4
DAL,108.4,42.2
MEM,110.4,42.1
PHX,111.7,47.1
