Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Dahntay Jones,CLE,35,G-F,1,1,100,8.0,18.0,44.4,39.7,4.7,42.0,1.0,0.0,0
DeMarcus Cousins,SAC,25,C-F,64,64,100,7.7,16.8,45.6,46.4,-0.8,34.6,1.6,0.6,0.45
Draymond Green,GSW,26,F,81,81,100,6.5,16.4,39.7,45.5,-5.8,34.7,1.5,0.6,0.11
Serge Ibaka,OKC,26,F,78,78,100,7.0,15.4,45.1,46.0,-0.9,32.1,0.5,0.2,0
Brook Lopez,BKN,28,C,73,73,100,6.9,15.1,45.7,47.9,-2.3,33.7,0.8,0.4,0
Marcin Gortat,WAS,32,C,75,75,100,7.0,15.1,46.5,47.4,-0.9,30.1,0.6,0.4,0.12
Anthony Davis,NOP,23,F-C,61,61,100,6.4,14.8,43.3,46.6,-3.4,35.5,1.3,1.0,0.05
DeAndre Jordan,LAC,27,C,77,77,100,6.3,14.8,42.6,47.0,-4.4,33.7,0.7,0.8,0.01
Hassan Whiteside,MIA,27,C,73,73,100,6.7,14.5,46.2,47.8,-1.6,29.1,0.6,1.5,0.03
Pau Gasol,CHI,35,C-F,72,72,100,6.3,14.2,44.5,48.4,-3.9,31.8,0.6,0.5,0.04
Jahlil Okafor,PHI,20,C,53,53,100,6.7,13.9,48.4,47.9,0.6,30.0,0.4,0.4,0
Al Horford,ATL,30,C-F,82,82,100,6.2,13.8,44.8,46.9,-2.1,32.1,0.8,0.5,0.01
Derrick Favors,UTA,24,F-C,62,62,100,6.2,13.8,45.0,47.2,-2.2,32.0,1.2,0.4,0.02
Andre Drummond,DET,22,C,81,81,100,6.9,13.7,50.2,48.6,1.6,32.9,1.5,0.5,0.02
Paul Millsap,ATL,31,F,81,81,100,6.3,13.6,46.0,46.3,-0.3,32.7,1.8,0.3,0.06
Kristaps Porzingis,NYK,20,F-C,72,72,100,5.7,13.6,41.9,46.5,-4.6,28.4,0.7,0.5,0.03
Karl-Anthony Towns,MIN,20,C-F,82,82,100,6.4,13.4,47.6,47.4,0.2,32.0,0.7,0.6,0.01
Dirk Nowitzki,DAL,38,F,75,75,100,6.2,13.4,46.3,46.0,0.3,31.5,0.7,0.2,0.04
Kevin Love,CLE,27,F,77,77,100,6.7,13.3,50.0,46.5,3.5,31.5,0.8,0.1,0.13
James Harden,HOU,26,G,82,82,100,6.2,13.3,47.0,44.6,2.4,38.1,1.7,0.3,0.04
Steven Adams,OKC,22,C,80,80,100,5.5,13.2,41.9,47.2,-5.3,25.2,0.5,0.5,0
Robin Lopez,NYK,28,C,82,82,100,6.2,13.1,47.2,47.8,-0.6,27.1,0.2,0.3,0
Eric Bledsoe,PHX,26,G,31,31,100,5.3,13.1,40.7,43.1,-2.4,34.2,2.0,0.3,0.19
Blake Griffin,LAC,27,F,35,35,100,6.2,12.9,48.1,46.2,1.9,33.4,0.8,0.2,0.14
Andrew Wiggins,MIN,21,G-F,81,81,100,5.8,12.8,45.0,44.4,0.6,35.1,1.0,0.3,0.01
LaMarcus Aldridge,SAS,30,F,74,74,100,5.7,12.7,44.4,46.2,-1.8,30.6,0.5,0.5,0.01
Tristan Thompson,CLE,25,C-F,81,81,100,5.7,12.5,45.5,46.2,-0.7,27.7,0.5,0.2,0
Jimmy Butler,CHI,26,G-F,67,67,100,5.8,12.5,46.7,44.8,2.0,36.9,1.6,0.3,0.1
Nikola Vucevic,ORL,25,C,64,64,100,5.8,12.5,46.4,47.9,-1.5,31.3,0.8,0.4,0
Nerlens Noel,PHI,22,F-C,67,67,100,5.9,12.4,47.4,47.5,-0.1,29.3,1.8,0.5,0.1
Giannis Antetokounmpo,MIL,21,F,80,80,100,5.5,12.4,44.7,45.5,-0.8,35.3,1.2,0.3,0.01
Thaddeus Young,BKN,28,F,73,73,100,5.9,12.3,47.5,45.9,1.6,33.0,1.5,0.1,0.19
Kemba Walker,CHA,26,G,81,81,100,5.4,12.3,44.5,43.9,0.6,35.6,1.6,0.2,0.23
Chris Bosh,MIA,32,F,53,53,100,5.5,12.2,45.5,45.5,0.1,33.5,0.7,0.1,0.08
Rudy Gobert,UTA,24,C,61,61,100,5.3,12.2,43.9,47.4,-3.5,31.7,0.7,0.9,0
Rudy Gay,SAC,29,F,69,69,100,5.4,12.1,44.7,45.2,-0.4,34.0,1.4,0.4,0.09
Dwight Howard,HOU,30,C,70,70,100,5.7,12.1,47.5,46.7,0.8,32.1,1.0,0.7,0
Marc Gasol,MEM,31,C,52,52,100,5.3,12.1,44.0,47.8,-3.7,34.4,1.0,0.6,0.19
