Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Darius Garland,CLE,21,G,54,52,45.9,3.3,5.5,58.9,55.5,3.4,33.1,0.1
John Wall,HOU,30,G,40,40,48.6,3.2,5.5,57.5,56.7,0.7,32.2,0.4
Kevon Looney,GSW,25,F,60,60,49.8,3.1,5.5,55.6,58.1,-2.6,19.0,0.2
James Harden,BKN,31,G,44,44,44.1,3.1,5.5,56.8,58.4,-1.6,36.6,0.4
Zach LaVine,CHI,26,G-F,58,58,43.9,3.0,5.5,55.2,57.0,-1.8,35.1,0.3
Dillon Brooks,MEM,25,G-F,67,67,42.3,3.1,5.5,56.0,56.9,-0.9,29.8,0.3
Thaddeus Young,CHI,33,F,68,68,49.8,3.3,5.5,60.4,58.0,2.4,24.3,0.4
Bogdan Bogdanovic,ATL,28,G,44,44,42.6,2.8,5.5,51.7,56.3,-4.7,29.7,0.1
Tristan Thompson,BOS,30,C-F,54,53,46.4,2.9,5.4,53.4,58.4,-5.0,23.8,0.3
DeAndre Jordan,BKN,32,C,57,56,40.5,3.0,5.4,55.8,59.3,-3.5,21.9,0.6
Dakota Mathias,PHI,25,G,7,6,54.3,2.7,5.4,50.0,56.9,-6.9,15.4,0.1
Cam Reddish,ATL,21,F-G,26,26,46.1,3.8,5.4,70.2,56.5,13.7,28.8,0.1
Duncan Robinson,MIA,27,F,70,70,46.7,3.2,5.4,58.3,57.0,1.3,31.4,0.1
Khyri Thomas,HOU,25,G,5,5,43.5,2.6,5.4,48.1,56.4,-8.2,30.6,0.8
Nicolas Batum,LAC,32,G-F,67,67,51.6,2.9,5.4,53.5,57.4,-3.9,27.4,0.3
Jaden McDaniels,MIN,20,F,61,61,51.1,2.7,5.4,50.8,57.4,-6.6,24.0,0.6
Xavier Tillman,MEM,22,F,59,57,53.5,3.0,5.4,55.8,59.1,-3.3,18.4,0.4
Coby White,CHI,21,G,69,67,46.4,3.2,5.4,60.0,55.6,4.4,31.2,0.2
Jaylen Brown,BOS,24,G-F,58,58,43.5,3.0,5.3,55.8,57.3,-1.5,34.5,0.3
Deni Avdija,WAS,20,F,53,52,49.8,2.9,5.3,54.1,57.9,-3.9,23.3,0.1
Ja Morant,MEM,21,G,63,63,48.0,3.2,5.3,60.6,57.3,3.3,32.6,0.1
Sterling Brown,HOU,26,G-F,51,50,48.4,3.4,5.3,63.5,56.5,6.9,24.1,0.1
Josh Hart,NOP,26,G,46,46,40.1,3.3,5.3,61.9,58.1,3.8,28.7,0.2
Kevin Huerter,ATL,22,G-F,69,69,45.8,2.9,5.3,55.6,56.2,-0.6,30.8,0.2
Tyrese Haliburton,SAC,21,G,56,56,49.5,3.4,5.3,64.2,57.0,7.1,30.1,0.2
Nic Claxton,BKN,22,F-C,32,31,49.1,2.8,5.3,52.1,57.2,-5.1,NaN,NaN
Delon Wright,SAC,29,G,61,60,53.5,3.1,5.3,59.6,57.4,2.3,27.7,0.2
Jeremy Lamb,IND,29,G-F,36,36,52.3,2.9,5.3,55.3,57.6,-2.3,21.2,0.2
D'Angelo Russell,MIN,25,G,41,40,47.6,3.2,5.3,60.6,56.3,4.3,28.5,0.2
Russell Westbrook,WAS,32,G,64,63,46.7,2.9,5.3,55.8,57.3,-1.5,36.4,0.2
Tyler Herro,MIA,21,G,52,51,46.7,2.9,5.3,54.0,55.8,-1.8,30.3,0.1
CJ McCollum,POR,29,G,46,45,39.7,2.9,5.3,55.4,55.9,-0.5,34.0,0.1
Taj Gibson,NYK,36,F,44,44,54.5,2.8,5.3,54.1,58.9,-4.8,20.8,0.4
Rui Hachimura,WAS,23,F,56,56,42.7,3.0,5.3,56.5,58.5,-2.1,31.5,0.1
Ben Simmons,PHI,24,G-F,58,57,44.4,2.8,5.2,54.3,57.3,-3.0,32.4,0.3
Kendrick Nunn,MIA,25,G,54,54,44.1,2.9,5.2,55.7,56.3,-0.7,29.5,0.1
Kyrie Irving,BKN,29,G,54,53,45.8,3.0,5.2,58.4,57.5,0.8,34.9,0.2
Jrue Holiday,MIL,31,G,58,58,39.2,2.5,5.2,49.2,57.9,-8.7,32.3,0.2
Josh Jackson,DET,24,G-F,62,62,52.4,3.0,5.2,57.1,56.1,1.0,25.2,0.4
Trevor Ariza,MIA,36,F,28,28,43.2,3.0,5.2,58.6,57.4,1.3,28.0,0.2
Jeff Green,BKN,34,F,68,68,43.7,3.1,5.2,60.5,58.4,2.1,27.0,0.2
Bobby Portis,MIL,26,F,65,64,46.5,2.8,5.2,54.6,58.7,-4.1,20.8,0.2
Kevin Love,CLE,32,F-C,24,24,48.4,3.3,5.2,62.9,58.9,4.0,24.9,0.0
Kevin Durant,BKN,32,F,35,35,43.5,2.6,5.2,50.8,58.5,-7.7,33.1,0.6
Jarred Vanderbilt,MIN,22,F,63,59,54.3,2.7,5.2,52.6,58.9,-6.3,17.8,0.3
Lonzo Ball,NOP,23,G,53,53,40.4,3.0,5.1,58.5,55.8,2.6,31.8,0.3
Tony Bradley,OKC,23,C-F,40,40,56.0,2.6,5.1,51.2,58.9,-7.7,16.3,0.5
Juan Toscano-Anderson,GSW,28,F,51,47,49.7,2.9,5.1,57.5,57.6,-0.2,20.9,0.2
Anthony Edwards,MIN,19,G,71,71,45.1,2.9,5.1,56.5,56.8,-0.3,32.1,0.2
Blake Griffin,BKN,32,F,46,46,41.6,3.1,5.1,60.0,60.0,0.0,25.8,0.2
Donte DiVincenzo,MIL,24,G,65,63,46.8,2.8,5.1,55.6,57.2,-1.6,27.5,0.2
Reggie Bullock,NYK,30,G-F,64,63,46.4,3.1,5.1,61.5,57.2,4.4,30.0,0.1
Trae Young,ATL,22,G,63,62,47.3,3.0,5.1,59.7,55.5,4.2,33.7,0.0
Bismack Biyombo,CHA,28,C,64,63,47.3,2.6,5.1,50.9,58.4,-7.5,20.4,0.7
Killian Hayes,DET,19,G,26,25,50.0,2.6,5.0,52.7,55.2,-2.5,25.8,0.0
Devonte' Graham,CHA,26,G,54,53,45.4,3.2,5.0,63.2,57.1,6.2,30.2,0.1
Danilo Gallinari,ATL,32,F,51,50,48.7,3.0,5.0,60.3,58.0,2.3,24.0,0.1
Alex Len,WAS,28,C,63,61,55.2,2.6,5.0,51.7,59.5,-7.7,15.3,0.4
Dante Exum,HOU,25,G,5,5,53.2,2.2,5.0,44.0,56.0,-12.0,19.3,0.3
Luke Kornet,BOS,25,F-C,29,28,57.3,2.6,5.0,51.7,57.7,-6.0,11.2,0.5
Aron Baynes,TOR,34,C-F,52,52,49.5,2.6,5.0,53.5,58.9,-5.4,18.5,0.2
Dario Saric,PHX,27,F-C,47,47,52.2,2.9,5.0,57.5,57.8,-0.3,17.4,0.0
Jamal Murray,DEN,24,G,47,46,39.8,3.1,4.9,62.1,57.9,4.2,35.5,0.1
David Nwaba,HOU,28,G-F,30,30,49.5,2.5,4.9,51.4,56.8,-5.5,22.6,0.5
Joe Harris,BKN,29,G-F,69,69,47.4,2.6,4.9,53.5,57.0,-3.5,31.0,0.2
Patrick Williams,CHI,19,F,71,70,48.6,2.9,4.9,57.9,58.3,-0.5,27.9,0.4
Cole Anthony,ORL,21,G,45,44,45.0,2.9,4.9,59.3,55.5,3.8,27.1,0.2
Dorian Finney-Smith,DAL,28,F,60,59,42.3,2.4,4.9,48.3,57.6,-9.3,31.9,0.3
Chuma Okeke,ORL,22,F,44,42,49.0,2.8,4.9,57.7,58.4,-0.7,25.2,0.3
Garrett Temple,CHI,35,G-F,56,55,43.4,2.8,4.9,56.8,56.3,0.5,27.3,0.3
Kyle Anderson,MEM,27,F-G,69,69,44.9,2.7,4.9,54.6,57.8,-3.2,27.3,0.4
Khris Middleton,MIL,29,F,67,67,39.4,2.9,4.9,59.0,57.7,1.4,33.4,0.0
Jimmy Butler,MIA,31,F,50,48,40.9,2.9,4.9,58.6,56.8,1.8,33.6,0.1
Gordon Hayward,CHA,31,F,43,43,47.9,2.6,4.9,53.8,58.2,-4.4,34.0,0.2
Brandon Clarke,MEM,24,F,59,56,51.9,2.5,4.9,50.3,58.7,-8.3,24.0,0.6
Bradley Beal,WAS,28,G,59,59,38.4,2.8,4.9,58.2,57.8,0.4,35.8,0.1
O.G. Anunoby,TOR,23,F,43,43,41.4,2.4,4.8,49.0,58.6,-9.6,NaN,NaN
Eric Bledsoe,NOP,31,G,69,68,39.0,2.9,4.8,60.4,56.6,3.8,29.7,0.1
Damian Lillard,POR,30,G,64,62,40.4,2.9,4.8,59.2,56.7,2.5,35.8,0.1
Donta Hall,ORL,23,C,11,10,53.0,2.3,4.8,47.2,60.7,-13.5,13.8,0.5
Jae'Sean Tate,HOU,25,F,70,70,44.4,2.9,4.8,59.3,57.6,1.8,29.2,0.2
Luguentz Dort,OKC,22,G,51,50,38.1,2.9,4.8,59.6,57.6,2.0,29.7,0.2
Jordan Bell,GSW,26,F,5,5,57.1,2.6,4.8,54.2,57.9,-3.7,13.7,0.3
Kawhi Leonard,LAC,30,F,52,52,44.7,2.9,4.8,60.2,58.4,1.8,34.1,0.2
Brandon Ingram,NOP,23,F,59,58,48.5,2.8,4.8,58.0,57.5,0.5,34.3,0.4
Hassan Whiteside,SAC,32,C,33,30,49.5,2.6,4.8,54.8,59.1,-4.4,15.2,0.5
Collin Sexton,CLE,22,G,60,59,41.3,2.9,4.7,61.3,57.1,4.1,35.2,0.1
Giannis Antetokounmpo,MIL,26,F,59,59,40.9,2.4,4.7,51.4,59.2,-7.8,33.0,0.7
Gabriel Deck,OKC,26,F,10,10,56.0,2.7,4.7,57.4,59.4,-1.9,21.2,0
Mo Bamba,ORL,23,C,43,40,50.8,2.6,4.7,55.4,59.3,-3.8,15.8,0.7
Jae Crowder,PHX,30,F,58,58,46.5,2.6,4.7,56.3,57.7,-1.5,27.5,0.3
Jayson Tatum,BOS,23,F-G,64,64,47.3,2.7,4.7,58.5,57.9,0.6,35.8,0.2
Spencer Dinwiddie,BKN,28,G,3,3,46.7,2.0,4.7,42.9,56.4,-13.6,21.3,0
Ed Davis,MIN,32,C-F,20,20,54.1,2.7,4.7,58.1,58.2,-0.1,13.0,0.5
Cory Joseph,DET,29,G,61,59,47.8,2.7,4.6,57.2,56.6,0.6,23.0,0.1
Derrick Rose,NYK,32,G,50,50,49.4,2.5,4.6,54.3,56.1,-1.8,25.6,0.1
Moritz Wagner,ORL,24,F-C,43,40,49.8,2.6,4.6,56.8,58.2,-1.4,16.0,0.1
Goga Bitadze,IND,21,C-F,44,41,62.1,2.3,4.6,50.7,57.9,-7.2,12.5,0.9
Aaron Gordon,DEN,25,F,49,49,45.5,2.5,4.6,55.3,58.2,-2.9,27.7,0.3
Jerami Grant,DET,27,F,54,53,45.3,2.8,4.6,59.8,58.8,1.0,33.9,0.6
Willie Cauley-Stein,DAL,27,C,53,49,48.5,2.5,4.6,53.3,58.6,-5.3,17.1,0.5
Ignas Brazdeikis,ORL,22,F,10,10,51.1,2.5,4.6,54.3,56.0,-1.7,19.2,0.2
Kent Bazemore,GSW,31,G-F,66,65,50.8,2.2,4.6,47.2,56.6,-9.4,19.9,0.2
Dean Wade,CLE,24,F-C,60,56,57.8,2.6,4.6,56.9,57.4,-0.5,19.2,0.2
Dwight Howard,PHI,35,C-F,69,67,53.8,2.5,4.6,54.6,58.3,-3.7,17.3,0.4
Paul Millsap,DEN,36,F,55,52,48.2,2.6,4.6,57.0,58.4,-1.4,20.8,0.3
Anthony Lamb,HOU,23,F,22,20,53.2,3.2,4.5,70.0,57.2,12.8,17.3,0.2
Drew Eubanks,SAS,24,F-C,53,51,56.4,2.4,4.5,52.7,58.5,-5.8,14.0,0.6
DeMarcus Cousins,LAC,30,C,41,38,46.0,2.6,4.5,58.1,58.4,-0.3,17.4,0.4
LaMelo Ball,CHA,19,G,50,49,45.5,2.7,4.5,59.0,56.5,2.6,28.8,0.2
Dennis Smith Jr.,DET,23,G,23,21,54.5,2.4,4.5,52.9,55.6,-2.8,18.3,0.3
Frank Kaminsky,PHX,28,F-C,46,46,50.0,2.5,4.5,55.3,58.4,-3.1,15.2,0.2
Henry Ellenson,TOR,24,F-C,2,2,47.4,3.0,4.5,66.7,57.5,9.2,NaN,NaN
Robert Williams III,BOS,23,C-F,52,51,45.3,2.5,4.5,54.7,58.3,-3.6,18.9,0.6
T.J. Warren,IND,27,F,4,4,58.1,3.0,4.5,66.7,58.2,8.5,29.2,0
Chris Paul,PHX,36,G,68,67,45.2,2.9,4.5,63.6,56.9,6.7,31.4,0.1
P.J. Tucker,MIL,36,F,52,52,44.6,2.6,4.5,57.5,58.0,-0.5,26.1,0.2
Donovan Mitchell,UTA,24,G,53,53,46.1,2.6,4.5,57.6,56.7,0.9,33.4,0.1
Malik Beasley,MIN,24,G,36,36,46.2,2.8,4.4,61.9,56.9,5.0,32.8,0.1
Mike Conley,UTA,33,G,51,49,41.2,2.3,4.4,51.3,55.6,-4.3,29.4,0.1
Doug McDermott,IND,29,F,65,65,52.9,2.5,4.4,55.6,57.7,-2.1,24.5,0.0
Will Barton,DEN,30,G,54,53,42.8,2.7,4.4,61.5,57.7,3.8,31.0,0.2
Bojan Bogdanovic,UTA,32,F,72,72,45.8,2.4,4.4,53.6,57.9,-4.3,30.8,0.0
LeBron James,LAL,36,F,44,43,44.4,2.3,4.4,51.0,57.3,-6.2,33.4,0.3
Elfrid Payton,NYK,27,G,61,61,40.8,2.5,4.4,56.6,56.3,0.2,23.6,0.0
Dwight Powell,DAL,29,F-C,57,53,50.3,2.4,4.4,55.4,58.3,-2.8,16.7,0.3
Dwayne Bacon,ORL,25,G-F,70,69,43.5,2.6,4.4,60.5,57.4,3.1,25.7,0.0
JaKarr Sampson,IND,28,F,25,22,60.9,2.2,4.4,51.4,57.9,-6.5,10.9,0.3
Raul Neto,WAS,29,G,63,62,48.3,2.5,4.3,57.9,56.3,1.6,21.9,0.0
Jalen McDaniels,CHA,23,F-C,44,40,45.7,2.6,4.3,60.5,56.2,4.3,19.2,0.3
Kyle Kuzma,LAL,25,F,68,66,46.1,2.4,4.3,55.8,57.7,-1.9,28.7,0.4
T.J. McConnell,IND,29,G,68,66,45.9,2.6,4.3,61.6,55.5,6.1,26.0,0.2
Landry Shamet,BKN,24,G,61,59,48.2,2.5,4.3,59.5,57.1,2.4,23.0,0.1
Davis Bertans,WAS,28,F,56,56,43.1,2.1,4.2,50.6,55.8,-5.2,25.7,0.1
Terrence Ross,ORL,30,G-F,45,45,43.4,2.3,4.2,54.7,57.3,-2.5,29.3,0.2
Anderson Varejao,CLE,38,F,5,5,72.4,2.2,4.2,52.4,57.9,-5.5,NaN,NaN
Terance Mann,LAC,24,G-F,62,59,48.5,2.5,4.2,59.2,57.1,2.2,18.9,0.1
Bruce Brown,BKN,24,G-F,65,60,42.7,2.3,4.2,55.0,57.4,-2.5,22.3,0.2
Lonnie Walker IV,SAS,22,G-F,60,58,49.4,2.4,4.2,58.4,56.8,1.6,25.4,0.1
Eric Paschall,GSW,24,F,40,40,51.1,2.2,4.1,52.7,57.1,-4.4,17.4,0.1
Naji Marshall,NOP,23,F,27,26,42.9,2.2,4.1,54.1,56.0,-2.0,21.9,0.2
Kentavious Caldwell-Pope,LAL,28,G,67,67,45.5,2.5,4.1,59.6,56.9,2.8,28.4,0.1
Theo Maledon,OKC,20,G,64,62,46.7,2.5,4.1,60.3,56.3,4.0,27.4,0.1
Saddiq Bey,DET,22,F,70,67,48.6,2.4,4.1,58.7,57.6,1.2,27.3,0.1
Pat Connaughton,MIL,28,G,68,65,39.4,2.3,4.1,56.7,56.8,-0.1,22.8,0.1
De'Anthony Melton,MEM,23,G,51,50,49.2,2.3,4.1,57.0,57.1,0.0,20.1,0.3
Reggie Jackson,LAC,31,G,66,63,43.9,2.1,4.1,51.9,56.1,-4.2,23.0,0.1
Nemanja Bjelica,MIA,33,F,35,35,55.1,2.3,4.0,56.7,58.6,-1.9,16.1,0.1
DeMar DeRozan,SAS,31,G-F,61,60,48.2,2.5,4.0,61.6,57.7,3.9,33.7,0.1
JaVale McGee,DEN,33,C-F,46,44,53.9,2.0,4.0,48.6,57.1,-8.5,14.7,0.7
Damion Lee,GSW,28,G-F,56,55,53.3,2.2,4.0,54.9,57.3,-2.3,18.9,0.1
Cam Reynolds,HOU,26,F,3,2,70.6,1.7,4.0,41.7,56.6,-14.9,NaN,NaN
Hamidou Diallo,DET,22,G,51,49,46.0,2.3,4.0,57.8,57.0,0.9,23.6,0.2
Josh Okogie,MIN,22,G,58,55,45.5,2.4,4.0,59.7,57.9,1.8,20.3,0.3
Rudy Gay,SAS,34,F-G,63,62,44.9,2.1,4.0,53.0,58.0,-5.0,21.6,0.3
Solomon Hill,ATL,30,F,71,70,47.8,2.3,4.0,57.4,57.6,-0.2,21.3,0.1
Gorgui Dieng,SAS,31,C,38,35,48.9,2.6,4.0,64.9,59.6,5.3,14.6,0.3
