Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Rudy Gobert,UTA,29,C,71,71,48.8,5.1,10.9,46.5,59.1,-12.6,30.8,1.5
Domantas Sabonis,IND,25,F-C,61,61,59.0,5.8,10.7,54.1,58.7,-4.6,36.0,0.4
Myles Turner,IND,25,C-F,46,46,59.6,5.1,10.6,48.3,58.6,-10.3,31.0,2.4
Jakob Poeltl,SAS,25,C,69,68,55.3,4.8,9.6,49.7,58.5,-8.8,26.7,1.2
Nikola Jokic,DEN,26,C,71,71,52.7,5.4,9.5,57.2,58.7,-1.5,34.6,0.4
Joel Embiid,PHI,27,C-F,51,51,53.7,5.1,9.4,54.8,58.6,-3.8,31.1,0.9
Oshae Brissett,IND,23,F-G,20,20,63.8,5.2,8.8,58.5,57.0,1.5,24.7,0.7
Mason Plumlee,DET,31,F-C,56,56,59.3,5.4,8.7,62.3,59.9,2.4,26.8,0.5
Nikola Vucevic,CHI,30,C,69,69,50.8,4.9,8.7,56.5,59.4,-2.9,33.5,0.3
Kristaps Porzingis,DAL,25,F-C,43,43,52.0,4.6,8.6,53.8,58.7,-4.9,30.9,0.9
Jarrett Allen,CLE,23,C,63,63,57.4,4.6,8.6,53.4,59.2,-5.8,29.6,1.2
Jonas Valanciunas,MEM,29,C,62,62,51.0,4.7,8.6,55.5,58.9,-3.5,28.3,0.6
Brook Lopez,MIL,33,C,69,69,43.0,4.1,8.5,48.6,58.4,-9.8,27.2,0.8
Clint Capela,ATL,27,C,63,63,55.5,4.3,8.5,50.3,58.9,-8.6,30.1,1.5
Karl-Anthony Towns,MIN,25,C-F,50,50,50.5,4.8,8.3,57.2,60.0,-2.8,33.8,0.6
Enes Freedom,POR,29,C,69,69,54.9,4.8,8.3,58.3,59.1,-0.8,NaN,NaN
Christian Wood,HOU,25,F,41,41,46.9,4.2,8.2,51.8,58.5,-6.7,32.3,0.7
P.J. Washington,CHA,22,F,63,63,55.7,4.7,8.1,57.7,58.0,-0.3,30.5,0.8
Richaun Holmes,SAC,27,F,60,59,54.4,4.3,8.1,53.6,59.0,-5.4,29.2,1.1
Deandre Ayton,PHX,22,C,67,67,46.8,4.2,8.0,52.4,58.7,-6.3,30.7,0.7
Elijah Bryant,MIL,26,G,1,1,88.9,6.0,8.0,75.0,63.0,12.0,NaN,NaN
Robert Covington,POR,30,F,67,67,52.1,4.5,7.7,58.5,58.0,0.5,32.0,0.8
Cameron Oliver,HOU,24,F,4,4,65.2,5.0,7.5,66.7,56.0,10.6,21.8,0.8
Wendell Carter Jr.,ORL,22,C-F,54,54,52.3,3.8,7.4,51.2,59.5,-8.2,25.5,0.5
Kelly Olynyk,HOU,30,F-C,70,70,49.3,4.3,7.4,58.4,58.3,0.1,28.5,0.4
Nerlens Noel,NYK,27,C-F,63,63,64.7,3.9,7.4,52.8,58.7,-5.9,24.2,1.6
LaMarcus Aldridge,BKN,35,C-F,26,26,50.0,4.1,7.3,55.5,58.0,-2.5,25.9,0.6
Thomas Bryant,WAS,23,C-F,10,10,45.9,4.0,7.3,54.8,58.5,-3.7,27.1,0.1
Serge Ibaka,LAC,31,F,41,41,52.1,4.0,7.3,54.8,58.6,-3.7,23.3,0.5
Isaiah Stewart,DET,20,F-C,68,67,55.3,3.6,7.3,49.7,57.8,-8.1,21.4,0.7
Julius Randle,NYK,26,F-C,70,70,49.2,3.7,7.2,51.5,58.8,-7.3,37.6,0.2
Buddy Hield,SAC,28,G,69,69,50.6,4.1,7.1,58.6,57.0,1.6,34.3,0.2
Andre Drummond,LAL,27,C,46,46,52.2,4.2,7.1,59.7,59.8,-0.1,27.0,0.6
Pascal Siakam,TOR,27,F,56,56,45.0,4.1,7.0,58.4,58.5,-0.1,35.8,0.3
Chris Boucher,TOR,28,F-C,60,60,52.8,3.9,7.0,55.7,58.3,-2.7,24.2,0.7
Daniel Theis,CHI,29,F-C,65,64,51.6,3.9,7.0,55.2,58.8,-3.6,24.6,0.5
Fred VanVleet,TOR,27,G,52,52,47.9,3.7,6.9,53.8,56.9,-3.1,36.5,0.3
Derrick White,SAS,26,G,36,35,48.7,3.4,6.8,49.6,56.8,-7.2,29.6,0.5
Draymond Green,GSW,31,F,62,61,45.8,3.4,6.8,50.7,58.5,-7.8,31.5,0.4
Andrew Wiggins,GSW,26,F,70,70,45.0,3.5,6.7,52.0,57.5,-5.5,33.3,0.3
Jusuf Nurkic,POR,26,C,36,36,50.8,3.7,6.7,55.6,59.2,-3.6,23.8,0.8
Moses Brown,BOS,21,C,41,40,50.4,3.8,6.7,57.3,58.4,-1.1,21.4,0.7
Royce O'Neale,UTA,28,F,71,71,47.7,4.0,6.7,60.0,57.8,2.1,31.6,0.2
Jaren Jackson Jr.,MEM,21,F-C,11,11,57.5,3.9,6.6,58.9,57.8,1.1,23.5,0.6
Steven Adams,NOP,27,C,56,56,46.1,3.8,6.6,57.3,60.0,-2.7,27.7,0.3
James Wiseman,GSW,20,C,38,38,54.4,3.9,6.5,59.7,58.8,0.9,21.4,0.5
Mikal Bridges,PHX,24,F,69,69,52.1,3.9,6.5,59.1,58.4,0.8,32.6,0.5
Darius Bazley,OKC,21,F-G,54,54,43.5,3.9,6.5,59.1,58.7,0.4,31.2,0.2
Shai Gilgeous-Alexander,OKC,22,G-F,34,34,44.3,3.8,6.5,57.9,57.3,0.7,33.7,0.3
John Collins,ATL,23,F-C,63,63,48.9,3.8,6.5,58.6,58.4,0.2,29.3,0.6
Anthony Davis,LAL,28,F-C,36,35,45.8,3.7,6.5,57.1,58.3,-1.2,32.3,0.9
Ivica Zubac,LAC,24,C,71,70,44.6,3.3,6.5,51.6,60.0,-8.3,22.3,0.6
Kevin Porter Jr.,HOU,21,G-F,26,26,52.3,3.8,6.5,58.3,58.0,0.4,32.1,0.1
Al Horford,OKC,35,C-F,27,27,42.5,3.8,6.4,59.5,59.8,-0.2,27.9,0.5
Caris LeVert,IND,26,G,47,47,49.5,3.7,6.4,58.1,56.8,1.3,31.6,0.3
Cody Zeller,CHA,28,F-C,47,46,56.6,3.7,6.4,57.5,58.1,-0.6,20.9,0.2
Dejounte Murray,SAS,24,G,67,66,55.4,4.0,6.4,61.9,57.5,4.5,31.9,0.1
Justin Holiday,IND,32,F-G,71,71,50.6,3.5,6.4,54.7,57.8,-3.0,30.3,0.3
De'Aaron Fox,SAC,23,G,56,56,43.4,3.8,6.4,59.1,57.0,2.1,35.1,0.2
Malcolm Brogdon,IND,28,G,55,54,49.9,3.7,6.3,58.2,57.7,0.5,34.5,0.2
Kyle Lowry,TOR,35,G,46,46,47.5,3.5,6.3,55.9,56.5,-0.6,34.8,0.1
Victor Oladipo,MIA,29,G,31,31,46.7,3.4,6.2,54.4,56.5,-2.1,32.7,0.3
Maxi Kleber,DAL,29,F,50,50,46.3,3.4,6.2,54.8,57.9,-3.0,26.8,0.4
Naz Reid,MIN,21,C-F,69,68,54.3,3.3,6.2,53.2,58.7,-5.5,19.2,0.8
Mitchell Robinson,NYK,23,C-F,30,30,51.1,3.6,6.2,57.8,59.2,-1.3,27.5,1.0
Kelly Oubre Jr.,GSW,25,F-G,54,53,51.6,3.3,6.2,52.9,57.7,-4.8,30.7,0.4
Willy Hernangomez,NOP,27,C-F,44,42,56.1,3.9,6.2,62.7,58.9,3.8,18.0,0.3
Isaac Okoro,CLE,20,F-G,67,67,47.3,3.8,6.2,62.2,56.7,5.5,32.4,0.2
Justin Patton,HOU,24,C,13,12,57.1,3.4,6.2,55.0,57.0,-2.0,19.0,0.5
Lauri Markkanen,CHI,24,F-C,50,50,53.1,3.5,6.1,57.7,57.3,0.4,25.8,0.2
Tobias Harris,PHI,28,F,62,61,50.1,3.4,6.1,56.6,57.2,-0.5,32.5,0.3
Bam Adebayo,MIA,23,C-F,62,62,43.8,3.2,6.0,53.3,58.5,-5.2,33.5,0.4
Evan Fournier,BOS,28,G-F,41,41,48.5,3.4,6.0,56.5,57.0,-0.5,30.0,0.2
Robin Lopez,WAS,33,C,70,69,48.6,3.3,6.0,54.1,58.9,-4.7,19.1,0.3
Kemba Walker,BOS,31,G,43,43,44.6,3.8,6.0,63.3,58.5,4.9,31.8,0.1
Marquese Chriss,GSW,23,F,2,2,66.7,2.5,6.0,41.7,56.7,-15.0,NaN,NaN
Michael Porter Jr.,DEN,23,F,60,60,51.4,3.4,6.0,56.1,58.1,-1.9,31.3,0.5
Luka Doncic,DAL,22,F-G,66,66,45.5,3.3,6.0,55.6,57.5,-2.0,34.2,0.3
Isaiah Roby,OKC,23,F,60,59,55.2,3.6,6.0,60.9,59.4,1.5,23.4,0.4
Miles Bridges,CHA,23,F,65,65,47.2,3.4,6.0,56.8,57.9,-1.1,29.3,0.4
Freddie Gillespie,TOR,24,F,20,20,63.0,3.3,6.0,54.6,59.2,-4.5,19.6,0.6
Dennis Schroder,LAL,27,G,61,61,47.3,3.8,5.9,64.6,57.2,7.4,32.1,0.1
Zion Williamson,NOP,20,F,59,59,42.8,3.3,5.9,56.0,58.4,-2.4,33.2,0.4
RJ Barrett,NYK,21,F-G,71,71,42.4,3.1,5.9,53.2,57.4,-4.1,34.9,0.1
Keldon Johnson,SAS,21,F-G,69,68,50.8,3.4,5.9,57.8,58.4,-0.6,28.5,0.2
Aleksej Pokusevski,OKC,19,C,44,42,51.3,3.3,5.8,56.4,56.8,-0.4,24.2,0.5
Terry Rozier,CHA,27,G,68,68,42.8,3.6,5.8,62.6,56.5,6.2,34.5,0.3
Marc Gasol,LAL,36,C,52,50,51.5,3.5,5.8,60.5,58.5,1.9,19.1,0.7
Derrick Favors,UTA,29,F,68,68,55.5,3.4,5.8,58.3,59.2,-1.0,15.3,0.7
Marvin Bagley III,SAC,22,F,42,41,48.2,3.7,5.7,65.1,58.1,7.1,25.9,0.2
Mike Muscala,OKC,29,F-C,34,33,53.4,3.1,5.7,53.6,58.6,-5.0,18.4,0.1
Danny Green,PHI,34,G,69,69,43.4,3.1,5.7,54.7,57.2,-2.5,28.0,0.4
Khem Birch,TOR,28,C,66,63,50.3,3.1,5.7,55.3,57.3,-2.0,22.8,0.4
Montrezl Harrell,LAL,27,F-C,68,63,50.0,3.0,5.7,52.9,58.5,-5.6,22.9,0.4
De'Andre Hunter,ATL,23,F-G,23,22,45.4,2.7,5.6,48.8,56.7,-7.8,29.5,0.3
Devin Booker,PHX,24,G,65,65,44.6,3.4,5.6,61.3,58.1,3.2,33.9,0.1
Daniel Gafford,WAS,22,F-C,52,52,62.2,3.0,5.6,53.4,58.6,-5.2,14.6,0.7
Paul George,LAC,31,F,54,54,43.4,3.2,5.6,57.5,57.7,-0.2,33.7,0.1
Larry Nance Jr.,CLE,28,F-C,35,35,47.0,3.1,5.6,55.9,59.1,-3.2,31.2,0.3
Harrison Barnes,SAC,29,F,56,55,48.1,3.2,5.5,57.7,59.3,-1.6,36.2,0.1
