Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Brook Lopez,BKN,28,C,73,73,67.9,5.0,10.3,48.5,55.3,-6.8,33.7,1.3
Hassan Whiteside,MIA,27,C,73,73,69.9,5.0,10.1,49.7,55.0,-5.3,29.1,2.1
Pau Gasol,CHI,35,C-F,72,72,67.4,4.4,9.6,46.2,55.7,-9.6,31.8,1.5
DeMarcus Cousins,SAC,25,C-F,64,64,56.8,4.8,9.6,50.5,54.4,-3.9,34.6,0.8
Marcin Gortat,WAS,32,C,75,75,59.6,4.5,9.0,50.1,55.4,-5.3,30.1,0.8
Karl-Anthony Towns,MIN,20,C-F,82,82,66.2,4.7,8.9,52.4,55.1,-2.6,32.0,1.0
Andre Drummond,DET,22,C,81,81,63.0,4.6,8.6,53.4,55.5,-2.0,32.9,0.9
DeAndre Jordan,LAC,27,C,77,77,57.2,4.1,8.5,48.3,54.5,-6.1,33.7,1.5
Al Horford,ATL,30,C-F,82,82,61.1,4.2,8.4,49.4,54.7,-5.3,32.1,0.9
Nikola Vucevic,ORL,25,C,64,64,67.5,4.4,8.4,51.8,55.2,-3.4,31.3,0.7
Jahlil Okafor,PHI,20,C,53,53,60.5,4.3,8.4,51.0,55.1,-4.1,30.0,0.8
Serge Ibaka,OKC,26,F,78,78,54.4,4.3,8.4,51.3,54.4,-3.1,32.1,1.7
Robin Lopez,NYK,28,C,82,82,62.9,3.9,8.2,47.8,55.0,-7.2,27.1,1.3
Rudy Gobert,UTA,24,C,61,61,66.3,3.8,8.1,47.0,54.9,-8.0,31.7,1.3
Derrick Favors,UTA,24,F-C,62,61,58.5,3.8,8.1,47.0,55.4,-8.4,32.0,1.0
Marc Gasol,MEM,31,C,52,52,63.8,3.6,7.7,47.5,55.0,-7.5,34.4,0.8
Draymond Green,GSW,26,F,81,80,46.2,3.5,7.6,46.7,54.8,-8.2,34.7,0.8
Nerlens Noel,PHI,22,F-C,67,67,60.7,3.9,7.5,51.0,55.7,-4.7,29.3,1.0
Jonas Valanciunas,TOR,24,C,59,59,63.8,3.9,7.5,51.8,55.1,-3.3,25.9,0.8
Mason Plumlee,POR,26,C-F,82,82,69.1,4.0,7.5,53.9,55.7,-1.8,25.4,0.9
Greg Monroe,MIL,26,C-F,79,79,66.1,4.0,7.5,54.1,55.2,-1.1,29.3,0.7
Kristaps Porzingis,NYK,20,F-C,72,72,55.1,3.6,7.5,48.3,55.0,-6.7,28.4,1.4
Anthony Davis,NOP,23,F-C,61,61,50.3,3.9,7.5,51.9,55.3,-3.5,35.5,1.0
Kevin Love,CLE,27,F,77,77,55.5,4.3,7.4,57.6,54.9,2.8,31.5,0.4
Myles Turner,IND,20,F-C,60,60,63.9,3.8,7.3,51.0,54.5,-3.5,22.8,1.2
Steven Adams,OKC,22,C,80,80,55.7,3.5,7.3,47.3,54.9,-7.7,25.2,0.7
Zaza Pachulia,DAL,32,C,76,75,63.0,4.1,7.3,55.8,54.6,1.2,26.4,0.2
Paul Millsap,ATL,31,F,81,80,53.6,3.8,7.3,52.3,55.3,-3.0,32.7,1.5
Dwight Howard,HOU,30,C,70,70,59.1,3.9,7.1,54.8,54.6,0.2,32.1,0.9
Roy Hibbert,LAL,29,C,81,81,63.4,3.7,7.1,52.9,55.6,-2.7,23.2,0.9
Tristan Thompson,CLE,25,C-F,81,81,56.4,3.6,7.1,50.9,54.3,-3.4,27.7,0.5
Tim Duncan,SAS,40,C-F,61,61,62.2,3.2,7.0,45.7,54.3,-8.7,25.2,0.8
