Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Joel Embiid,PHI,25,F-C,61,61,43.9,3.7,9.8,37.2,36.5,0.7,33.7,0.7,0.5,0.05
Brook Lopez,MIL,31,C,81,81,41.8,3.5,8.6,41.0,36.6,4.4,28.7,0.6,0.9,0
Jrue Holiday,NOP,29,G,67,67,52.0,3.1,8.6,36.2,36.9,-0.7,35.9,1.6,0.5,0.03
Rudy Gobert,UTA,27,C,79,79,38.0,3.2,8.0,40.0,36.8,3.1,31.8,0.8,1.1,0.09
Yante Maten,MIA,22,F,1,1,72.7,0.0,8.0,0.0,29.4,-29.4,NaN,NaN,NaN,NaN
JaKarr Sampson,CHI,26,F,4,4,57.4,2.3,7.8,29.0,35.3,-6.2,31.8,1.0,0.0,0
DeMarcus Cousins,GSW,28,C,30,30,45.0,3.1,7.7,40.3,37.3,2.9,25.7,1.3,1.0,0.3
Draymond Green,GSW,29,F,66,66,50.1,2.5,7.4,34.4,36.3,-2.0,31.3,1.4,0.6,0.17
Anthony Davis,NOP,26,F-C,56,56,42.9,2.4,7.2,32.8,36.6,-3.8,33.0,1.6,1.1,0.11
Deandre Ayton,PHX,20,C,71,71,39.6,2.6,7.2,36.8,37.3,-0.5,30.7,0.9,0.5,0
Steven Adams,OKC,25,C,79,79,39.0,2.6,7.2,36.6,37.1,-0.4,33.4,1.5,0.2,0
LaMarcus Aldridge,SAS,33,C-F,81,80,40.3,2.8,7.0,40.4,37.0,3.4,33.2,0.5,0.5,0
RJ Hunter,BOS,25,G,1,1,58.3,1.0,7.0,14.3,34.8,-20.5,26.0,1.0,0,0
Andre Drummond,DET,25,C,79,78,38.7,2.6,7.0,36.7,36.7,-0.1,33.5,1.7,0.7,0.01
Bradley Beal,WAS,26,G,81,81,50.5,2.7,6.8,40.4,36.6,3.8,36.9,1.5,0.2,0.16
Victor Oladipo,IND,27,G,36,36,55.2,2.6,6.8,38.9,36.5,2.4,31.9,1.7,0.1,0.36
Kemba Walker,CHA,29,G,81,81,48.2,2.4,6.8,35.8,36.5,-0.7,34.9,1.2,0.1,0.3
Clint Capela,HOU,25,C,66,65,38.0,2.4,6.7,34.8,36.7,-1.9,33.6,0.7,0.6,0.06
Jusuf Nurkic,POR,24,C,72,71,40.5,2.6,6.7,38.3,37.7,0.6,27.4,1.0,0.3,0
Blake Griffin,DET,30,F,75,74,54.2,2.5,6.7,36.8,36.0,0.8,35.0,0.7,0.2,0.41
Karl-Anthony Towns,MIN,23,C,77,77,37.9,2.7,6.6,40.5,36.7,3.8,33.1,0.9,0.7,0.03
Andrew Wiggins,MIN,24,F-G,73,71,49.0,2.3,6.6,35.1,37.4,-2.3,34.8,1.0,0.2,0
Pascal Siakam,TOR,25,F,80,80,48.0,2.1,6.6,32.2,35.8,-3.6,31.9,0.9,0.3,0.01
Kevin Durant,GSW,30,F,78,78,54.1,2.4,6.6,35.9,36.3,-0.5,34.6,0.7,0.6,0.04
