Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Kemba Walker,CHA,24,G,72,72,63.3,3.3,8.6,37.7,36.9,0.8,35.8,1.2,0.2,0.15
James Harden,HOU,24,G,73,73,62.4,2.7,7.6,35.6,37.3,-1.7,38.1,1.6,0.3,0.08
Jrue Holiday,NOP,24,G,34,34,67.3,2.9,7.6,38.5,37.1,1.5,33.6,1.6,0.1,0.03
Paul George,IND,24,F-G,80,80,58.0,2.5,7.1,35.7,37.5,-1.8,36.2,1.9,0.0,0.17
Isaiah Thomas,SAC,25,G,71,71,64.0,2.6,7.1,36.5,37.5,-1.0,34.7,1.3,0.1,0.11
Corey Brewer,MIN,28,F,81,81,68.5,2.7,7.0,38.0,37.9,0.1,32.2,1.9,0.2,0.05
Kyrie Irving,CLE,22,G,71,70,63.9,2.6,6.9,37.3,37.1,0.2,35.2,1.5,0.1,0.06
Kevin Durant,OKC,25,F,81,81,59.9,2.4,6.8,34.2,36.8,-2.6,38.5,1.3,0.4,0
Luol Deng,CLE,29,F,63,63,59.1,2.6,6.8,38.7,37.8,0.9,35.1,1.0,0.0,0.08
Jodie Meeks,LAL,26,G,76,76,62.7,2.6,6.7,38.9,37.6,1.3,33.2,1.4,0.0,0
Bradley Beal,WAS,21,G,72,72,60.4,2.3,6.7,34.6,37.7,-3.1,34.7,1.0,0.1,0.04
Victor Oladipo,ORL,22,G,80,79,59.3,2.4,6.7,35.5,36.7,-1.2,31.1,1.6,0.1,0.03
Ricky Rubio,MIN,23,G,82,82,61.8,2.6,6.7,39.0,37.7,1.3,32.2,2.3,0.1,0.1
Chandler Parsons,HOU,25,F,74,74,60.5,2.4,6.7,36.0,37.1,-1.1,37.6,1.2,0.1,0.08
Tobias Harris,ORL,21,F,61,61,55.8,2.5,6.6,37.5,36.7,0.8,30.3,0.7,0.2,0
Thaddeus Young,PHI,26,F,79,79,49.8,2.7,6.6,41.5,38.0,3.5,34.4,2.1,0.1,0.19
Mike Conley,MEM,26,G,73,73,62.4,2.4,6.5,36.5,37.7,-1.2,33.5,1.5,0.1,0.11
Tony Parker,SAS,32,G,67,67,67.2,2.7,6.5,42.0,37.6,4.4,29.4,0.5,0.1,0
George Hill,IND,28,G,76,76,57.7,2.4,6.4,37.2,37.4,-0.3,32.0,1.0,0.2,0.08
Jeremy Lin,HOU,25,G,71,70,53.0,2.2,6.3,35.7,37.4,-1.7,28.9,1.0,0.1,0.11
Jameer Nelson,ORL,32,G,68,68,69.2,2.5,6.3,40.1,37.4,2.7,32.0,0.8,0.1,0.04
Klay Thompson,GSW,24,G,80,78,55.6,2.2,6.2,35.9,37.9,-2.0,35.4,0.9,0.3,0.06
Monta Ellis,DAL,28,G,82,82,60.7,2.6,6.2,41.8,38.2,3.6,36.9,1.7,0.2,0.27
Evan Turner,IND,25,F-G,81,81,59.6,2.6,6.2,42.4,37.4,5.0,30.3,0.8,0.0,0.01
Deron Williams,BKN,30,G,64,62,62.2,2.3,6.2,36.8,36.1,0.7,32.2,1.5,0.1,0.12
Brandon Knight,MIL,22,G,71,70,60.6,2.5,6.2,41.1,37.9,3.2,33.3,1.0,0.1,0.06
Kyle Lowry,TOR,28,G,77,77,57.5,2.4,6.2,38.2,37.2,0.9,36.2,1.5,0.0,0.46
Arron Afflalo,ORL,28,G-F,73,72,64.6,2.5,6.1,40.8,37.5,3.4,35.0,0.5,0.0,0.01
DeMarre Carroll,ATL,27,F,73,73,56.2,2.3,6.1,37.6,37.5,0.1,32.1,1.5,0.1,0.01
Jose Calderon,DAL,32,G,80,80,58.1,2.5,6.1,41.1,37.5,3.6,30.5,0.9,0.1,0.09
Joakim Noah,CHI,29,C,80,79,39.1,2.3,6.1,37.6,38.5,-0.9,35.2,1.2,0.6,0.11
Carmelo Anthony,NYK,30,F,77,75,56.3,2.2,6.1,36.8,37.0,-0.2,38.7,1.2,0.2,0
Josh Smith,DET,28,F,77,77,43.8,2.3,6.0,38.1,37.9,0.3,35.5,1.4,0.5,0.12
Dion Waiters,CLE,22,G,70,70,64.8,2.2,6.0,37.3,37.1,0.2,29.6,0.9,0.2,0.04
LaMarcus Aldridge,POR,28,F,69,68,39.6,2.5,6.0,42.6,38.7,3.8,36.2,0.9,0.2,0
Gerald Henderson,CHA,26,G,76,76,65.7,2.4,6.0,39.5,38.3,1.2,32.0,0.7,0.2,0.16
Jarrett Jack,CLE,30,G,80,79,64.8,2.2,5.9,36.9,36.8,0.1,28.1,0.7,0.1,0.06
Stephen Curry,GSW,26,G,77,76,60.9,2.0,5.9,34.4,38.0,-3.7,36.5,1.6,0.1,0.09
Wesley Matthews,POR,27,G,82,82,59.6,2.3,5.9,39.3,37.9,1.4,33.9,0.9,0.1,0.11
Matt Barnes,LAC,34,F,63,63,57.3,1.8,5.9,31.0,37.0,-6.0,27.5,0.9,0.2,0
Jimmy Butler,CHI,24,G-F,67,67,50.6,2.1,5.9,35.0,38.0,-3.0,38.7,1.9,0.2,0.06
Brandon Jennings,DET,24,G,79,79,62.5,2.3,5.9,39.2,37.5,1.7,34.1,1.3,0.1,0.01
Khris Middleton,MIL,22,F,81,81,60.6,2.3,5.9,38.7,37.1,1.7,30.0,1.0,0.1,0.05
John Wall,WAS,23,G,81,81,61.9,2.2,5.9,37.9,37.3,0.6,36.3,1.8,0.1,0.18
Lance Stephenson,IND,23,G,78,78,62.3,2.0,5.8,35.3,37.5,-2.2,35.3,0.7,0.0,0.06
Andre Iguodala,GSW,30,F-G,63,63,57.6,2.1,5.8,37.3,37.9,-0.6,32.4,1.5,0.1,0
Paul Millsap,ATL,29,F,73,73,38.3,2.1,5.7,37.2,37.9,-0.7,33.5,1.7,0.1,0.14
Damian Lillard,POR,23,G,82,82,51.8,2.1,5.7,36.9,38.4,-1.5,35.8,0.8,0.2,0.15
Nicolas Batum,POR,25,F,82,80,50.2,2.1,5.7,37.3,37.5,-0.2,36.0,0.9,0.3,0.1
Kobe Bryant,LAL,35,G,6,6,57.6,1.0,5.7,17.6,36.2,-18.6,29.5,1.2,0.0,0
Eric Bledsoe,PHX,24,G,43,43,53.4,1.8,5.6,31.4,37.8,-6.4,32.9,1.6,0.1,0.14
Avery Bradley,BOS,23,G,60,59,60.6,2.2,5.6,39.3,37.6,1.7,30.9,1.1,0.1,0.02
Trevor Ariza,WAS,28,F,76,76,62.6,2.0,5.6,36.1,37.3,-1.3,35.4,1.6,0.2,0.06
Anthony Davis,NOP,21,F-C,66,62,39.7,1.8,5.5,32.2,37.8,-5.6,35.2,1.3,1.1,0.03
Jeff Green,BOS,27,F,82,82,53.5,2.1,5.5,37.8,37.1,0.7,34.2,0.7,0.1,0.06
Jeff Teague,ATL,26,G,78,77,63.5,1.9,5.5,34.8,37.0,-2.2,32.2,1.1,0.1,0.04
Kyle Singler,DET,26,F,82,81,49.6,2.1,5.5,37.3,37.7,-0.4,28.5,0.7,0.1,0.01
