Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Rudy Gobert,UTA,28,C,68,68,100,9.5,22.9,41.4,47.7,-6.3,34.3,0.8,0.7,0
Deandre Ayton,PHX,21,C,38,38,100,8.5,20.6,41.4,47.6,-6.3,32.5,0.7,0.6,0
Karl-Anthony Towns,MIN,24,C-F,35,35,100,9.7,19.7,49.3,48.4,0.9,33.9,0.9,0.5,0.09
Brook Lopez,MIL,32,C,67,67,100,8.3,19.6,42.7,48.0,-5.3,26.7,0.7,0.8,0
Hassan Whiteside,POR,31,C,66,66,100,8.4,18.1,46.4,49.0,-2.5,30.0,0.4,0.8,0.06
Andre Drummond,CLE,26,C,56,56,100,9.3,18.1,51.5,49.2,2.2,32.9,1.9,0.6,0.02
Nikola Vucevic,ORL,29,C,62,62,100,9.0,18.1,49.7,48.3,1.4,32.2,0.9,0.4,0
Joel Embiid,PHI,26,C-F,51,51,100,8.1,17.9,45.2,49.1,-3.9,29.5,0.9,0.5,0.1
Domantas Sabonis,IND,24,F-C,62,62,100,8.0,17.6,45.4,47.4,-2.0,34.8,0.8,0.2,0
LaMarcus Aldridge,SAS,34,C-F,52,52,100,7.8,17.4,44.5,48.3,-3.8,33.1,0.7,0.8,0
Nikola Jokic,DEN,25,C,73,73,100,8.4,17.3,48.9,49.8,-0.9,32.0,1.2,0.2,0.07
Kristaps Porzingis,DAL,24,F-C,56,56,100,7.4,17.0,43.7,47.6,-3.9,31.8,0.7,0.7,0
John Collins,ATL,22,F,41,41,100,7.8,17.0,45.8,46.5,-0.6,33.2,0.8,0.5,0
Clint Capela,ATL,26,C,39,39,100,7.9,16.9,46.9,49.0,-2.1,32.8,0.8,0.6,0.21
James Harden,HOU,30,G,68,68,100,7.6,16.7,45.6,46.0,-0.4,36.5,1.8,0.5,0.12
Pascal Siakam,TOR,26,F,60,60,100,7.2,16.6,43.3,46.4,-3.1,35.2,1.0,0.4,0.02
Jusuf Nurkic,POR,25,C,8,8,100,8.4,16.5,50.8,46.4,4.3,31.6,1.4,1.5,0
Jarrett Allen,BKN,22,C,70,70,100,7.5,16.4,45.6,48.1,-2.5,26.5,0.6,0.3,0.01
Montrezl Harrell,LAC,26,F-C,63,63,100,7.0,16.2,43.1,47.7,-4.6,27.8,0.6,0.4,0.48
Steven Adams,OKC,26,C,62,62,100,7.5,15.9,47.4,48.8,-1.5,26.7,0.8,0.5,0.05
Jonas Valanciunas,MEM,28,C,70,70,100,7.2,15.8,45.7,48.5,-2.9,26.4,0.4,0.4,0.01
Al Horford,PHI,34,C-F,67,67,100,7.3,15.5,47.3,47.5,-0.2,30.2,0.8,0.4,0
Myles Turner,IND,24,C-F,62,62,100,7.2,15.2,47.3,49.1,-1.8,29.5,0.7,0.5,0.05
Zach Collins,POR,22,F-C,11,11,100,6.2,15.1,41.0,46.0,-5.0,26.4,0.5,0.1,0
Serge Ibaka,TOR,30,F,55,55,100,6.4,15.1,42.5,47.6,-5.1,27.0,0.5,0.2,0
Jrue Holiday,NOP,30,G,61,61,100,6.7,15.0,44.9,46.1,-1.2,34.7,1.6,0.4,0.02
P.J. Tucker,HOU,35,F,71,71,100,6.7,14.8,45.4,46.4,-1.0,34.3,1.1,0.3,0.32
Tristan Thompson,CLE,29,C-F,57,57,100,6.5,14.8,43.7,47.7,-4.0,30.2,0.6,0.3,0
Bam Adebayo,MIA,22,C-F,71,71,100,6.4,14.8,43.4,47.3,-4.0,33.6,1.1,0.5,0.01
Daniel Theis,BOS,28,F-C,65,65,100,6.6,14.6,45.2,48.1,-2.9,24.1,0.6,0.5,0.12
Dwight Powell,DAL,28,F-C,39,39,100,6.8,14.5,46.6,48.1,-1.5,26.5,0.8,0.2,0.07
CJ McCollum,POR,28,G,69,69,100,6.4,14.4,44.3,45.0,-0.7,36.5,0.8,0.3,0.01
Fred VanVleet,TOR,26,G,54,54,100,6.1,14.3,42.6,45.3,-2.7,35.7,1.9,0.2,0.02
Anthony Davis,LAL,27,F-C,62,62,100,5.8,14.2,40.4,47.1,-6.7,34.4,1.5,1.1,0.21
Jaren Jackson Jr.,MEM,20,F-C,57,57,100,6.3,14.1,44.9,47.4,-2.5,28.5,0.7,0.5,0
Richaun Holmes,SAC,26,F,44,44,100,6.7,14.0,47.5,48.9,-1.4,28.2,0.9,0.5,0
Kevin Love,CLE,31,F-C,56,56,100,7.2,14.0,51.5,47.3,4.2,31.8,0.6,0.1,0.16
Nemanja Bjelica,SAC,32,F,72,72,100,6.8,13.8,49.0,46.9,2.1,27.9,0.9,0.2,0
Derrick Favors,NOP,28,F,51,51,100,6.1,13.8,44.3,48.5,-4.2,24.4,0.6,0.2,0.02
Marc Gasol,TOR,35,C,44,44,100,6.3,13.8,46.0,47.8,-1.8,26.4,0.8,0.3,0.18
P.J. Washington,CHA,21,F,57,57,100,6.3,13.4,46.5,46.2,0.3,30.3,0.9,0.3,0
Lonzo Ball,NOP,22,G,63,63,100,6.4,13.4,47.5,45.7,1.8,32.1,1.4,0.3,0
DeAndre Jordan,BKN,31,C,56,56,100,5.6,13.4,41.9,47.3,-5.4,22.0,0.3,0.4,0.02
Kyle Lowry,TOR,34,G,58,58,100,5.7,13.2,43.4,45.3,-2.0,36.2,1.4,0.2,0.59
Jaylen Brown,BOS,23,G-F,57,57,100,5.9,13.1,44.7,45.7,-1.0,33.9,1.1,0.2,0
Maxi Kleber,DAL,28,F,73,73,100,5.8,13.1,44.8,46.7,-1.9,25.5,0.3,0.3,0.08
Miles Bridges,CHA,22,F,64,64,100,6.1,13.1,46.7,46.6,0.1,30.7,0.6,0.3,0.03
Draymond Green,GSW,30,F,43,43,100,5.8,13.0,44.5,46.8,-2.3,28.4,1.4,0.6,0.19
Thomas Bryant,WAS,22,C-F,46,46,100,6.7,13.0,51.5,47.7,3.8,24.9,0.5,0.3,0.02
Ben Simmons,PHI,23,G-F,57,57,100,5.7,13.0,44.1,46.4,-2.3,35.4,2.1,0.3,0.07
Kemba Walker,BOS,30,G,56,56,100,6.0,12.9,46.1,45.0,1.0,31.1,0.9,0.3,0.32
Davis Bertans,WAS,27,F,54,54,100,6.2,12.9,48.5,46.3,2.2,29.3,0.7,0.2,0.19
Lauri Markkanen,CHI,23,F-C,50,50,100,6.1,12.9,47.3,47.0,0.2,29.8,0.8,0.2,0.02
Mitchell Robinson,NYK,22,C-F,61,61,100,5.7,12.8,44.6,47.4,-2.8,23.1,0.9,1.0,0.02
Dragan Bender,GSW,22,F,15,15,100,6.1,12.8,47.4,47.6,-0.2,17.9,0.2,0.2,0
De'Andre Hunter,ATL,22,F-G,63,63,100,5.9,12.8,46.5,45.9,0.6,32.0,0.7,0.1,0.06
Aron Baynes,PHX,33,C-F,41,41,100,6.4,12.8,50.3,48.6,1.7,22.2,0.2,0.1,0.36
Ivica Zubac,LAC,23,C,72,72,100,5.5,12.8,42.8,49.2,-6.3,18.4,0.2,0.3,0.01
Trae Young,ATL,21,G,60,60,100,6.5,12.7,51.0,44.6,6.4,35.3,1.1,0.1,0.22
Andrew Wiggins,GSW,25,F,54,54,100,6.0,12.7,47.1,45.8,1.2,34.4,0.8,0.7,0.02
Shai Gilgeous-Alexander,OKC,21,G-F,70,70,100,6.0,12.5,47.9,45.6,2.3,34.7,1.1,0.4,0.03
Dorian Finney-Smith,DAL,27,F,70,70,100,5.5,12.5,43.7,46.6,-3.0,29.9,0.6,0.2,0.03
Bradley Beal,WAS,27,G,57,57,100,5.9,12.4,47.1,45.4,1.7,36.0,1.2,0.2,0.23
Robert Covington,HOU,29,F,70,70,100,5.9,12.3,48.1,46.4,1.8,30.5,1.6,0.7,0.09
Julius Randle,NYK,25,F-C,64,64,100,5.5,12.3,44.3,46.9,-2.7,32.5,0.8,0.1,0
Danuel House Jr.,HOU,27,F-G,63,63,100,5.9,12.3,48.3,45.5,2.8,30.4,1.1,0.1,0.1
Cody Zeller,CHA,27,F-C,57,57,100,6.3,12.3,51.3,48.8,2.5,23.1,0.7,0.1,0.07
Buddy Hield,SAC,27,G,72,72,100,5.9,12.3,48.1,45.4,2.7,30.8,0.9,0.1,0.01
Terry Rozier,CHA,26,G,62,62,100,6.1,12.3,49.5,45.4,4.1,34.3,1.0,0.1,0
De'Aaron Fox,SAC,22,G,51,51,100,6.1,12.2,49.8,44.9,5.0,32.0,1.5,0.2,0.02
Will Barton,DEN,29,G,58,58,100,5.9,12.1,48.4,45.9,2.5,33.0,1.1,0.2,0.02
Derrick White,SAS,25,G,67,67,100,5.7,12.1,47.3,46.0,1.3,24.7,0.6,0.5,0.44
Collin Sexton,CLE,21,G,65,65,100,6.4,12.1,52.6,45.2,7.4,33.0,1.0,0.0,0.02
Damian Lillard,POR,29,G,65,65,100,5.6,12.1,46.1,45.7,0.5,37.5,1.1,0.3,0.09
D'Angelo Russell,MIN,24,G,45,45,100,6.1,12.1,50.8,45.4,5.4,32.3,1.1,0.1,0.04
Royce O'Neale,UTA,27,F,71,71,100,5.8,12.1,48.0,46.0,2.0,28.9,0.8,0.2,0.01
Marvin Bagley III,SAC,21,F,13,13,100,5.4,12.0,44.9,48.2,-3.3,25.7,0.5,0.5,0.08
Aaron Gordon,ORL,24,F,62,62,100,5.3,12.0,44.3,46.8,-2.5,32.5,0.8,0.2,0.02
Zion Williamson,NOP,19,F,24,24,100,5.5,12.0,46.0,45.9,0.1,27.8,0.7,0.2,0.04
Rui Hachimura,WAS,22,F,48,48,100,6.3,11.9,52.7,46.8,5.9,30.1,0.8,0.0,0.02
Luka Doncic,DAL,21,F-G,59,59,100,5.7,11.9,47.4,45.7,1.8,33.6,1.0,0.1,0.03
Malcolm Brogdon,IND,27,G,54,54,100,5.2,11.9,43.2,46.4,-3.2,30.9,0.6,0.1,0
Christian Wood,DET,24,F,60,60,100,5.4,11.9,45.6,47.1,-1.5,21.4,0.5,0.4,0
Darius Garland,CLE,20,G,59,59,100,6.2,11.9,52.6,44.9,7.7,30.9,0.7,0.0,0.08
Brandon Ingram,NOP,22,F,62,62,100,5.4,11.8,45.6,45.5,0.1,33.9,1.0,0.2,0.08
Devin Booker,PHX,23,G,70,70,100,5.6,11.8,47.7,45.4,2.3,35.9,0.7,0.1,0.06
Elfrid Payton,NYK,26,G,45,45,100,5.3,11.8,45.2,45.6,-0.4,27.7,1.6,0.1,0
Dillon Brooks,MEM,24,G-F,73,73,100,5.2,11.7,44.2,45.5,-1.4,28.9,0.9,0.2,0.04
Ja Morant,MEM,20,G,67,67,100,5.3,11.7,45.3,45.3,0.0,31.0,0.9,0.1,0.04
Josh Hart,NOP,25,G,65,65,100,5.4,11.7,46.1,46.2,-0.1,27.0,1.0,0.1,0.02
Zach LaVine,CHI,25,G-F,60,60,100,5.0,11.7,42.9,45.4,-2.4,34.8,1.5,0.2,0
Jimmy Butler,MIA,30,F,58,58,100,4.7,11.7,40.7,45.9,-5.3,33.8,1.8,0.3,0.02
Jeremy Lamb,IND,28,G-F,46,46,100,5.3,11.7,45.5,45.6,0.0,28.1,1.2,0.3,0.02
Naz Reid,MIN,20,C-F,28,28,100,5.5,11.6,47.2,47.4,-0.2,16.5,0.6,0.2,0.03
Devonte' Graham,CHA,25,G,62,62,100,5.7,11.6,48.8,44.9,3.9,35.1,1.0,0.1,0.16
Wendell Carter Jr.,CHI,21,C-F,43,43,100,5.7,11.6,48.8,51.1,-2.3,29.2,0.8,0.3,0.07
Giannis Antetokounmpo,MIL,25,F,62,62,100,4.3,11.5,36.9,46.1,-9.2,30.4,1.0,0.4,0.03
Danny Green,LAL,33,G,68,68,100,5.5,11.5,48.1,46.0,2.0,24.8,1.2,0.2,0.04
Harrison Barnes,SAC,28,F,72,72,100,5.5,11.4,47.9,46.1,1.8,34.5,0.6,0.0,0.03
Kawhi Leonard,LAC,29,F,57,57,100,4.9,11.4,42.7,46.3,-3.6,32.4,1.8,0.3,0
RJ Barrett,NYK,20,F-G,56,56,100,5.6,11.4,49.0,45.1,3.9,30.4,1.0,0.1,0.04
Jamal Murray,DEN,23,G,59,59,100,5.5,11.4,48.3,45.7,2.6,32.3,1.1,0.2,0.08
Evan Fournier,ORL,27,G-F,66,66,100,5.7,11.4,50.3,45.5,4.8,31.5,1.1,0.1,0.08
Spencer Dinwiddie,BKN,27,G,64,64,100,5.2,11.4,45.7,45.3,0.4,31.2,0.6,0.2,0.03
Marcus Smart,BOS,26,G,60,60,100,4.8,11.3,42.7,45.5,-2.7,32.0,1.7,0.2,0.18
Bruce Brown,DET,23,G-F,57,57,100,5.4,11.3,48.0,45.9,2.1,28.2,1.1,0.3,0.02
Mychal Mulder,GSW,26,G,7,7,100,5.0,11.3,44.3,45.7,-1.4,29.1,0.3,0.0,0
Thaddeus Young,CHI,32,F,64,64,100,5.2,11.3,46.1,46.4,-0.3,24.9,1.4,0.2,0.2
Kevin Huerter,ATL,21,G-F,56,56,100,5.8,11.2,51.8,45.2,6.6,31.4,0.9,0.2,0
Mike Conley,UTA,32,G,47,47,100,5.5,11.2,48.5,45.2,3.3,29.0,0.8,0.0,0.15
Paul Millsap,DEN,35,F,51,51,100,5.0,11.2,44.9,47.1,-2.1,24.3,0.9,0.1,0.08
Taurean Prince,BKN,26,F,64,64,100,5.2,11.2,46.8,46.2,0.5,29.0,0.9,0.1,0.16
Dario Saric,PHX,26,F,65,65,100,5.0,11.1,45.2,46.5,-1.3,24.7,0.6,0.1,0.05
Jonathan Isaac,ORL,22,F,33,33,100,4.7,11.1,42.5,46.4,-3.9,28.8,1.6,1.3,0.12
Kendrick Nunn,MIA,24,G,66,66,100,5.3,11.1,47.7,45.0,2.7,29.3,0.8,0.1,0.01
Justise Winslow,MEM,24,F-G,11,11,100,4.5,11.0,41.3,44.9,-3.6,32.0,0.6,0.2,0.18
Willie Cauley-Stein,DAL,26,C,54,54,100,5.1,11.0,46.2,49.0,-2.8,20.3,0.9,0.5,0.04
Dennis Schroder,OKC,26,G,65,65,100,4.8,11.0,43.9,45.2,-1.3,30.8,0.7,0.1,0.18
Jakob Poeltl,SAS,24,C,65,65,100,5.2,11.0,47.5,48.4,-0.9,17.7,0.6,0.4,0.14
